fid,MS_ID,Tem_extent,Street_type_NOR,Resident_NOR,DayNight_NOR,PRM_NOR,Index_population,N_TFlossR_2kiw,N_TFlossR_2kmw,TF_Index_acc_loss,TFResident_lossR,TFDaynight_lossR,TF_Index_population,TFAB2k_lossR,N_TFAB2k_lossR,TFAB5k_lossR,N_TFAB5k_lossR,TFAB5k_NOR,TFABC_NOR,TF_Index_centrality,TF_Index_V_equal,TF_Index_Risk_equal,kmeans_cluster
24364,24364,0,0.75,0.298547359720972,0.882652612035425,0.172120572897912,0.451106848218103,,-0.276898734177215,0.198326222837007,-0.466666666666667,-0.33306342780027,0.120254574113382,-1.0,1.0,-1.0,1.0,1.0,0.0,1.0,0.379226754946849,0.379226754946849,
24365,24365,0,0.75,0.298547359720972,0.882652612035425,0.172120572897912,0.451106848218103,,-0.279527559055118,0.191298407844821,-0.466666666666667,-0.33306342780027,0.120254574113382,-0.998523469096403,0.998523469096403,-0.999437335871969,0.999437335871969,0.999437335871969,0.0002328268938336,0.998980402484186,0.375457948071803,0.375457948071803,
24366,24366,0,0.75,0.431502419517495,0.882652612035425,0.172120572897912,0.495425201483611,,-0.288461538461538,0.200204250285684,-0.12962962962963,-0.0279352226720648,0.0260205328994341,-0.994854575331309,0.994854575331309,-0.9980466185174,0.9980466185174,0.9980466185174,0.0008031256738854,0.996450596924355,0.355719907598789,0.355719907598789,
24367,24367,0,0.75,0.491480792112977,0.899093191017836,0.172120572897912,0.520898185342908,,-0.298884758364312,0.203678656919942,-0.0421052631578947,0.0,0.0073108517241109,-0.981626321313151,0.981626321313151,-0.992136678324579,0.992136678324579,0.992136678324579,0.0035084980400833,0.986881499818865,0.350387416345715,0.350387416345715,
24368,24368,0,0.75,0.65492237718942,0.952051444479384,0.644059329522577,0.75034438373046,,-0.303254437869822,0.208951849080937,-0.0068649885583524,-0.151419769622288,0.0395893597769924,-0.770441088894028,0.770441088894028,-0.890838050747868,0.890838050747868,0.890838050747868,0.0468281939967058,0.830639569820948,0.322033156939953,0.322033156939953,
24398,24398,0,1.0,0.291597968009405,0.470009878652562,0.0,0.253869282220655,-1.0,-0.904109589041096,0.838444974054767,0.0,0.0,0.0,-0.414089170561587,0.414089170561587,-0.560695824329123,0.560695824329123,0.560695824329123,0.0416157063305807,0.487392497445355,0.541070611388722,0.541070611388722,4
24399,24399,0,1.0,0.291597968009405,0.470009878652562,0.0,0.253869282220655,-1.0,-0.900662251655629,0.813343483413477,0.0,0.0,0.0,-0.407389967305255,0.407389967305255,-0.559286774882007,0.559286774882007,0.559286774882007,0.0426735898223157,0.483338371093631,0.527506334480146,0.527506334480146,4
24400,24400,0,1.0,0.291597968009405,0.470009878652562,0.0,0.253869282220655,-1.0,-0.894039735099338,0.811135977894713,0.0,0.0,0.0,-0.406796158934773,0.406796158934773,-0.559020834776827,0.559020834776827,0.559020834776827,0.0426301994352815,0.4829084968558,0.526295113161306,0.526295113161306,4
24401,24401,0,1.0,0.0,0.470009878652562,0.0,0.156669959550854,-1.0,-0.895424836601307,0.811597678395369,,0.0,0.0,-0.404693612774366,0.404693612774366,-0.557668517084901,0.557668517084901,0.557668517084901,0.0421161941173308,0.481181064929633,0.526094105430093,0.526094105430093,
24402,24402,0,1.0,0.0,0.470009878652562,0.0,0.156669959550854,-1.0,-0.897590361445783,0.805255286573067,,0.0,0.0,-0.39843599276782,0.39843599276782,-0.554409835347847,0.554409835347847,0.554409835347847,0.0411078783304997,0.476422914057834,0.521733371800992,0.521733371800992,
