Component,Eigenvalue,Explained Variance Ratio,Cumulative Explained Variance
PC1,2.2548165180558515,0.3220380804010777,0.3220380804010777
PC2,1.3922748347806697,0.19884789365038194,0.5208859740514596
PC3,1.1281668087084005,0.16112737801030422,0.6820133520617638
PC4,0.9546337905054885,0.13634299328508692,0.8183563453468508
PC5,0.5360677084518602,0.07656242289004091,0.8949187682368916
PC6,0.4717916913959164,0.0673823743216676,0.9623011425585593
PC7,0.2639563816953771,0.037698857441440775,1.0
