fid,MS_ID,PF_Index_Risk_equal,source_row_position,structural_null_count,had_structural_null,PC1,PC2,PC3,PC4,PC5,PC6,PC7
24341,24341,0.689255736526002,0,0,False,1.2128887596168372,0.7553594222538486,-2.5677007777159777,0.260500265762636,-2.417997258121151,-2.30946984227972,-0.6964011530539744
24342,24342,0.875687751701609,1,0,False,7.691387551324304,0.33130980827014556,-0.5426942973316617,0.017733263798003853,0.8977321238843782,-0.7972131563541346,0.025986395246993418
24343,24343,0.877055327641091,2,0,False,7.690111874084968,0.3321735342403872,-0.539307326720355,0.01104318942155189,0.8970832192498145,-0.7963011774815163,0.02722261410163158
24344,24344,0.620164373184599,3,0,False,-0.02651047103064732,0.08677919297130143,-2.009630593024917,1.0813423135906601,0.17394034693036015,1.0679354415956628,0.10345808589763002
24345,24345,0.619091387576672,4,0,False,-0.022420677961163215,0.0818026172930807,-2.007673808407647,1.0849276147578604,0.1749309220481427,1.0679459573247827,0.09657530152522019
24346,24346,0.61710882850759,5,0,False,-0.008511550157783088,0.07557390045278572,-1.9949565981465764,1.0852278653250818,0.17138420519279962,1.0759514810621849,0.07818997508123059
24347,24347,0.604110315008139,6,0,False,-0.305786447189335,0.06926061783156628,-1.5348269402138346,1.3790474710438336,-0.2737795735377029,0.7596395706404416,0.10802727971542019
24348,24348,0.591975527959547,7,0,False,-0.22356030004711783,0.008203592120813374,-1.4652744875969288,1.3959526580577526,-0.2875178918552466,0.77789634929027,0.12658668466523104
24349,24349,0.589142411647597,8,0,False,-0.0853803707155254,-0.033528782093057756,-1.6324522542217013,1.3291947813103862,-0.10841282466849064,0.8865694117932051,0.06143485695432739
24350,24350,0.583378543337703,9,0,False,-0.050889950689523976,-0.05742973208577466,-1.6119945029564726,1.3444507723793169,-0.11061970967124604,0.8962542460840273,0.04127945817241618
24351,24351,0.574620137435449,10,0,False,0.7504586956575183,-0.6156980358060765,-3.389818790760153,2.878653838217823,1.0092920312989397,0.9292471352515703,-0.45998127616850515
24352,24352,0.548785565188144,11,0,False,0.42831746744432936,-0.6013131271313311,-2.715471122084778,2.7635258064159847,0.5449941505589992,0.695253516718643,-0.408973365637541
24353,24353,0.377933038863419,12,0,False,-0.9343514238216756,-1.6728081580745204,-0.061742832804646805,0.16889170267264578,0.17573835283769798,-0.407028484728042,0.07067721917742843
24354,24354,0.37687297814963,13,0,False,-0.9162918650636842,-1.682017378291281,-0.05261602757940593,0.17363303680721,0.1730603594409187,-0.40271550169866926,0.09501568326857893
24355,24355,0.378680468390722,14,0,False,-0.9149485061985531,-1.6800603022735119,-0.06194949863519364,0.18816687753621056,0.17321292477722613,-0.40394613201787827,0.0960493669296349
24356,24356,0.384593794912328,15,0,False,-0.9373755006533995,-1.648212164967149,-0.06583594498102135,0.16526142082491607,0.1640786704900337,-0.3955608717412729,0.07793649793023504
24357,24357,0.383394834472747,16,0,False,-0.9218022579664666,-1.6492624287382678,-0.05242273136778476,0.16505276279156092,0.1570261937042451,-0.3835455078398478,0.06069296767816181
24358,24358,0.382611839838303,17,0,False,-0.9027074571157394,-1.652082985190161,-0.04623842680223584,0.1800687590460133,0.15105078514648185,-0.3730130207050816,0.040087819640913944
24359,24359,0.382446898263781,18,0,False,-0.891065772789766,-1.653847206958629,-0.04552316390425227,0.19364961222310914,0.14797870349194037,-0.36761114666437017,0.02790995450432985
24360,24360,0.379942676028189,19,0,False,-0.8656267661102685,-1.6652879641856686,-0.03334034233114105,0.20590767598292098,0.14349662928130402,-0.35857695361692826,0.02672238077046737
24361,24361,0.380015186207396,20,0,False,-0.8598497418494261,-1.6585212298124778,-0.028781496757692045,0.20880170347594185,0.1370579926810744,-0.3481939029772958,-0.00787928556234288
24362,24362,0.390722418334932,21,0,False,-0.8923341109328957,-1.6190142191601582,-0.10866564580955348,0.29826200828255944,0.1407372583140739,-0.35776656822586844,-0.12455936042114114
24363,24363,0.395105645094585,22,0,False,-0.9171613052446761,-1.5933575048686728,-0.13260462966594033,0.3100211916116906,0.13937768183658988,-0.35753373907543673,-0.18996452690569116
24387,24387,0.313879902202506,23,0,False,-0.9957626446054993,-2.2577587898410276,-0.14897188898573388,0.42634593082882366,0.5308526988677419,-0.7801022041732594,-0.4248100405801209
24388,24388,0.316293038122735,24,0,False,-1.0051250669209095,-2.239202695145398,-0.15495421024176645,0.42331732464121746,0.5249535109164668,-0.7742556980296814,-0.44172507116093485
24389,24389,0.312240222636242,25,0,False,-0.9677803607334573,-2.2608918021997377,-0.13572576785485743,0.4328017137724073,0.5207938889214304,-0.7669717259706565,-0.3886936427521936
24986,24986,0.369017302974054,26,0,False,0.8857041240881344,0.6379696402947682,-1.2547776829767767,2.821013412540335,0.055872458026452354,-1.2449177111069605,-0.3766676475806804
24987,24987,0.369742230298405,27,0,False,0.878488214376436,0.6457264895644099,-1.2510631950661177,2.8079801573121346,0.05340332026558319,-1.2416428114896554,-0.39011622439982807
24988,24988,0.375180245814308,28,0,False,0.985864862349912,0.714998138855422,-1.2332907334223149,2.4790478534917457,-0.11909391837074748,-1.3824940761361997,-0.4261413357405231
24989,24989,0.535076409686907,29,0,False,0.5470455983381112,-0.3664019919024123,-1.9102229434297495,2.3041655667376024,-1.1568357185393707,-0.6363349097081467,-0.3665518384138019
24990,24990,0.533307851809034,30,0,False,0.5588023758740823,-0.36842740848204275,-1.8940533321044977,2.295640328498154,-1.1625694069248753,-0.6259876914198128,-0.38105082170547777
24996,24996,0.406600851561625,31,1,True,-0.5043430440434238,1.0998638853694434,0.2605400938387559,0.43830706834854705,0.3580226328758639,-0.28437976155080313,0.34920877040397474
24997,24997,0.397798719988112,32,1,True,-0.4556681852221241,1.0482535397075343,0.3087523884838221,0.42769184915023095,0.3611855425193947,-0.27877585157927715,0.3764721561378265
24998,24998,0.394411661352711,33,1,True,-0.4419164611593836,1.0267224543107119,0.3322413745330127,0.4116594004439247,0.3641012695628521,-0.2782519142926413,0.3849549591405732
24999,24999,0.392628225859364,34,1,True,-0.44064718948145426,1.0154522286034717,0.35057254697831874,0.3900241508006094,0.3665389549524621,-0.2779311480411431,0.37514164426450314
25000,25000,0.384751548590604,35,1,True,-0.3943184223066655,0.9686508584736121,0.3945919166664444,0.3798432803505829,0.36861652895425207,-0.272866148569639,0.41769803231959574
25001,25001,0.367017153392623,36,1,True,-0.2765557608730274,0.8898194708797319,0.49243481047970195,0.3802339591882422,0.3545502653640833,-0.23392574322803844,0.4218929530874164
25002,25002,0.364058649859851,37,1,True,-0.2702563391729674,0.8717824196582019,0.5106887943214297,0.36678551767414513,0.35900289929981977,-0.23476277238178747,0.40359445824387624
25003,25003,0.351657460877193,38,1,True,-0.1891632421549804,0.8160124467631773,0.5786903789808892,0.36619796516457964,0.350014175977297,-0.20875531364504307,0.40838747288468213
25004,25004,0.343695549503565,39,1,True,-0.14386775187730738,0.7835723780111367,0.6256247937524477,0.3581843776309646,0.34409880067507664,-0.18980499627843175,0.3741354886390086
25005,25005,0.329640939676536,40,1,True,-0.050509129214355755,0.7131106630897781,0.696784423292806,0.363816575830211,0.33843112856128393,-0.1683617461505688,0.4190982271505938
25006,25006,0.306956997518277,41,1,True,0.10286138088599729,0.6317156997633997,0.8237640432587126,0.3717969265025919,0.3086073769485002,-0.0998745809844736,0.3421861788913262
