N_PFlossR_2kiw,N_PFlossR_2kmw,PFResident_lossR,PFDaynight_lossR,PFAB5k_NOR,PFABC_NOR
-0.6186393547320794,-0.504251360860217,0.42518378983086585,-3.912379990619552,0.8662372831383325,1.6251178746145498
2.802414100545703,3.2217659926446784,-3.385603377083334,-3.912379990619552,0.8662372831383325,1.6286133715944495
2.802414100545703,3.2217659926446784,-3.385603377083334,-3.912379990619552,0.8662372831383325,1.6207786374062099
-0.9296442143027875,-0.5952003213360846,-1.196639469195281,0.4045921314069238,0.8662372831383325,1.6520135852883477
-0.9296442143027875,-0.5871460329384289,-1.196639469195281,0.4045921314069238,0.861706641701567,1.6566105299552585
-0.9296442143027875,-0.5588320570194465,-1.196639469195281,0.4045921314069238,0.8591167979828811,1.6559959948944643
-0.9296442143027875,-0.5473481599717335,-0.36914915525151343,0.4045921314069238,0.8525998451267667,1.6555072756518467
-0.9296442143027875,-0.4687293516589024,-0.3567699405229563,0.4045921314069238,0.8370808569476773,1.653802976287734
-0.9296442143027875,-0.41938973681322855,-0.6636125435731923,0.4045921314069238,0.7964973852015623,1.7086339158719974
-0.9296442143027875,-0.37237279218178326,-0.6636125435731923,0.4045921314069238,0.7861389554413453,1.7229379735200847
-0.9296442143027875,-0.4286360948594592,-2.024373103483266,0.4045921314069238,0.3711860686208207,4.1615809329474125
-0.9296442143027875,-0.34235463081708833,-1.2361948115486217,0.4045921314069238,0.34065826122011694,3.6984473604718726
-0.9296442143027875,-0.43607167150924125,0.42518378983086585,0.4045921314069238,-1.54864617041432,0.25397192407158115
-0.9296442143027875,-0.43481204654751066,0.42518378983086585,0.4045921314069238,-1.5434818003872597,0.25346664690750553
-0.9296442143027875,-0.43889724972500277,0.42518378983086585,0.4045921314069238,-1.539055803537781,0.2699077193733631
-0.9296442143027875,-0.44241651215453304,0.42518378983086585,0.4045921314069238,-1.520084750612701,0.24599158327725418
-0.9296442143027875,-0.4126560926560129,0.42518378983086585,0.4045921314069238,-1.5153248737274556,0.24340440010910425
-0.9296442143027875,-0.38180361315431033,0.42518378983086585,0.4045921314069238,-1.510066707356182,0.2585034013350985
-0.9296442143027875,-0.36477323496576863,0.42518378983086585,0.4045921314069238,-1.5065082939038754,0.27291918112709806
-0.9296442143027875,-0.33983937279065124,0.42518378983086585,0.4045921314069238,-1.5040147381729647,0.2822875665683264
-0.9296442143027875,-0.30965627647340227,0.42518378983086585,0.4045921314069238,-1.4991029118819363,0.28670043430459646
-0.9296442143027875,-0.2930182445812094,0.42518378983086585,0.4045921314069238,-1.488254581375909,0.4078096134227581
-0.9296442143027875,-0.2779558970378727,0.42518378983086585,0.4045921314069238,-1.484868696539442,0.43150909237303026
-0.9296442143027875,-0.26637904278323077,0.42518378983086585,0.4045921314069238,-2.359796283428483,0.7170288243553988
-0.9296442143027875,-0.2632773723761672,0.42518378983086585,0.4045921314069238,-2.3469889612967965,0.7149585964853745
-0.9296442143027875,-0.2625706462184945,0.42518378983086585,0.4045921314069238,-2.3389428656251834,0.7136564282311707
0.9363849431214578,-0.23862192048539602,0.42518378983086585,-0.7736220721856503,0.4865185634506552,3.2341575240304756
0.9363849431214578,-0.23255098675466632,0.42518378983086585,-0.7736220721856503,0.48773414948643484,3.220928898827571
0.9363849431214578,-0.1897623105465537,0.42518378983086585,-1.087445481553766,0.5040155918486872,2.950010183976966
-0.9296442143027875,-0.1711691286648494,0.42518378983086585,-1.087445481553766,0.5007931987141968,2.95887750540787
-0.9296442143027875,-0.14485657058122517,0.42518378983086585,-1.087445481553766,0.5020059482282778,2.9473536475983857
0.9363849431214578,-0.669874212849745,0.42518378983086585,0.4045921314069238,0.5329221616002111,0.06592153657651346
0.9363849431214578,-0.6325291696499122,0.42518378983086585,0.4045921314069238,0.50568271058206,0.0449378817485106
0.9363849431214578,-0.6183588955797851,0.42518378983086585,0.4045921314069238,0.4889121136040437,0.024548236251285296
0.9363849431214578,-0.6030784591469476,0.42518378983086585,0.4045921314069238,0.4727365217902247,0.0013114165413702255
0.9363849431214578,-0.5791222327514882,0.42518378983086585,0.4045921314069238,0.45284775279203976,-0.020841091711323038
0.9363849431214578,-0.4523400045185782,0.42518378983086585,0.4045921314069238,0.43137110262902717,-0.04129970571316249
0.9363849431214578,-0.4284502977587193,0.42518378983086585,0.4045921314069238,0.40913279655166324,-0.054306917936456964
0.9363849431214578,-0.342254020496031,0.42518378983086585,0.4045921314069238,0.3928913033010456,-0.06938181850407739
0.9363849431214578,-0.2655134981094263,0.42518378983086585,0.4045921314069238,0.37441057647489057,-0.08285427034610897
0.9363849431214578,-0.19646966528372034,0.42518378983086585,0.4045921314069238,0.35655002984557665,-0.0958984934714922
0.9363849431214578,0.02498240008739746,0.42518378983086585,0.4045921314069238,0.3381200781910988,-0.10833853045152964
0.9363849431214578,-0.007417433620954794,0.42518378983086585,0.4045921314069238,0.3191922405698406,-0.11651566239663069
0.9363849431214578,-0.022450112547419382,0.42518378983086585,0.4045921314069238,0.30430145189670543,-0.12881057181326494
0.9363849431214578,0.08808070264228525,0.42518378983086585,0.4045921314069238,0.28444196604112787,-0.13617414344657186
0.9363849431214578,0.1774364503015056,0.42518378983086585,0.4045921314069238,0.26824443000353565,-0.1530519458576759
0.9363849431214578,0.22025932175622961,0.42518378983086585,0.4045921314069238,0.23976273937124845,-0.15773649473078177
0.9363849431214578,0.24287918059949376,0.42518378983086585,0.4045921314069238,0.22374301073611755,-0.16722528748582316
0.9363849431214578,0.30116246652411266,0.42518378983086585,0.4045921314069238,0.20386822002304839,-0.17324402973308572
0.9363849431214578,0.3443108104003169,0.42518378983086585,0.4045921314069238,0.1876629326086813,-0.1764707491829508
-0.9296442143027875,-0.4059004892585908,0.42518378983086585,0.4045921314069238,-1.0967331450223925,1.56671315540138
-0.9296442143027875,-0.4109751209186262,0.42518378983086585,0.4045921314069238,-1.099706982370602,1.582334496601298
-0.9296442143027875,-0.4092888796773608,0.42518378983086585,0.4045921314069238,-1.1805991746232236,1.799334674230925
-0.9296442143027875,-0.3853566466581417,0.42518378983086585,0.4045921314069238,-1.1789883015133982,1.8060513466156136
-0.9296442143027875,-0.3534013721494144,0.42518378983086585,0.4045921314069238,-1.1759965785747772,1.811488079562231
-0.9296442143027875,0.7269303597353877,0.42518378983086585,-1.057674353313749,-0.8529108580187315,-0.04542087975269175
-0.9296442143027875,0.7565497489322313,0.42518378983086585,-1.0860403374984373,-0.8564830169251646,-0.04021817567834316
-0.9296442143027875,0.7607570513215005,0.42518378983086585,-1.0860403374984373,-0.8346212950391125,-0.05310138923452604
-0.9296442143027875,0.7693894168682335,0.42518378983086585,-1.0860403374984373,-0.8150296937310033,-0.06385610231705982
-0.9296442143027875,0.7607570513215005,0.42518378983086585,-1.0860403374984373,-0.729879468272592,-0.12223297673954923
-0.9296442143027875,0.7265798507075475,0.42518378983086585,-1.057674353313749,-0.7427829577895022,-0.12300000545887528
-0.9296442143027875,0.7369931258441197,0.42518378983086585,-1.057674353313749,-0.7927113109680143,-0.11356065539248499
-0.9296442143027875,0.7845872435350171,0.42518378983086585,-1.057674353313749,-0.809657375225347,-0.11948633281067918
0.9363849431214578,0.8674844798992913,0.42518378983086585,0.4045921314069238,0.3383238885198554,-0.7557753510701772
0.9363849431214578,0.8674844798992913,0.42518378983086585,0.4045921314069238,0.5872418381059193,-0.7537840853014407
0.9363849431214578,0.8674844798992913,0.42518378983086585,0.4045921314069238,0.6462268916246771,-0.7526556583229361
0.9363849431214578,0.8674844798992913,0.42518378983086585,0.4045921314069238,0.6962360353424464,-0.7504178106335886
0.9363849431214578,0.8674844798992913,0.42518378983086585,0.4045921314069238,0.7099577050683133,-0.7492396902224359
0.9363849431214578,0.8674844798992913,0.42518378983086585,0.4045921314069238,0.7204246580836122,-0.7480338315909402
0.9363849431214578,0.8674844798992913,0.42518378983086585,0.4045921314069238,0.7287885589507712,-0.7468018727675095
0.9363849431214578,0.8674844798992913,0.42518378983086585,0.4045921314069238,0.7357677728786965,-0.7455467600852118
