cluster_id,N_TFlossR_2kiw,TFDaynight_lossR,TFAB5k_NOR,TFABC_NOR
1,-0.9981743625866933,-0.05665534350340912,0.7417314650203287,0.024143044946593094
2,-0.7883734876793232,-0.8476799700092641,0.934670481420746,0.015156388881900372
3,-0.4968009943568852,-0.03311680990448013,0.6608480439670281,0.06613426018840082
4,-0.010172945900471464,-0.09071917948364158,0.7749451554457595,0.04812731142130481
