cluster_id,Per_extent,N_PFlossR_2kiw,N_PFlossR_2kmw,PFResident_lossR,PFDaynight_lossR,PFAB5k_NOR,PFABC_NOR
1,0.0063424947145877325,-1.0,-0.39497357488141793,-0.07724540294172873,-0.020402573442468874,0.18531149506334094,0.06289173450718483
2,-1.951563910473908e-18,-1.0000000000000002,-0.2604331783474494,-0.01812817528113947,-0.05060396332126888,0.5294663627840823,0.0606062158680912
3,0.002202643171806165,-0.9876557077056987,-0.3385529189307872,-0.04357078140982154,-0.04911592669443607,0.9161039375800112,0.026665976065053665
4,-1.3010426069826053e-18,-0.996410025613676,-0.49388293082250434,-0.5798177254082528,-0.3363585411383873,0.884704361466311,0.02541361984327205
5,-8.673617379884035e-19,-0.031676565362421916,-0.2417677180891009,-0.12713847828591185,-0.1513573537048285,0.9096245079943039,0.01555253782741766
