hdbscan_cluster,sample_count
-1,32444
0,192
1,1558
2,115
3,111
4,309
5,115
6,334
7,318
8,107
9,216
10,115
11,119
12,3506
13,227
14,130
15,109
16,3907
17,158
18,194
19,534
20,108
21,134
22,112
23,102
24,189
25,1264
26,140
27,269
28,379
29,279
30,158
31,126
32,125
33,358
34,3992
35,407
36,1532
37,115
38,103
39,202
40,236
41,127
42,106
43,108
44,122
45,205
46,111
47,132
48,267
49,212
50,150
51,230
52,222
53,177
54,169
55,157
56,285
57,213
58,188
59,129
60,231
61,359
62,235
63,132
64,622
65,240
66,160
67,132
68,283
69,203
70,119
71,315
72,224
73,444
74,137
75,588
76,4663
77,127
78,1042
79,1025
80,110
81,242
82,373
83,425
84,105
85,111
86,123
87,113
88,635
89,272
90,144
91,225
92,101
93,185
94,132
95,546
96,178
97,199
98,109
99,180
100,200
101,234
102,118
103,237
104,153
105,125
106,109
107,138
108,205
109,276
110,177
111,100
112,141
113,123
114,167
115,219
116,139
117,106
118,155
119,496
120,108
121,139
122,312
123,310
124,182
125,106
126,195
127,138
128,208
129,266
130,227
131,367
132,163
133,355
134,199
135,1643
136,2098
137,1604
138,2089
139,2545
140,129
141,1711
142,1673
143,1707
144,206
145,1637
146,180
147,192
148,116
149,119
150,111
151,17947
152,112
