hdbscan_cluster,sample_count
-1,30464
0,67
1,57
2,1478
3,93
4,98
5,52
6,115
7,111
8,186
9,85
10,246
11,295
12,73
13,134
14,107
15,50
16,68
17,52
18,61
19,83
20,64
21,209
22,3278
23,62
24,104
25,3907
26,158
27,111
28,544
29,74
30,50
31,133
32,68
33,360
34,153
35,80
36,92
37,90
38,121
39,63
40,151
41,81
42,137
43,66
44,809
45,241
46,69
47,113
48,87
49,57
50,222
51,62
52,64
53,62
54,69
55,60
56,54
57,51
58,83
59,200
60,56
61,52
62,2835
63,61
64,58
65,54
66,80
67,59
68,55
69,71
70,93
71,95
72,121
73,95
74,61
75,280
76,124
77,54
78,68
79,68
80,68
81,68
82,119
83,130
84,204
85,214
86,152
87,215
88,137
89,282
90,197
91,71
92,105
93,26346
94,538
95,158
96,130
97,179
98,50
99,51
100,231
101,82
102,62
103,138
104,240
105,368
106,125
107,111
108,62
109,81
110,99
111,445
112,4344
113,75
114,169
115,287
116,71
117,990
118,442
119,67
120,57
121,78
122,115
123,121
124,59
125,56
126,72
127,199
128,77
129,62
130,394
131,161
132,357
133,101
134,359
135,98
136,587
137,115
138,94
139,69
140,72
141,157
142,67
143,220
144,1545
145,101
146,135
147,439
148,104
149,229
150,1075
151,227
152,81
153,79
154,142
155,732
156,147
157,76
158,134
159,247
160,236
161,55
162,119
163,129
164,77
165,891
166,186
167,107
168,139
169,1608
170,1570
171,2545
172,129
173,1675
174,1646
175,61
176,1991
177,86
178,72
179,2004
180,54
181,1698
182,165
183,159
184,1485
185,55
