K,Inertia,Silhouette,Calinski_Harabasz,Davies_Bouldin,Largest_Cluster,Smallest_Cluster,Cluster_Size_SD
2,51445.858841495465,0.5308549887204008,11521.774046790335,0.7945478536478149,10923,2661,4131.0
3,42056.058285961066,0.32739560060284123,8562.700776188318,1.3237663603909937,7491,2642,2121.0291527149425
4,35282.81733958966,0.32654004095131484,7672.80629998597,1.0725036291522576,7269,1300,2291.658460591368
5,28796.91348856691,0.3542766796308919,7814.787405511314,1.017031414605506,7169,1085,2267.621520448243
6,23843.40506844412,0.38748960542521754,8114.333521158039,1.007866827448602,6273,1086,1825.5642963204555
7,20750.924037977955,0.38522062339945723,8106.261344388104,0.9644468768471971,4802,1072,1223.7444711263233
8,18815.258293437677,0.3911194874179383,7861.9994471728205,0.9812568751455464,4429,305,1143.7896441216803
9,17194.08712237427,0.40271919601859374,7687.310855269535,0.9593912574257131,4428,305,1177.6749221335328
10,15796.365955336014,0.38015435782492696,7570.70068342186,0.97732818709433,2364,301,716.152525653579
