pca_component_1,pca_component_2
-0.481086535292945,0.10091026389686317
-0.481086952885201,0.10090750383576205
-0.48108731408076605,0.10090511607718508
-0.48108766485821297,0.10090281315496319
-0.481088054626278,0.10090023065453918
-0.48108802666626344,0.10090041204632424
-0.481088026762162,0.1009004114132635
-0.48108803877898576,0.10090033801660356
-0.481088053448737,0.1009002410296076
-0.48108805351535416,0.10090024044265758
-0.48108805358095924,0.10090023986462485
-0.48108805606657284,0.10090021796440254
-0.48108804020718365,0.1009003309124977
-0.48108804864401244,0.10090025999925606
-0.4810880487245258,0.1009002593819521
-0.4810880461822332,0.10090030198036273
-0.48108805183500414,0.10090025524787077
-0.48108804671899513,0.10090029741793666
-0.48108802283747204,0.10090043645145672
-0.4810880402002786,0.10090032699829998
-0.48108805606657284,0.10090021796440254
-0.4810880477247005,0.10090028886953564
-0.48108805428204504,0.10090023368750439
-0.48108805606657284,0.10090021796440254
-0.4810880412790485,0.1009003038911315
-0.4810880544291701,0.10090023239121651
-0.4810880410763184,0.10090032043630756
-0.48108804822441686,0.10090026536008484
-0.4810880271174733,0.10090041437327268
-0.4810880512792818,0.10090023832512718
-0.4810880426794063,0.10090030633786062
-0.4810880394997197,0.10090033828898848
-0.4810880512221395,0.10090023856815766
-0.4810880512033337,0.10090023864814024
-0.48108804343314293,0.10090032534737237
-0.4810880517938191,0.10090025561074373
-0.4810880511491311,0.10090023887866806
-0.48108803552488116,0.10090036646891204
-0.48108805300203084,0.10090024496544236
-0.48108805109661046,0.10090023910204243
-0.48108804287537243,0.10090028873075957
-0.4810880410914572,0.10090034525148134
-0.4810880493580829,0.1009002541918918
-0.48108802631146796,0.10090044424805844
-0.48108805101382623,0.10090023945413051
-0.48108805424595646,0.10090023400547352
-0.4810880453817911,0.10090028893329636
-0.48108804186225373,0.10090031173217606
-0.48108805606657284,0.10090021796440254
-0.4810880489180045,0.10090025756745089
-0.48108804162929714,0.10090029826623509
-0.4810880367166845,0.10090038243663932
-0.4810880210809346,0.10090049336600293
-0.4810880538181567,0.10090023777472742
-0.4810880165924919,0.10090049847593452
-0.4810880199599721,0.10090049728716527
-0.481088024497343,0.10090043175744912
-0.481088039430029,0.10090033711172075
-0.4810880429802483,0.10090028536742107
-0.4810880534185718,0.10090024129538686
-0.4810880533464773,0.10090024193059624
-0.48108802749936347,0.10090039337329432
-0.48108805463162446,0.10090023060743297
-0.4810880410161467,0.10090030213139436
-0.4810880397194944,0.10090032922507344
-0.48108803412743373,0.10090037622887435
-0.4810880507198081,0.10090024070461259
-0.4810880432236912,0.10090030437643152
-0.4810880490045554,0.10090025572277625
-0.48108805257961496,0.10090024868726025
-0.4810880242701203,0.1009004318239228
-0.4810880476938908,0.10090028913141469
-0.4810880468705988,0.10090027435751278
-0.4810880390422847,0.10090033465435097
-0.4810880486423772,0.10090025867055089
-0.4810880485799661,0.10090025918616502
-0.4810880313250847,0.10090039952053559
-0.4810880506235907,0.10090024111383253
-0.48108805606657284,0.10090021796440254
-0.48108803050931115,0.10090040634629013
-0.4810880408523002,0.10090031839923913
-0.4810880234148309,0.10090044905261106
-0.48108805059248483,0.10090024124612831
-0.48108803344345225,0.10090041025880653
-0.48108803905502395,0.10090033926809822
