fid,MS_ID,kmeans_cluster,distance_to_assigned_centroid
24341,24341,1,1.0356210161180524
24344,24344,1,0.5600129670794671
24345,24345,1,0.5574406843028096
24346,24346,1,0.5514200155526959
24347,24347,1,0.47604646436671366
24348,24348,1,0.45559953018197047
24349,24349,1,0.45338478933856247
24350,24350,1,0.4428814114933415
24351,24351,1,0.5965474597510532
24352,24352,1,0.4203331827381589
24353,24353,1,0.4103445771768557
24354,24354,1,0.4088863514727224
24355,24355,1,0.40876945916787083
24356,24356,1,0.40499778507802886
24357,24357,1,0.3979164946735441
24358,24358,1,0.39089490227325857
24359,24359,1,0.38703392417692284
24360,24360,1,0.3821503661438509
24361,24361,1,0.37606556467179464
24362,24362,1,0.37160910183095774
24363,24363,1,0.3687161414875502
24387,24387,1,0.605279408893945
24388,24388,1,0.6016693817446392
24389,24389,1,0.5995018619563552
24986,24986,2,0.2956314383233187
24987,24987,2,0.29354667206793167
24988,24988,2,0.3168256949677933
24989,24989,1,0.41708632688211744
24990,24990,1,0.41529333629299114
25187,25187,1,0.32932516714322074
25188,25188,1,0.3313275340637351
25189,25189,1,0.35090095665770105
25190,25190,1,0.34549433567306126
25191,25191,1,0.33836753761484556
25198,25198,1,0.43124475356286307
25199,25199,1,0.4440944466940608
25200,25200,1,0.4436568325377351
25201,25201,1,0.4448437423545072
25212,25212,1,0.4366364942180009
25213,25213,1,0.4231263478573552
25214,25214,1,0.42923164484002047
25215,25215,1,0.4447691779442482
26432,26432,2,0.3955650873493028
26433,26433,2,0.3398908789835837
26434,26434,2,0.33585776133638096
26435,26435,2,0.3307814835011223
26436,26436,2,0.3157174817220269
26437,26437,2,0.20287800702611117
26438,26438,2,0.20483293158096982
26439,26439,2,0.22628302930670702
26440,26440,2,0.23043859647396792
26441,26441,2,0.2501464039890456
26442,26442,2,0.2553380240814349
26443,26443,2,0.2691293195702328
26444,26444,2,0.2746670202810466
26445,26445,2,0.28630266093336215
26446,26446,2,0.3095062487814017
26916,26916,1,0.4724506052399485
26917,26917,1,0.47479711673006453
26969,26969,1,0.2751864120487727
26970,26970,1,0.2733988916912018
26971,26971,1,0.2713381707366549
26972,26972,1,0.26861861513970914
26973,26973,1,0.26669093257013
26974,26974,1,0.2624062817490106
26975,26975,1,0.2610712387865013
26976,26976,1,0.26140912302344504
26977,26977,1,0.21811337559851204
26978,26978,1,0.22889691745599333
26979,26979,1,0.2603050463590035
26980,26980,1,0.3352470473157072
26981,26981,1,0.3581771961591936
26982,26982,1,0.3801621810791752
26983,26983,1,0.4228639985888422
26984,26984,1,0.437281987228204
26985,26985,1,0.4489309010194066
26986,26986,1,0.5859384571673365
26987,26987,1,0.5935756840089178
26988,26988,1,0.6041265811066184
26989,26989,1,0.6153210945256994
26990,26990,1,0.6249633307091192
26991,26991,1,0.6352670672269821
26992,26992,1,0.6448836996826177
26993,26993,1,0.6333782695031721
26994,26994,1,0.6221612490720232
26995,26995,1,0.6020190509763705
27677,27677,1,1.0107244063819483
27678,27678,1,1.0137982117878732
27679,27679,1,0.5096571512782284
27680,27680,1,0.5250612541236297
27681,27681,1,0.5228500241319407
27682,27682,1,0.5194819367570169
27718,27718,1,0.6416413963704188
27719,27719,1,0.6349517001719107
27720,27720,1,0.6335497062135574
27721,27721,1,0.6285219891576127
27723,27723,1,0.6309986963687043
27744,27744,1,0.4780979339677455
28335,28335,1,0.6537656269120768
28336,28336,1,0.6736391039140047
29037,29037,2,0.38600852423457005
29038,29038,2,0.3833115006915076
29039,29039,2,0.43505174148325493
29040,29040,2,0.2327873004700792
29041,29041,2,0.2324372483827609
29042,29042,2,0.24075744278360006
29043,29043,2,0.4374932443401564
29044,29044,2,0.4320405068661709
29046,29046,2,0.30024652222027526
29295,29295,1,0.5915446924926101
29296,29296,1,0.5471903407675334
29297,29297,1,0.46602461362223385
29298,29298,1,0.37158381286451053
29299,29299,1,0.3469334474219565
29545,29545,2,0.26611661371316947
29778,29778,1,0.413289450909307
29779,29779,1,0.41514286489832897
29780,29780,1,0.5111368696166309
29781,29781,1,0.5154954595068137
29782,29782,1,0.4311814831485388
29783,29783,1,0.34639943475303264
29867,29867,1,1.1134398700753654
29868,29868,1,0.4888997695340473
29869,29869,1,0.48574322703631023
29870,29870,1,0.47816780099028333
29871,29871,1,0.47201881558265535
29872,29872,1,0.4692453001485405
29873,29873,1,0.4701103255401027
29874,29874,1,0.471978691024658
29875,29875,1,0.47489403143971065
29876,29876,1,0.4775784521182761
29877,29877,1,0.48174840517934153
29878,29878,1,0.4844811124431139
29879,29879,1,0.48870550692267534
29880,29880,1,0.4898683039498605
29881,29881,1,0.49970689519378353
29882,29882,1,0.49811543876137465
29942,29942,1,0.8115819993545987
29943,29943,1,0.8126387923162599
29944,29944,1,0.8133754258382427
29945,29945,1,0.8156380729607882
29946,29946,1,0.8182065063018815
29947,29947,1,0.8038076854102179
29948,29948,1,0.8072361305838606
29949,29949,1,0.8076048863326469
29950,29950,1,0.8080803844473016
29951,29951,1,0.8115772849703337
29952,29952,1,0.756136913796881
29953,29953,1,0.756299878047612
29954,29954,1,0.7561028764055022
29955,29955,1,0.7573924975654991
29956,29956,1,0.7582453502472707
29957,29957,1,0.7593530010695863
29958,29958,1,0.758933972875659
29959,29959,1,0.681292212396682
29960,29960,1,0.7136610773176503
29961,29961,1,0.7112309696930931
