hdbscan_cluster,sample_count
-1,30866
0,264
1,2506
2,207
3,1254
4,273
5,3271
6,203
7,709
8,4078
9,2249
10,1126
11,429
12,442
13,3038
14,265
15,1703
16,268
17,6301
18,711
19,231
20,290
21,533
22,521
23,205
24,273
25,215
26,221
27,1592
28,575
29,425
30,659
31,282
32,333
33,243
34,1371
35,864
36,352
37,205
38,496
39,709
40,219
41,264
42,1544
43,441
44,1075
45,222
46,260
47,205
48,649
49,21384
50,744
51,261
52,252
53,218
54,1132
55,250
56,285
57,2004
58,2545
59,1561
60,1603
61,1998
62,1538
63,1634
64,2008
65,1702
66,203
