hdbscan_cluster,sample_count
-1,26497
0,77
1,55
2,60
3,54
4,93
5,98
6,52
7,64
8,115
9,111
10,115
11,334
12,318
13,240
14,50
15,107
16,62
17,135
18,220
19,50
20,59
21,166
22,249
23,62
24,93
25,216
26,85
27,85
28,52
29,115
30,119
31,84
32,68
33,72
34,227
35,130
36,67
37,109
38,3907
39,158
40,50
41,194
42,108
43,87
44,134
45,112
46,50
47,407
48,50
49,102
50,189
51,140
52,92
53,155
54,67
55,56
56,57
57,67
58,52
59,58
60,102
61,158
62,126
63,78
64,75
65,60
66,70
67,50
68,3209
69,61
70,125
71,80
72,70
73,50
74,144
75,73
76,95
77,99
78,50
79,61
80,71
81,723
82,61
83,59
84,98
85,115
86,60
87,137
88,92
89,103
90,65
91,202
92,61
93,76
94,106
95,72
96,108
97,81
98,82
99,122
100,106
101,98
102,58
103,60
104,111
105,58
106,61
107,132
108,53
109,58
110,67
111,87
112,56
113,128
114,79
115,81
116,63
117,68
118,79
119,57
120,69
121,212
122,150
123,230
124,222
125,177
126,169
127,157
128,285
129,213
130,64
131,50
132,55
133,58
134,188
135,72
136,129
137,95
138,50
139,50
140,181
141,295
142,64
143,53
144,235
145,132
146,56
147,54
148,80
149,84
150,160
151,83
152,80
153,402
154,89
155,73
156,56
157,57
158,132
159,62
160,75
161,112
162,101
163,119
164,140
165,61
166,51
167,27127
168,82
169,53
170,315
171,224
172,368
173,57
174,61
175,2204
176,70
177,78
178,55
179,137
180,62
181,56
182,127
183,69
184,72
185,89
186,203
187,66
188,97
189,916
190,118
191,83
192,62
193,868
194,93
195,83
196,110
197,242
198,59
199,203
200,91
201,72
202,425
203,66
204,105
205,111
206,123
207,113
208,87
209,58
210,53
211,50
212,144
213,68
214,222
215,65
216,156
217,3518
218,63
219,76
220,63
221,101
222,185
223,83
224,132
225,199
226,54
227,112
228,51
229,197
230,199
231,51
232,109
233,180
234,136
235,94
236,61
237,132
238,118
239,125
240,109
241,138
242,205
243,276
244,177
245,111
246,63
247,100
248,141
249,123
250,167
251,219
252,139
253,106
254,155
255,108
256,85
257,53
258,56
259,256
260,112
261,215
262,86
263,56
264,152
265,99
266,87
267,182
268,106
269,138
270,74
271,114
272,84
273,54
274,208
275,266
276,227
277,309
278,55
279,163
280,1604
281,2545
282,129
283,1673
284,76
285,71
286,93
287,82
288,1570
289,52
290,1639
291,52
292,56
293,1707
294,120
295,78
296,84
297,69
298,65
299,1600
300,90
301,56
302,1581
303,55
304,55
305,74
306,85
307,61
308,1399
309,78
