hdbscan_cluster,sample_count
-1,27869
0,264
1,2617
2,207
3,1316
4,300
5,3421
6,228
7,709
8,4078
9,2331
10,1229
11,474
12,380
13,6790
14,722
15,264
16,302
17,3363
18,1719
19,330
20,200
21,266
22,552
23,536
24,206
25,273
26,218
27,231
28,1615
29,566
30,225
31,427
32,696
33,291
34,312
35,242
36,1113
37,974
38,348
39,242
40,422
41,633
42,433
43,227
44,1555
45,441
46,235
47,275
48,570
49,479
50,218
51,892
52,309
53,309
54,1698
55,657
56,21721
57,288
58,293
59,2004
60,2545
61,1578
62,1614
63,1643
64,2014
65,2000
66,1547
67,1708
68,205
