fid,MS_ID,TF_Index_Risk_equal,source_row_position,structural_null_count,had_structural_null,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
24364,24364,0.379226754946849,0,1,True,0.6464291646218476,1.4991586596662823,0.26859800562507846,0.33424001074821713,0.299095589956064,-0.033449286952793006,0.8519071283252275,-0.19705806124764055,-0.49776828220133607,0.2888563762109587
24365,24365,0.375457948071803,1,1,True,0.6563897457059005,1.4824071560568801,0.27194473995545954,0.34085654663293175,0.2907428198069075,-0.030418151188275608,0.8511515612873566,-0.18402764001842978,-0.494380694413357,0.3162343056283646
24366,24366,0.355719907598789,2,1,True,0.051764395381754626,1.3812080122165604,0.9396464849853513,0.6091957133576075,0.24156207137535676,0.2726757554925802,0.20889765245050992,-0.3124313152759334,-0.3068885728444394,0.2657444806123208
24367,24367,0.350387416345715,3,1,True,-0.05719011090996788,1.4451622616090536,0.9892359563061649,0.8907139753365327,0.19215734205822127,0.23537455129561288,0.05047348108817038,-0.3367627119775447,-0.2684213463736724,0.253909027662267
24368,24368,0.322033156939953,4,1,True,-0.22433101766361985,0.9906709198035583,0.5458619519971206,1.093445864662337,0.20458924630909386,-0.1603119710616447,-0.009466520329254992,-0.17847092110711443,-0.3575541885210619,0.12061721632946175
24398,24398,0.541070611388722,5,1,True,-2.0163421598117397,-0.12855137774730938,-0.41921195312337334,-0.14106400401544636,-0.5578206280381282,0.03732862719980446,0.041707150680119896,-0.04473729838235173,0.1958125118333846,-0.03522373845122797
24399,24399,0.527506334480146,6,1,True,-1.9802877984418703,-0.17765808243653927,-0.4115675882845138,-0.10232597612113911,-0.5882626315942989,0.04936493115985472,0.03845477268353035,-0.003443936708351581,0.1954270315922241,0.03839971142210963
24400,24400,0.526295113161306,7,1,True,-1.9775235320860876,-0.1815847290169496,-0.41042937485274456,-0.10145320925349748,-0.5903179790160065,0.05117850265286335,0.037772713028264474,-0.004220361616722005,0.1889681557811764,0.03408018388065481
24401,24401,0.526094105430093,8,2,True,-1.9818540264110365,-0.1905098719773483,-0.41274133284956604,-0.10678444502550297,-0.5884027239967785,0.050497141895699496,0.03779880184418836,-0.0029033479297677542,0.18984171142696096,0.03390015883365308
24402,24402,0.521733371800992,9,2,True,-1.9805888393627846,-0.22487733814111024,-0.4145625452309753,-0.1094525977902335,-0.5929263540272202,0.052596347343686484,0.03684676133760453,0.011995059656249073,0.19172341507260396,0.055595852123808624
24403,24403,0.522948153243719,10,1,True,-2.0066956905340216,-0.2478419351848336,-0.4323273669381968,-0.12094202879679986,-0.5793067126825566,0.04763406089993237,0.03712105039464254,0.015072081027278117,0.19033351307871385,0.02819027320034182
24404,24404,0.598167448800109,11,0,False,-0.2652289143822599,0.004616769357603991,-2.5884782594755857,-0.9129100111359669,-0.4218261188951744,-1.1114801901662323,-1.855079336340194,0.11840962889800655,0.056594564598981295,0.10555176248114616
24405,24405,0.62284044972954,12,0,False,-0.27528162338598444,-0.015408234281684256,-2.498231677283443,-0.9579457287649381,-0.3950176507545118,-0.9495691465961212,1.6379453683993421,0.40846195772024485,-0.3330759866106648,0.11591325834220136
24406,24406,0.595304384223138,13,0,False,-0.8408854699933795,-0.16353773073534533,-1.80348363566315,-0.6743017603200585,-0.5843350282274874,-1.5405092238040794,0.5225730320596743,0.298512146024618,-0.3007557068409575,0.0864645298388313
24407,24407,0.619408874351377,14,0,False,-0.4450894727927295,-0.14407079153978714,-2.410436916538453,-0.8566867025041017,-0.4334487476331237,-1.1359078597729066,0.2741715590419385,0.36020374838596814,-0.2119052063461045,0.07856471280065305
24408,24408,0.541991678492843,15,0,False,-0.2896283003369982,-0.3389364946924895,-2.3025399775677577,-0.656945448714161,0.17245702572456628,-1.2194450314274452,0.2787084155487157,0.31395374436453155,-0.20586383669452754,0.04015113525280594
24409,24409,0.594705906435689,16,0,False,-0.8061854042882023,-0.30089541437234246,-2.118626874442588,-0.6886073875525184,-0.47875156873027075,-1.3951257828347423,0.8215527112600652,0.48755736304914954,-0.321826822724343,-0.01728338612355794
24410,24410,0.589339225063267,17,0,False,-0.6833271498177457,-0.3093525822505189,-2.427392795924229,-0.7498313903005651,-0.27996796408623115,-0.3797726564908707,1.624945152868824,0.5957898069814753,-0.20087434463921075,-0.042715664137540695
24411,24411,0.555925488262495,18,0,False,-0.6938545472060282,-0.3751972643097085,-2.5387901889169715,-0.6576544566384528,-0.30939825819326583,-0.5141537841932392,-1.873143920574742,0.37291038317162406,0.18135059396927897,-0.051927940315440374
24412,24412,0.340828555475408,19,1,True,-1.7937732419764327,-0.9141035322010832,-0.35199881919172044,0.3700433211377125,0.593837893445402,-0.11320910565695594,0.03314834784555934,0.160973190461754,0.1913580824395373,-0.047337392180867285
24413,24413,0.335334716445688,20,2,True,-1.7955050253305833,-0.9424716345182121,-0.36463410957605824,0.3939499526475799,0.5901503419203745,-0.10995915468051948,0.030802013623181537,0.1826537222192111,0.17762699572216675,-0.058436036851365704
24414,24414,0.331570695539299,21,2,True,-1.7965183770971107,-0.9629724669879282,-0.3756514854037473,0.41631368423776277,0.5858220568372339,-0.10915150038840629,0.03024773529959361,0.2009512583720035,0.1789797554841085,-0.047728872180248724
24415,24415,0.333833486625669,22,1,True,-1.8100256415277094,-0.9511136260349892,-0.39017457646233256,0.4303622789494419,0.5927256572937603,-0.11219807678799881,0.030962068977764996,0.19180602169478522,0.17123684038687342,-0.08395042379189875
24416,24416,0.308504285944028,23,0,False,-1.7387156473747103,-0.9903244335915158,-0.3402840899943955,0.5035338111485445,0.7908895909042541,-0.13908916908128827,0.03449057422323576,0.15041087995639946,0.17811596659306886,-0.07567821657046686
24417,24417,0.306102050092542,24,0,False,-1.7218393728357124,-0.9838033333639424,-0.33559664933568556,0.5251119125580799,0.7780897025161458,-0.13608929994206734,0.03499515789338096,0.1516452534805089,0.18357158430742784,-0.04549892179778016
24418,24418,0.303652183488904,25,1,True,-1.7200867165202514,-0.9982334220334022,-0.3386222726627634,0.530830033902316,0.7738032635361769,-0.134590653926959,0.03480125002680102,0.15373495038925153,0.1816792372134986,-0.03801963741628276
24419,24419,0.39081704105227,26,1,True,-1.9570627008830703,-0.8242604505440259,-0.5302047189513531,0.3551205245183809,0.08779346296166926,-0.046186733158870286,0.027637229814293483,0.2692741118272896,0.16817291486024594,-0.05756006018747341
24420,24420,0.39239981524135,27,2,True,-1.9526020644435038,-0.8050771881780681,-0.5304355500366846,0.3670344928557906,0.08377973307844858,-0.047206080322711015,0.029534481300764834,0.2552778894127212,0.17433842037531275,-0.04902793465816087
24421,24421,0.39340311237596,28,1,True,-1.9464892942371679,-0.7891921505862991,-0.5294015988720309,0.3779750609827998,0.07858854908886562,-0.047669187301913475,0.03126730797822205,0.24300365814110128,0.18090329981057798,-0.03597853110497611
24422,24422,0.395351636130575,29,1,True,-1.9402888749563474,-0.7656045331625554,-0.5279077652673813,0.38993080137117647,0.07399745746879495,-0.048626099524681055,0.033319507477930756,0.22710851427844256,0.18782212382898086,-0.025925096060100572
24423,24423,0.394450339092115,30,1,True,-1.9276932117414558,-0.7555156961458634,-0.523309464778541,0.40321516818570774,0.06462529892900737,-0.04675631934175818,0.034221722249972324,0.22027938000087152,0.19193121188094187,-0.005213690484162132
24424,24424,0.392781656993082,31,1,True,-1.912582979531337,-0.7489216383528527,-0.5176021285231819,0.4176122819278732,0.05320143420740892,-0.04433594848814801,0.03507587959674189,0.2163321423615701,0.1980960563750433,0.024000341302579116
24425,24425,0.395119082152465,32,1,True,-1.9082434466303133,-0.7228249075875668,-0.5170249938718873,0.4289811771023311,0.05027469115422691,-0.0452180532078152,0.036861058111497716,0.1976018764813247,0.20009080816403893,0.02234185167549796
24426,24426,0.396564126675142,33,1,True,-1.9003484700598756,-0.6996783008166622,-0.5150020409491269,0.4425598368746566,0.04448699284118095,-0.04533428736836736,0.03864433978996216,0.18113348839251614,0.20416201147712104,0.030545184564821484
24427,24427,0.393207175443335,34,2,True,-1.8725044902982262,-0.6849169094618314,-0.5052331323918704,0.4728540996827058,0.02425034505355531,-0.039877302485346766,0.03934891313860037,0.1751911732393562,0.20757722553606803,0.06987059317793633
24428,24428,0.391513155985508,35,2,True,-1.8548881771446786,-0.67402826748767,-0.4996855950829659,0.4931321368570442,0.01059089901470624,-0.037337457074342585,0.04062373621088006,0.16890911459333502,0.21529967852080084,0.10347392982312693
24458,24458,0.577978842015083,36,0,False,0.9556467045128935,2.430032655970671,-1.3729683871090423,0.9656827277559837,0.808392793204925,1.1335712340859199,0.7724513405723142,-0.2779739989158497,0.17827841622684698,-0.0029059181374273646
24459,24459,0.580137931801161,37,0,False,0.9745160342291702,2.4367549747404387,-1.3998790794280138,0.9526265148375035,0.8173709294413496,1.1550672404969444,0.8145875675255596,-0.2747786193893402,0.17764105611179276,-0.0049016970688599585
24460,24460,0.581051689354064,38,0,False,0.975352539776238,2.4363206086055658,-1.3852511164350214,0.9271083334058746,0.8189130854323506,1.1535185188682588,0.8104157198331591,-0.2794197880963806,0.1794423515183355,0.0008193015477651331
24461,24461,0.579096001634968,39,0,False,0.9978275550783908,2.6498924452356416,-1.459897596474983,1.2819895031218633,0.7865218417650428,1.277997688061989,0.8250552782059465,-0.3082299907168627,0.23376067706943568,-0.003906277046675948
24462,24462,0.598683568971187,40,0,False,1.1014372285470153,2.6963428847566906,-1.5233935755835843,1.1300464286971916,0.7828880117961295,0.9931691814328706,0.8119792057573993,-0.32555714414234094,0.16836046886414138,-0.014001245349398221
24463,24463,0.606674795003622,41,0,False,1.1607617811986564,2.7160751217199954,-1.5531931961071022,0.9962119943587255,0.8170906553114667,1.0529850916591204,0.9258341816309584,-0.3334071281995885,0.17257001594202598,-0.0023943874304696946
24464,24464,0.94449493642731,42,0,False,5.586629652881782,0.4923587878635933,-1.1728393395326873,1.8263886718476947,0.1440244411932907,0.11179580035730244,0.05963082045377761,-0.09430933336893833,0.10225947718546319,-0.023044359271333817
24465,24465,0.775498597149607,43,1,True,1.9772340417177559,3.1448542706597196,-2.9920872724482,0.3721734664507091,1.0358575248173862,-0.38259293485700974,0.11465887018702053,-0.29511923532579726,0.20392093032090997,-0.036909106906760684
24466,24466,0.775871183549581,44,1,True,5.113981783940214,0.7902374059286668,-1.5448503310382913,1.4589887613961667,-1.1670567422076343,0.28128655551716264,0.043026816321806195,0.158600329276089,0.07396892851969078,-0.07150011144154987
24467,24467,0.775871183549581,45,1,True,5.114296939578073,0.7921260038902515,-1.5458435370200914,1.4626892592363556,-1.1675871711054087,0.2812238251230561,0.04314852226562788,0.15838568675129905,0.07413159969776485,-0.07160388668805026
24468,24468,0.776301494290029,46,1,True,5.0741899218347655,0.5517811619898717,-1.4194471628177283,0.9917602492279628,-1.1000842656866212,0.28920695703390104,0.027660103649727538,0.1857013064517754,0.05342990491082564,-0.058397346322848064
24469,24469,0.776301494290029,47,1,True,5.072963641212412,0.5444325671830617,-1.4155825667160649,0.9773614942975022,-1.0980203499550296,0.28945104299488217,0.02718654194685695,0.18653648735055633,0.05279694617703045,-0.05799355353421864
24581,24581,0.259049683513414,48,0,False,-0.7278451570527902,0.4335550529837289,0.10879201293463357,1.7827933153093476,0.2650986230755801,0.0893489965485441,-0.006830043372117091,0.040593571401176205,-0.24428969835047676,-0.05082975923929881
24582,24582,0.25905653933308,49,0,False,-0.7248049364798709,0.43675146442380797,0.11242897153092683,1.7807606468986692,0.26450320849048437,0.09018914702123561,-0.007220681706817056,0.040890729209416506,-0.2460300030575115,-0.05135144691755715
24583,24583,0.259748734294334,50,0,False,-0.7231550767006993,0.44218150531129485,0.11578904791469985,1.7776815094772374,0.2650989315205448,0.09006898065958759,-0.007270578783484978,0.041723580836808445,-0.24425825656374722,-0.04947106903873462
24584,24584,0.260349334571601,51,0,False,-0.7206150657878313,0.44862132334238286,0.1193914197685057,1.7758789199643483,0.2650940191981085,0.0902043394661844,-0.007341697308242831,0.0418976004724688,-0.24319356599130937,-0.0478845625955698
24585,24585,0.261501713951213,52,0,False,-0.7212669581902756,0.45797770201565857,0.11953640243936095,1.776932887438049,0.26652772605655484,0.08973400392502728,-0.007179898258172038,0.0376035699680854,-0.24497345554727462,-0.05625071763566945
24586,24586,0.26219762992524,53,0,False,-0.7214071955091803,0.46190799372555347,0.12044068987333086,1.77592021706566,0.2673510845502546,0.08907661938158894,-0.006949121848105106,0.038078740352530914,-0.2420602277640428,-0.05400777556023884
24587,24587,0.263187402809097,54,0,False,-0.7226301965525744,0.4665414378412319,0.12043983515672459,1.7753929376801942,0.2687203824295203,0.0878492950994608,-0.006489218900982722,0.038757778071251206,-0.23730728469929435,-0.05067372249390762
