Tem_extent,N_TFlossR_2kiw,N_TFlossR_2ktw,N_TFlossR_2kmw,TFResident_lossR,TFDaynight_lossR,TFPRM_lossR,TFAB2k_NOR,TFAB5k_NOR,TFABC_NOR
-0.5141338167577381,0.3577498270029483,-0.1775111013928312,0.09517932256036861,-0.7595309759585727,-0.26422746450685874,0.5077585530333577,1.0815088694073585,0.8504353304277626,0.8973643909930946
-0.5141338167577381,0.3577498270029483,-0.14003297492534114,0.09142898400867626,-0.7595309759585727,-0.26422746450685874,0.5077585530333577,1.0772196693836844,0.8483323807285705,0.8954521483812814
-0.5141338167577381,0.3577498270029483,-0.16814053535433102,0.07868357533974675,0.158175504653364,0.5175277186585432,0.5077585530333577,1.0665618367668648,0.8431345931022526,0.8816702932085548
-0.5141338167577381,0.3577498270029483,-0.16814053535433102,0.06381358389880958,0.3964925722038334,0.589099290049626,0.5077585530333577,1.0281348540944208,0.8210462701906267,1.1360557630976844
-0.5141338167577381,0.3577498270029483,-0.18623752436446617,0.057579704401622786,0.4924470959643491,0.2011535421755543,0.5077585530333577,0.4146592392698111,0.4424439961546028,1.1951699121491806
-0.5141338167577381,-1.191573866561969,-0.6408383322578646,-0.7996132780453852,0.5111395356579561,0.589099290049626,0.5077585530333577,-0.6205135788705153,-0.7914581866049708,-0.1479181782761755
-0.5141338167577381,-1.191573866561969,-0.5272654523795991,-0.794695231808802,0.5111395356579561,0.589099290049626,0.5077585530333577,-0.6399742096610096,-0.7967244901835002,-0.135716168107595
-0.5141338167577381,-1.191573866561969,-0.5272654523795991,-0.7852474061437881,0.5111395356579561,0.589099290049626,0.5077585530333577,-0.641699173812132,-0.7977184377915493,-0.13663761329194013
-0.5141338167577381,-1.191573866561969,-0.5272654523795991,-0.78722342196915,0.5111395356579561,0.589099290049626,0.5077585530333577,-0.6478068963251008,-0.8027727071891738,-0.14512803136458718
-0.5141338167577381,-1.191573866561969,-0.4937695995012109,-0.7903128066509338,0.5111395356579561,0.589099290049626,0.5077585530333577,-0.6659847643364201,-0.8149519868647448,-0.1625881523184664
-0.5141338167577381,-1.191573866561969,-0.5225606181373079,-0.7921475035395849,0.5111395356579561,0.589099290049626,0.5077585530333577,-0.6997341826074707,-0.8323925971351153,-0.18139530838688467
-0.5141338167577381,-1.191573866561969,-0.5225606181373079,-0.8033598180404479,0.5111395356579561,-1.8637688773697476,-2.200973489303891,-0.7398888711573471,-0.8484829487287288,-0.19447931390896725
