Tem_extent,N_TFlossR_2kiw,N_TFlossR_2ktw,N_TFlossR_2kmw,TFResident_lossR,TFDaynight_lossR,TFPRM_lossR,TFAB2k_NOR,TFAB5k_NOR,TFABC_NOR
0,,-0.318079934333807,-0.276898734177215,-0.466666666666667,-0.33306342780027,0.0,1.0,1.0,0.191911273293973
0,,-0.294367664479346,-0.279527559055118,-0.466666666666667,-0.33306342780027,0.0,0.998523469096403,0.999437335871969,0.191690161737669
0,,-0.312151212395513,-0.288461538461538,-0.12962962962963,-0.0279352226720648,0.0,0.994854575331309,0.9980466185174,0.190096573441303
0,,-0.312151212395513,-0.298884758364312,-0.0421052631578947,0.0,0.0,0.981626321313151,0.992136678324579,0.219511024725272
0,,-0.323601109372988,-0.303254437869822,-0.0068649885583524,-0.151419769622288,0.0,0.770441088894028,0.890838050747868,0.226346361107599
0,-1.0,-0.611225333123204,-0.904109589041096,0.0,0.0,,0.414089170561587,0.560695824329123,0.0710458275389411
0,-1.0,-0.539368198584801,-0.900662251655629,0.0,0.0,,0.407389967305255,0.559286774882007,0.0724567392306609
0,-1.0,-0.539368198584801,-0.894039735099338,0.0,0.0,,0.406796158934773,0.559020834776827,0.0723501930332795
0,-1.0,-0.539368198584801,-0.895424836601307,,0.0,,0.404693612774366,0.557668517084901,0.0713684506842088
0,-1.0,-0.518175498273417,-0.897590361445783,,0.0,,0.39843599276782,0.554409835347847,0.0693495465485523
0,-1.0,-0.536391467630267,-0.898876404494382,0.0,0.0,,0.386817961717605,0.549743434732618,0.0671748854871104
0,-1.0,-0.536391467630267,-0.906735751295337,0.0,-0.957383177570094,-1.0,0.372994955506433,0.545438308626839,0.0656619891601456
0,-1.0,-0.528754833143336,-0.897058823529412,-0.917647058823529,-0.936038011695906,-0.0787878787878788,0.358926062170169,0.542386490840645,0.0650407636405277
0,-1.0,-0.541366597679714,-0.89622641509434,-0.331864904552129,-0.936038011695906,-0.0787878787878788,0.339676039698398,0.537809480383209,0.0633105370773366
0,-1.0,-0.523964924070639,-0.895454545454546,-0.492753623188406,-0.940958164642375,-0.369294605809129,0.312695846935799,0.53295333690407,0.0621296432556798
0,-0.556859917445102,-0.542250148674749,-0.895454545454546,-0.492753623188406,-0.940958164642375,-0.369294605809129,0.265519143337365,0.527265617568618,0.0624569006843093
0,-1.0,-0.559545287915544,-0.899563318777293,-0.492753623188406,-0.936038011695906,-0.0787878787878788,0.235082767959063,0.523159624928793,0.0619642582192304
0,-1.0,-0.53505757947572,-0.903930131004367,-0.917647058823529,-0.657509627727856,-0.0787878787878788,0.204863956044139,0.5200960469341,0.0627813778486278
0,-1.0,-0.508539216480133,-0.90295358649789,0.0,-0.667970787689098,-1.0,0.182101582437691,0.517467601472048,0.06367225674071
0,-0.152695113390105,-0.481428764811636,-0.901234567901235,0.0,0.0,,0.164266771099908,0.515217077899386,0.0647685398223203
0,-0.152695113390105,-0.473928196967717,-0.888030888030888,,0.0,,0.150110566986535,0.513028233394026,0.065907400017419
0,-0.152695113390105,-0.458680611727,-0.889312977099237,,0.0,,0.140937110251566,0.510710184441041,0.0672973080664954
0,-0.152695113390105,-0.483697762042384,-0.882142857142857,0.0,0.0,,0.136589090821053,0.509364492083841,0.0695851512218317
0,0.0,-0.483697762042384,-0.883959044368601,0.0,0.0,0.0,0.136260274133613,0.508231604870627,0.0716101072380798
0,0.0,-0.461948834989101,-0.887043189368771,0.0,0.0,0.0,0.141401313331853,0.508759054931321,0.0742012642786904
0,0.0,-0.45327042577913,-0.884745762711864,0.0,0.0,,0.138938800557891,0.506257082698678,0.0741501847237883
0,-0.5183995739405,-0.45327042577913,-0.883959044368601,0.0,0.0,,0.146290594229027,0.506073675404826,0.0775284538863003
0,-0.5183995739405,-0.45327042577913,-0.888524590163934,,0.0,,0.153213835375049,0.505725233377662,0.0798662143223011
0,-0.5183995739405,-0.449532895154471,-0.893416927899687,,0.0,0.0,0.160134060335207,0.5052916426796,0.081916212336321
0,-0.5183995739405,-0.449532895154471,-0.898507462686567,,0.0,0.0,0.168758644043965,0.505467869291919,0.0844677548912513
0,-0.5183995739405,-0.437068278024968,-0.900584795321637,,0.0,0.0,0.175331709169028,0.505534140518417,0.0864065108193784
0,-0.5183995739405,-0.418189963104866,-0.904494382022472,,0.0,0.0,0.182000605730526,0.505474091457012,0.0882675130256475
0,-0.5183995739405,-0.425530458611046,-0.904891304347826,,0.0,0.0,0.190037017731951,0.505820523621943,0.0908990497148387
0,-0.5183995739405,-0.425530458611046,-0.906976744186046,,0.0,0.0,0.19863270805201,0.506004603032333,0.0935997400672603
0,-0.5183995739405,-0.39746169446539,-0.906474820143885,,,0.0,0.20896805871825,0.506907893428728,0.0975348258338424
0,-0.5183995739405,-0.376335216815869,-0.911363636363636,,,0.0,0.217218082984629,0.506755928739432,0.100260158300414
0,0.0,-0.684747729921951,-0.663636363636364,-0.912116040955631,-0.118761009982384,-0.534102833158447,0.941442635575093,0.978467321493331,0.342257517506822
0,0.0,-0.687380944566169,-0.664499349804942,-0.934168365860763,-0.118761009982384,-0.534102833158447,0.942024060669105,0.978636342440593,0.342137045873027
0,0.0,-0.687380944566169,-0.666666666666667,-0.932152506754728,-0.118761009982384,-0.534102833158447,0.947191922077081,0.98019836983764,0.339196778122648
0,0.0,-0.687380944566169,-0.675099866844208,-0.947312588401697,-0.0697281782880297,-0.54778156996587,0.957475903805725,0.986601380837471,0.387943047377679
0,0.0,-0.727292945829683,-0.679676985195155,-0.939822294022617,-0.198895027624309,-0.54778156996587,0.979652176278296,0.99381216091071,0.378151192205738
0,0.0,-0.737801913027996,-0.689965397923875,-1.0,-0.198895027624309,-0.54778156996587,0.999998939244674,0.999999949793629,0.367021384746818
1,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.370747100713952
0,,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.368697267542707
1,,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.372148721849136
1,,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.372649140563419
1,,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.308965360735858
1,,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.30701821558384
0,0.0,-0.293507359837919,-0.35,0.0,0.0,0.0,0.461255745563468,0.753131909426622,0.272192674502408
0,0.0,-0.293507359837919,-0.348189415041783,0.0,0.0,0.0,0.462516828232192,0.754339786592847,0.272080020397938
0,0.0,-0.293507359837919,-0.35,0.0,0.0,0.0,0.464187625926603,0.755792435310844,0.271963618887945
0,0.0,-0.293507359837919,-0.350974930362117,0.0,0.0,0.0,0.466170478161595,0.757314478144495,0.272034982874603
0,0.0,-0.300544968000132,-0.349162011173184,0.0,0.0,0.0,0.467542998316828,0.758194741061788,0.272623052154332
0,0.0,-0.300544968000132,-0.352112676056338,0.0,0.0,0.0,0.468484353419211,0.758886493907417,0.272689974037889
0,0.0,-0.300544968000132,-0.356940509915014,0.0,0.0,0.0,0.469366959387991,0.759484959197922,0.272853033843302
0,0.0,-0.300544968000132,-0.365921787709497,0.0,0.0,0.0,0.572935994866276,0.86519858043097,0.441078186039224
0,0.0,-0.300544968000132,-0.364640883977901,0.0,0.0,0.0,0.573738173897797,0.865505584778882,0.441064606375637
0,0.0,-0.300544968000132,-0.355113636363636,-0.0044247787610619,0.0,0.0,0.717296943927854,0.890233632177761,0.361814832214018
0,0.0,-0.300544968000132,-0.357142857142857,-0.0044247787610619,0.0,0.0,0.749724215592709,0.937966954856647,0.543069393132004
0,0.0,-0.307928293105072,-0.357142857142857,-0.0044247787610619,0.0,0.0,0.750386083470874,0.938112715785232,0.542850647306269
1,-1.0,-1.0,-1.0,,-0.975321888412017,-1.0,0.999526458196732,0.999978015808242,0.0836787948205205
1,-1.0,-1.0,-1.0,,-0.975321888412017,-1.0,0.999828181065206,0.999991893246453,0.0835157582278805
1,-1.0,-1.0,-1.0,,-0.975321888412017,-1.0,1.0,1.0,0.0839799422085965
1,1.0,1.0,1.0,,-1.0,,1.0,1.0,0.0841301967181811
1,-1.0,-1.0,-1.0,,-1.0,,1.0,1.0,0.0841405399445125
1,-1.0,-1.0,-1.0,,-1.0,,0.999982961800047,0.999999154973609,0.0843807219527164
1,-1.0,-1.0,-1.0,,-1.0,,0.999990074127141,0.999999505127077,0.0843686954265931
1,-1.0,-1.0,-1.0,,-1.0,,1.0,1.0,0.0846748496616263
1,1.0,1.0,1.0,,-1.0,,1.0,1.0,0.0846818540838125
1,1.0,1.0,1.0,,-1.0,-1.0,1.0,1.0,0.0848324084191522
0,-1.0,-1.0,-1.0,,-0.027843137254902,0.0,1.0,1.0,0.0852726695492139
0,-1.0,-1.0,-1.0,,0.0,0.0,0.99968616161124,0.999983598328746,0.0855627398088849
0,-1.0,-1.0,-1.0,,0.0,0.0,0.999354796637189,0.999965820317911,0.0860374279870867
0,-1.0,-1.0,-1.0,,0.0,0.0,0.999066580524043,0.9999498609517,0.0862344478748243
0,-1.0,-1.0,-1.0,,0.0,0.0,0.998631248627215,0.999924914933426,0.0875275466596367
0,-1.0,-1.0,-1.0,,0.0,0.0,0.998486550305071,0.999916315143349,0.0878940009820114
0,-1.0,-1.0,-1.0,,0.0,0.0,0.998381674591056,0.999909923525113,0.0880705397110252
0,-1.0,-1.0,-1.0,,0.0,0.0,0.998267058362369,0.999902621910959,0.0880614076589232
0,-1.0,-1.0,-1.0,,0.0,0.0,0.997932429334369,0.999881478791501,0.0895165792985127
0,-1.0,-1.0,-1.0,,0.0,0.0,0.997840599413013,0.999875450403601,0.0899261282376798
0,-1.0,-1.0,-1.0,,0.0,0.0,0.997755026942756,0.999869695417472,0.0903365117209655
0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.997660641907291,0.999863241245037,0.0908546427369192
0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.997747582730008,0.999867391179832,0.0904378402644657
1,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.15908169360791
1,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.158575762916911
1,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.157900577553564
1,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.153907443384205
1,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.156030837245888
1,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.154534610934395
1,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.152284787064281
1,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.153290444297127
1,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.151874840873116
1,,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.153038699999196
1,,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.152697658361405
1,,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.152318294291721
0,,-0.585490814345221,-0.658349328214971,-1.0,-1.0,-1.0,1.0,1.0,0.152601514146064
0,,-0.545689759203425,-0.6484375,-1.0,-1.0,-1.0,0.995438023719562,0.99884126265602,0.152511400799531
0,,-0.527230079275171,-0.641584158415842,-1.0,-1.0,-1.0,0.990134160353955,0.99752878977895,0.152250050244095
0,,-0.503678800675716,-0.623481781376518,-1.0,-1.0,-1.0,0.982701199009237,0.995717008117351,0.152370439550908
0,,-0.503678800675716,-0.621181262729124,-1.0,-1.0,-1.0,0.975303139669162,0.993918033666452,0.152864188648023
0,,-0.481773798197674,-0.621457489878543,-1.0,-0.416666666666667,-0.960227272727273,0.969907626350631,0.992643849304771,0.152865716353679
0,,-0.481773798197674,-0.624497991967871,-1.0,-0.416666666666667,-0.960227272727273,0.963191926061389,0.991065207948946,0.153139804910515
0,,-0.481773798197674,-0.6187624750499,-0.729292929292929,-0.416666666666667,-0.960227272727273,0.956902326872939,0.989528611611797,0.153856958739469
0,,-0.466394009119836,-0.6187624750499,-0.729292929292929,-0.416666666666667,-0.960227272727273,0.953390912035883,0.988747928008059,0.153616285331853
0,,-0.43916383783208,-0.621782178217822,-0.474509803921569,-0.416666666666667,-0.960227272727273,0.946921955541085,0.987219840615617,0.154051718358241
0,,-0.43916383783208,-0.619521912350598,-0.341346153846154,-0.416666666666667,-0.960227272727273,0.940975103806548,0.985827953622398,0.154428244624795
1,,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.480601117940624
1,,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.479082148089318
1,,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.475781596151393
1,,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.473409429703552
1,,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.471101523861243
1,,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.470305645789289
1,,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.469250877523392
1,,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.468116704692316
1,,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.46735838665314
1,,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.46621967669231
1,,1.0,1.0,-1.0,-1.0,,1.0,1.0,0.464484924280491
1,,1.0,1.0,,-1.0,,1.0,1.0,0.463517631038613
1,,1.0,1.0,,-1.0,-1.0,1.0,1.0,0.462480223757185
0,,-0.491986528728219,-0.858585858585859,,0.0,-1.0,1.0,1.0,0.463732527355844
0,,-0.491986528728219,-0.851063829787234,,0.0,-1.0,0.991268108697882,0.999337672389142,0.463277609015086
1,,1.0,1.0,,-1.0,,1.0,1.0,0.0228194397337938
1,,1.0,1.0,,-1.0,,1.0,1.0,0.0243476215620887
1,,1.0,1.0,,-1.0,,1.0,1.0,0.0256194102095959
1,,1.0,1.0,,-1.0,,1.0,1.0,0.0262509611423662
1,,1.0,1.0,-1.0,-1.0,,1.0,1.0,0.0266663349374842
1,,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0282191496059921
1,,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0293528912247082
1,,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0304388946191148
1,,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0325118130221808
1,-1.0,-0.70759550373206,-0.918032786885246,,,,0.989853227287507,0.992036064317944,0.285966031681011
1,-1.0,-0.70759550373206,-0.933333333333333,,,,0.991360600986341,0.993224701814487,0.286137004734442
1,-1.0,-0.70759550373206,-0.933333333333333,,,,0.992854707386693,0.994403607985006,0.286468373241429
1,-1.0,-0.70759550373206,-0.933333333333333,,,,0.994337956843462,0.99556838652776,0.286822886162254
0,-1.0,-0.70759550373206,-0.933333333333333,,,,0.995572260711784,0.996535447979904,0.287288335116362
0,-1.0,-0.670640643582793,-0.918032786885246,,,,0.968238524832232,0.932647166006421,0.0555391552397031
0,-1.0,-0.688215849850068,-0.918032786885246,,,,0.970001154096466,0.936434450219359,0.0554826156658851
0,-1.0,-0.688215849850068,-0.918032786885246,,,,0.9716337811363,0.940027432728129,0.0555271220507892
0,-1.0,-0.688215849850068,-0.918032786885246,,,,0.974076092378029,0.945345349960287,0.0554693144558246
0,-1.0,-0.688215849850068,-0.918032786885246,,,,0.977793121760798,0.953505014314526,0.0553872944334832
0,-1.0,-0.688215849850068,-0.918032786885246,,,,0.982816155643802,0.964668325702999,0.0553453589770963
1,-1.0,-0.697198174463366,-0.918032786885246,,,,0.989564987764192,0.979573261589073,0.0553259611921502
1,-1.0,-0.697198174463366,-0.918032786885246,,,,0.995046613319386,0.991821350874154,0.0556839284170989
1,-1.0,-0.70759550373206,-0.918032786885246,,,,0.998505119403335,0.999640352476536,0.0561056093254464
0,-1.0,-0.670640643582793,-0.918032786885246,,,,0.973299081448791,0.982632191865808,0.228108410770581
0,-1.0,-0.688215849850068,-0.918032786885246,,,,0.974018189382438,0.983112356530945,0.228043117567165
0,-1.0,-0.688215849850068,-0.918032786885246,,,,0.974646699995749,0.983530287860774,0.228136324199801
0,-1.0,-0.688215849850068,-0.918032786885246,,,,0.975742225894001,0.984259483705282,0.228073186855326
0,-1.0,-0.688215849850068,-0.918032786885246,,,,0.977818058738249,0.985636323967069,0.227951736381272
0,-1.0,-0.688215849850068,-0.918032786885246,,,,0.97999269655542,0.987075726431798,0.228223736721294
1,-1.0,-0.697198174463366,-0.918032786885246,,,,0.98219935890582,0.988519125594897,0.228546428786636
1,-1.0,-0.70759550373206,-0.918032786885246,,,,0.984533787427919,0.990035439589629,0.228876629371052
0,-1.0,-0.73405815722872,-0.620833333333333,0.0,-0.275932759327593,0.0,0.232682578872163,0.238845680067962,0.0692410431289475
