Variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7
N_TFlossR_2kiw,0.3992241296617203,-0.1539787045170125,0.4178005352846445,-0.058778787654596015,0.7957596415103874,-0.07210293356706539,0.021591192720860426
N_TFlossR_2ktw,0.4462388995112795,-0.2987337110411848,0.182541331681587,-0.2641521368489336,-0.3752580203538616,0.03577227478836666,-0.6829590674360697
N_TFlossR_2kmw,0.4681365778404178,-0.21551919126096572,0.19171731677419715,-0.11540131856944888,-0.39587699056652104,0.10346055811146053,0.7189603257918173
TFResident_lossR,-0.40209432494212655,-0.14019336163593119,0.58233953044621,-0.045389185303402,-0.19562613079594104,-0.6612282498559544,0.04465519994328199
TFDaynight_lossR,-0.42154223754906395,-0.1115186742026481,0.511328671169619,-0.05979171848405043,-0.01560128997337625,0.7377020327155338,-0.019646332619194382
TFAB5k_NOR,0.2717354524734166,0.43011207641568433,0.34387446471621186,0.7606817839481638,-0.17094250327206803,0.036867084336337085,-0.11703204836133625
TFABC_NOR,0.09550509424736904,0.7896285297655681,0.1911540196501686,-0.573741434986255,-0.03866648056665762,-0.005581653437150132,0.010964348136568122
