street_id,pca_component_1,pca_component_2
142,-0.7473101363906933,-1.2965875036413599
143,-0.7473249909005555,-1.2965855497381003
144,-0.7473378693980312,-1.296583851957206
145,-0.7473498310296015,-1.2965823583844671
146,-0.7473635962303389,-1.2965805455183637
147,-0.7473628301201783,-1.296580617505897
148,-0.7473628334793512,-1.2965806170706093
149,-0.7473628569156894,-1.29658066488662
150,-0.7473633806083912,-1.2965805957674372
151,-0.7473633928067975,-1.2965805929246905
152,-0.7473634048198792,-1.2965805901251324
153,-0.7473638599656586,-1.2965804840568302
154,-0.7473626856176936,-1.2965807098376942
155,-0.7473631634561283,-1.296580600997342
156,-0.7473631755874183,-1.2965805983490744
157,-0.7473630321302861,-1.2965806748196789
158,-0.7473630851144736,-1.2965806646300733
159,-0.7473630770852887,-1.2965806644604398
160,-0.7473615273604617,-1.2965808903792533
161,-0.7473630163408892,-1.2965806302014147
162,-0.7473638599656586,-1.2965804840568302
163,-0.7473631613153411,-1.2965806450508264
164,-0.7473635331971286,-1.2965805602077793
165,-0.7473638599656586,-1.2965804840568302
166,-0.7473624104307379,-1.2965807357006325
167,-0.7473635601374928,-1.29658055392953
168,-0.7473630992343963,-1.2965806127808597
169,-0.7473630394322174,-1.296580633131636
170,-0.7473624903300666,-1.296580707029162
171,-0.7473636021950124,-1.2965805017525316
172,-0.7473633910347783,-1.296580544821663
173,-0.7473626167665623,-1.2965807284995619
174,-0.7473635991181998,-1.2965805019637517
175,-0.7473635981056058,-1.296580502033265
176,-0.7473628018878766,-1.2965807278757564
177,-0.7473630775729942,-1.2965806663875583
178,-0.7473635951870796,-1.2965805022336192
179,-0.7473628093234415,-1.2965806776001783
180,-0.7473632988111124,-1.296580614829678
181,-0.7473635923591174,-1.296580502427756
182,-0.7473627338076381,-1.2965806582124704
183,-0.7473626057665033,-1.2965807730691286
184,-0.7473632804790871,-1.296580574666333
185,-0.7473620513841122,-1.2965808512628292
186,-0.7473635879016157,-1.2965805027337594
187,-0.747363526588872,-1.296580561747784
188,-0.7473625606787072,-1.2965807418416
189,-0.7473633624112396,-1.296580548530748
190,-0.7473638599656586,-1.2965804840568302
191,-0.7473632141299069,-1.2965805891537876
192,-0.7473625465753638,-1.2965806990421884
193,-0.7473622393695827,-1.2965808575000701
194,-0.7473610845816189,-1.2965810785319345
195,-0.7473634482535932,-1.2965805800032317
196,-0.7473619657987645,-1.2965808181715508
197,-0.7473615437617694,-1.296580966473124
198,-0.7473623926689695,-1.2965807204367739
199,-0.7473626233920926,-1.2965807233428182
200,-0.7473628221958326,-1.2965806328767973
201,-0.7473633750847802,-1.2965805970546733
202,-0.7473633618834133,-1.2965806001311526
203,-0.7473619421179104,-1.2965807877222784
204,-0.747363597209333,-1.2965805452902166
205,-0.747362477898143,-1.296580712061473
206,-0.7473630629745531,-1.2965806160379711
207,-0.7473627466452363,-1.2965806881019843
208,-0.7473635720702745,-1.2965805038205651
209,-0.7473629445670392,-1.2965806483285083
210,-0.747363260669068,-1.2965805762066065
211,-0.7473632214616834,-1.296580632855381
212,-0.7473624807879524,-1.2965806967265054
213,-0.7473631587349653,-1.296580645645437
214,-0.747362874655528,-1.2965806658396097
215,-0.7473629749926817,-1.2965806356598812
216,-0.7473632012504783,-1.2965805895811358
217,-0.7473631907944301,-1.2965805919512685
218,-0.747362525493822,-1.2965807380806087
219,-0.7473635668894728,-1.2965805041762222
220,-0.7473638599656586,-1.2965804840568302
221,-0.7473624599489244,-1.2965807529830775
222,-0.7473633270341953,-1.2965805531149635
223,-0.7473614524143746,-1.296580943564397
224,-0.7473635652145825,-1.2965805042912015
225,-0.7473619652291207,-1.2965809206718277
226,-0.747362599246118,-1.2965807267917924
227,-0.7473638599656586,-1.2965804840568302
228,-0.74736230776721,-1.2965807348720444
229,-0.7473622539277616,-1.2965807583436004
230,-0.7473625738043779,-1.2965807350812442
231,-0.7473628220703177,-1.2965806703581082
232,-0.7473638599656586,-1.2965804840568302
233,-0.7473633222679462,-1.2965805537325819
1226,-0.9865706022512294,-1.4046796595357356
1227,-0.9865705570664457,-1.4046797188249949
1228,-1.1061746799329524,-1.4587291200061179
1229,-1.1061744537974207,-1.458729210073141
1230,-1.106174351351396,-1.458729199452187
1231,-1.1061750900303242,-1.4587290673976883
1232,-1.1061750900303242,-1.4587290673976883
1233,-1.1061750900303242,-1.4587290673976883
1234,-1.1061745011662985,-1.458729199450654
1235,-1.106174865027998,-1.4587291142992647
1236,-1.1061739251551401,-1.458729328621359
1237,-1.106174404595192,-1.4587291875528987
1238,-1.1061745700732362,-1.4587291428469138
1239,-1.106174421029214,-1.4587291839298158
1240,-1.1061750900303242,-1.4587290673976883
1241,-1.106174679281583,-1.4587291200896775
1242,-1.1061749805243686,-1.4587290585058383
1243,-1.1061749878181808,-1.4587290887037379
1244,-1.1061746810609525,-1.458729119861415
1245,-1.1061741650784553,-1.458729235747122
1246,-1.1061749915809698,-1.4587290879193873
1247,-1.1061750900303242,-1.4587290673976883
1248,-1.106174376656626,-1.4587291615855362
1249,-1.1061747937035367,-1.4587290980584335
1250,-1.1061738049131897,-1.4587292784865828
1251,-1.1061750018315792,-1.4587290857826547
1252,-1.1061748988129025,-1.4587290769789913
1253,-1.1061749917106014,-1.4587290594141569
1254,-1.1061750900303242,-1.4587290673976883
1255,-0.986571204511863,-1.4046795715604983
1256,-0.9865709169539427,-1.4046795949943702
1257,-0.9865704545331591,-1.4046797420956811
1258,-0.9865707973377963,-1.4046796231845662
1259,-0.9865711845797935,-1.4046795417145117
