cluster_id,feature,mean,median,std,min,max,q25,q75
1,Per_extent,0.006342494714587738,0.0,0.0793868217992331,0.0,1.0,0.0,0.0
1,N_PFlossR_2kiw,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1,N_PFlossR_2kmw,-0.39497357488141793,-0.458585858585859,0.1690525881933814,-0.664756446991404,-0.0415531335149864,-0.550561797752809,-0.243983957219251
1,PFResident_lossR,-0.0772454029417287,0.0,0.20243236086341312,-0.930762489044698,0.0,0.0,0.0
1,PFDaynight_lossR,-0.020402573442468937,0.0,0.06686832054901637,-0.345621322256836,0.0,0.0,0.0
1,PFAB5k_NOR,0.1853114950633409,0.173353398744511,0.12364208285194381,0.0,0.470480761637513,0.0764560563856905,0.293211903626682
1,PFABC_NOR,0.06289173450718483,0.0270502032327185,0.08325369616020684,2.24550120086876e-06,0.611133780770461,0.0081865231319347,0.105109002754956
2,Per_extent,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,N_PFlossR_2kiw,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
2,N_PFlossR_2kmw,-0.26057890550626067,-0.225563909774436,0.17202174610532828,-0.622784810126582,-0.0344827586206897,-0.32245444520296196,-0.126251126013412
2,PFResident_lossR,-0.018093246234354914,0.0,0.07564531917348623,-0.513636363636364,0.0,0.0,0.0
2,PFDaynight_lossR,-0.05051126031526036,0.0,0.12047326684776762,-0.470033562410101,0.0,0.0,0.0
2,PFAB5k_NOR,0.5298227504271076,0.530659030045135,0.08413956047752129,0.313122073764618,0.741593970041799,0.4872799268095085,0.5790692178367065
2,PFABC_NOR,0.06051233530248019,0.0310179780967964,0.07158304799252854,1.79765868455823e-05,0.500970921646099,0.00926301166625295,0.0872463729561743
3,Per_extent,0.002207505518763797,0.0,0.04693221109375121,0.0,1.0,0.0,0.0
3,N_PFlossR_2kiw,-0.9876284576123338,-1.0,0.051407538235696604,-1.0,-0.5,-1.0,-1.0
3,N_PFlossR_2kmw,-0.33855840975895557,-0.275600505689001,0.18057880758557243,-0.915151515151515,-0.0350467289719626,-0.492348636061211,-0.190778097982709
3,PFResident_lossR,-0.04366696415024055,0.0,0.08605928100087196,-0.403033586132178,0.0,-0.0344827586206897,0.0
3,PFDaynight_lossR,-0.04921885124960513,0.0,0.11240743322407107,-0.470033562410101,0.0,-0.0217391304347826,0.0
3,PFAB5k_NOR,0.9165491304896486,0.956733671511977,0.08326940161356398,0.665053945886369,1.0,0.848534070960381,0.977215475544247
3,PFABC_NOR,0.026698611327192905,0.0097026607540016,0.048802320099015736,0.0,0.475729333619865,0.0027172137839153,0.0242322983102978
4,Per_extent,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,N_PFlossR_2kiw,-0.9964100256136758,-1.0,0.030495957753380973,-1.0,-0.553146383499794,-1.0,-1.0
4,N_PFlossR_2kmw,-0.4938829308225044,-0.5150603016898985,0.19658053747871013,-1.0,-0.0567282321899736,-0.650429799426934,-0.41475327653313
4,PFResident_lossR,-0.5798177254082527,-0.562686567164179,0.23692082149894783,-1.0,0.0,-0.744286596664608,-0.435967302452316
4,PFDaynight_lossR,-0.3363585411383874,-0.281883584041857,0.2979329311690596,-1.0,0.0,-0.5363670809243527,-0.0432503276539974
4,PFAB5k_NOR,0.8847043614663112,0.969471253567953,0.18702729580927677,0.144318197665311,1.0,0.9031615281109721,0.9948902928543285
4,PFABC_NOR,0.025413619843272048,0.0048394180145768,0.05702001515469694,0.0,0.496894903942512,0.001300445267489475,0.015078703760995625
5,Per_extent,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,N_PFlossR_2kiw,-0.031676565362422825,0.0,0.08467384956504673,-0.345303878319584,0.0,0.0,0.0
5,N_PFlossR_2kmw,-0.24176771808910089,-0.214285714285714,0.16646625324366665,-0.849056603773585,0.0,-0.317460317460317,-0.110738255033557
5,PFResident_lossR,-0.12713847828591182,0.0,0.260391956366478,-1.0,0.0,-0.081467365412101,0.0
5,PFDaynight_lossR,-0.1513573537048285,-0.0163572060123784,0.1968101502090022,-0.845675247041601,0.0,-0.283305693753455,0.0
5,PFAB5k_NOR,0.909624507994304,0.952430323807719,0.10662102429993701,0.526816567515541,1.0,0.882650892421574,0.982844096796776
5,PFABC_NOR,0.015552537827417659,0.0065570215856813,0.023014684650570973,0.0,0.252417411848659,0.0018627023506886,0.0196332243288866
