hdbscan_cluster,sample_count
-1,39908
0,236
1,1187
2,208
3,107
4,115
5,111
6,163
7,220
8,252
9,122
10,259
11,3103
12,123
13,162
14,709
15,3907
16,158
17,383
18,114
19,200
20,617
21,2945
22,217
23,1719
24,253
25,154
26,101
27,111
28,112
29,162
30,203
31,215
32,5899
33,221
34,276
35,311
36,195
37,111
38,279
39,194
40,273
41,207
42,116
43,192
44,135
45,103
46,185
47,121
48,157
49,132
50,227
51,489
52,239
53,361
54,379
55,125
56,438
57,344
58,176
59,170
60,536
61,134
62,256
63,868
64,111
65,103
66,1069
67,376
68,196
69,101
70,352
71,580
72,220
73,273
74,218
75,1544
76,100
77,135
78,439
79,104
80,229
81,1075
82,237
83,293
84,140
85,172
86,730
87,146
88,145
89,252
90,235
91,119
92,129
93,186
94,108
95,241
96,218
97,299
98,139
99,275
100,2545
101,145
102,130
103,1536
104,1615
105,2005
106,1584
107,1992
108,1524
109,1698
110,165
111,1642
112,158
113,114
114,16412
