street_id,pca_component_1,pca_component_2
142,-1.0515622002161868,0.40399938011593006
143,-1.051562199541227,0.4039993358183968
144,-1.0515623812448915,0.40399945880100213
145,-1.051562049595312,0.4039993822872223
146,-1.0515627110021428,0.4039995343566824
147,-1.0515620623564088,0.4039993054079756
148,-1.0515627110021428,0.4039995343566824
149,-1.051562373999457,0.4039993773422908
150,-1.0515624234967567,0.40399946848196716
151,-1.0515627110021428,0.4039995343566824
152,-1.0515619825480857,0.4039993308848997
153,-1.051562378919961,0.4039993796348243
154,-1.0515625428317525,0.4039994599837737
155,-1.0515621945955969,0.4039994156254251
156,-1.0515622081580942,0.4039994187436899
157,-1.0515615680797814,0.4039991173128228
158,-1.0515624786348625,0.403999481115494
159,-1.0515623869064803,0.4039993833558583
160,-1.051562491401521,0.4039994840406566
161,-1.0515619525751694,0.4039992841574549
162,-1.05156212405621,0.40399936490578003
163,-1.0515622981041353,0.40399943942392064
164,-1.0515623542171137,0.40399941833859404
165,-1.0515613775089947,0.40399900506865444
166,-1.051562181931443,0.40399937923855317
167,-1.051562552870061,0.40399946442318896
168,-1.0515627110021428,0.4039995343566824
169,-1.0515622357974186,0.4039993530136587
170,-1.0515618772277908,0.4039992707840296
171,-1.0515621574349305,0.40399940708151205
172,-1.0515621436583833,0.4039994039140333
173,-1.0515627110021428,0.4039995343566824
174,-1.0515625526945076,0.4039994643455509
175,-1.0515623984223268,0.40399938872125657
176,-1.0515620856847312,0.4039993905848362
177,-1.0515623981636535,0.4039994626775161
178,-1.0515623949385102,0.4039993870980964
179,-1.0515620765548244,0.4039992387585642
180,-1.0515625491563854,0.4039994627808258
181,-1.0515620413388131,0.40399931169374537
182,-1.051562385069726,0.40399939021393627
183,-1.0515614356566712,0.4039992064137112
184,-1.0515625469580347,0.40399946180861107
185,-1.0515621571843903,0.4039993720780767
186,-1.051561961122235,0.4039993273506744
187,-1.0515619757756849,0.40399928842618366
188,-1.0515627110021428,0.4039995343566824
189,-1.0515621727916449,0.403999333420914
190,-1.0515621016014076,0.40399935875153103
191,-1.0515623757170849,0.4039993860777556
192,-1.0515622065796426,0.40399931127717076
193,-1.0515620477103862,0.40399922531952626
194,-1.051561558199567,0.4039992334064322
195,-1.0515627110021428,0.4039995343566824
196,-1.0515615227249697,0.40399910333777217
197,-1.051560972393129,0.4039989763892058
198,-1.0515627110021428,0.4039995343566824
199,-1.051562147004455,0.40399940468335593
200,-1.0515619597416856,0.4039993251689977
201,-1.0515627110021428,0.4039995343566824
202,-1.0515623716962001,0.4039993762691702
203,-1.0515627110021428,0.4039995343566824
204,-1.0515625377230797,0.4039994577244767
205,-1.0515623636990716,0.40399938076282116
206,-1.051562368725826,0.4039993748852303
207,-1.0515627110021428,0.4039995343566824
208,-1.0515623615562428,0.40399937981516076
209,-1.0515625359369944,0.4039994569345852
210,-1.051562524902306,0.403999491716529
211,-1.0515621523191214,0.4039993688972846
212,-1.0515616155540766,0.40399911908698877
213,-1.0515618821561554,0.40399934378991487
214,-1.051562357803825,0.4039993781556639
215,-1.0515621490437104,0.4039993232212403
216,-1.05156179414325,0.4039991592757831
217,-1.0515621301778288,0.4039993256632157
218,-1.0515623616129675,0.4039993715712474
219,-1.0515624728495752,0.4039994797899392
