cluster,feature,original_non_null_count,original_structural_null_count,original_structural_null_percent,original_non_null_mean,original_non_null_median,filled_mean,standardized_centroid,inverse_transformed_centroid
1,N_TFlossR_2kiw,3557,1626,31.37179239822497,-0.7137870404763971,-1.0,-0.48985925197270785,-0.4013531825463695,-0.48995765875280656
1,N_TFlossR_2ktw,5183,0,0.0,-0.4207915365845234,-0.405421757959139,-0.4207915365845234,-0.33986104388728705,-0.42079813319105575
1,N_TFlossR_2kmw,5167,16,0.3087015242137758,-0.7202371824003947,-0.787878787878788,-0.7180137992403703,-0.5340400020484551,-0.717954225938773
1,TFResident_lossR,2717,2466,47.578622419448195,-0.028062760423389423,0.0,-0.014710885601070625,0.4709949930571166,-0.014743491494548344
1,TFDaynight_lossR,2708,2475,47.752267026818444,-0.04469341637517536,0.0,-0.023351296844293823,0.5291919526864052,-0.023382535501247748
1,TFAB5k_NOR,4835,348,6.7142581516496245,0.5483194008647285,0.604308539104293,0.5115038207950922,-0.9751788470779578,0.5115396199434366
1,TFABC_NOR,5183,0,0.0,0.038409314454891534,0.0136825904435681,0.038409314454891534,-0.43009522150382057,0.03841785199029263
2,N_TFlossR_2kiw,4010,1712,29.919608528486542,-0.5882048429755914,-1.0,-0.41221625661169536,-0.2807474065003244,-0.41211351517778827
2,N_TFlossR_2ktw,5715,7,0.1223348479552604,-0.5762393711905679,-0.541366597679714,-0.5755344296319636,-0.5844608319749814,-0.5755555004386033
2,N_TFlossR_2kmw,5501,221,3.862285914016078,-0.637194135413626,-0.668627450980392,-0.612583876076609,-0.3837670975094628,-0.6126194289646218
2,TFResident_lossR,3620,2102,36.735407200279624,-0.22700501505135112,-0.0044247787610619,-0.14361379840718125,0.12011759326809668,-0.14360678459159062
2,TFDaynight_lossR,3991,1731,30.25166025865082,-0.25967710259908755,-0.019801240379586,-0.1811204677513035,0.1250605942850873,-0.18111973850349183
2,TFAB5k_NOR,5722,0,0.0,0.9182007507968231,0.9607714386530191,0.9182007507968231,0.544856176088228,0.9182394003589596
2,TFABC_NOR,5722,0,0.0,0.1316817027265632,0.0878724714886111,0.1316817027265632,0.37655412487709455,0.13169027007575956
3,N_TFlossR_2kiw,527,505,48.934108527131784,1.0,1.0,0.5106589147286822,1.1489257829222417,0.5106589147286819
3,N_TFlossR_2ktw,1032,0,0.0,1.0,1.0,1.0,1.9057633711237627,1.0
3,N_TFlossR_2kmw,912,120,11.627906976744185,1.0,1.0,0.8837209302325582,1.7509444927227646,0.8837209302325555
3,TFResident_lossR,5,1027,99.51550387596899,-1.0,-1.0,-0.0048449612403100775,0.4979473584194131,-0.004844961240309753
3,TFDaynight_lossR,327,705,68.31395348837209,-1.0,-1.0,-0.3168604651162791,-0.2227145861561888,-0.3168604651162791
3,TFAB5k_NOR,994,38,3.6821705426356592,1.0,1.0,0.9631782945736435,0.7128146958565166,0.9631782945736431
3,TFABC_NOR,1032,0,0.0,0.04877060335362968,0.0298271409771242,0.04877060335362968,-0.3405613561672558,0.048770603353629684
4,N_TFlossR_2kiw,1234,413,25.075895567698847,1.0,1.0,0.7492410443230115,1.518566729163912,0.7492410443230113
4,N_TFlossR_2ktw,1647,0,0.0,1.0,1.0,1.0,1.9057633711237612,0.9999999999999991
4,N_TFlossR_2kmw,1647,0,0.0,1.0,1.0,1.0,1.9168307340503408,0.9999999999999949
4,TFResident_lossR,1647,0,0.0,-1.0,-1.0,-1.0,-2.2117258463774605,-0.9999999999999998
4,TFDaynight_lossR,1639,8,0.4857316332726169,-1.0,-1.0,-0.9951426836672739,-1.9605108012860708,-0.9951426836672751
4,TFAB5k_NOR,1594,53,3.217972070431087,1.0,1.0,0.9678202792956891,0.730164052050667,0.9678202792956888
4,TFABC_NOR,1647,0,0.0,0.11811396573404324,0.0725466296002681,0.11811396573404324,0.2591419547167911,0.11811396573404329
