fid,MS_ID,TF_Index_Risk_equal,source_row_position,structural_null_count,had_structural_null,kmeans_cluster,distance_to_assigned_centroid
24364,24364,0.379226754946849,0,1,True,2,1.4465908974651878
24365,24365,0.375457948071803,1,1,True,2,1.455227101466726
24366,24366,0.355719907598789,2,1,True,2,1.137740364620836
24367,24367,0.350387416345715,3,1,True,2,1.3138373261664351
24368,24368,0.322033156939953,4,1,True,2,1.2593994507459851
24398,24398,0.541070611388722,5,0,False,1,0.9508642703691401
24399,24399,0.527506334480146,6,0,False,1,0.9226135423423549
24400,24400,0.526295113161306,7,0,False,1,0.9195022238651028
24401,24401,0.526094105430093,8,1,True,1,0.9164069160525556
24402,24402,0.521733371800992,9,1,True,1,0.903463045998324
24403,24403,0.522948153243719,10,0,False,1,0.9010479340916928
24404,24404,0.598167448800109,11,0,False,1,2.555347501264184
24405,24405,0.62284044972954,12,0,False,2,3.3894258224020053
24406,24406,0.595304384223138,13,0,False,1,2.6447208927973853
24407,24407,0.619408874351377,14,0,False,1,2.8256506615882775
24408,24408,0.541991678492843,15,0,False,1,2.716445313009747
24409,24409,0.594705906435689,16,0,False,1,2.818615424824557
24410,24410,0.589339225063267,17,0,False,1,3.0751534869100956
24411,24411,0.555925488262495,18,0,False,1,1.8682867498769065
24412,24412,0.340828555475408,19,0,False,1,0.6386782148778517
24413,24413,0.335334716445688,20,1,True,1,0.6330171697417063
24414,24414,0.331570695539299,21,1,True,1,0.6355891368923463
24415,24415,0.333833486625669,22,0,False,1,0.6447532325667684
24416,24416,0.308504285944028,23,0,False,1,0.8543784117649141
24417,24417,0.306102050092542,24,0,False,1,0.8600787294526138
24418,24418,0.303652183488904,25,0,False,1,0.8582408577837475
24419,24419,0.39081704105227,26,0,False,1,0.42507314461129536
24420,24420,0.39239981524135,27,1,True,1,0.4449215670468383
24421,24421,0.39340311237596,28,1,True,1,0.46252226439096644
24422,24422,0.395351636130575,29,1,True,1,0.48443191162420746
24423,24423,0.394450339092115,30,1,True,1,0.498430944632203
24424,24424,0.392781656993082,31,1,True,1,0.5141545461554549
24425,24425,0.395119082152465,32,1,True,1,0.5336473001762474
24426,24426,0.396564126675142,33,1,True,1,0.555061699488015
24427,24427,0.393207175443335,34,2,True,1,0.5852557341429404
24428,24428,0.391513155985508,35,2,True,1,0.6120282522850016
24458,24458,0.577978842015083,36,0,False,2,2.8659974080086723
