cluster,N_TFlossR_2kiw,N_TFlossR_2ktw,N_TFlossR_2kmw,TFResident_lossR,TFDaynight_lossR,TFAB5k_NOR,TFABC_NOR
1,-0.48995765875280656,-0.42079813319105575,-0.717954225938773,-0.014743491494548344,-0.023382535501247748,0.5115396199434366,0.03841785199029263
2,-0.41211351517778827,-0.5755555004386033,-0.6126194289646218,-0.14360678459159062,-0.18111973850349183,0.9182394003589596,0.13169027007575956
3,0.5106589147286819,1.0,0.8837209302325555,-0.004844961240309753,-0.3168604651162791,0.9631782945736431,0.048770603353629684
4,0.7492410443230113,0.9999999999999991,0.9999999999999949,-0.9999999999999998,-0.9951426836672751,0.9678202792956888,0.11811396573404329
