N_TFlossR_2kiw,N_TFlossR_2ktw,N_TFlossR_2kmw,TFResident_lossR,TFDaynight_lossR,TFAB5k_NOR,TFABC_NOR
0.3577498270029483,-0.1775111013928312,0.09517932256036861,-0.7595309759585727,-0.26422746450685874,0.8504353304277626,0.8973643909930946
0.3577498270029483,-0.14003297492534114,0.09142898400867626,-0.7595309759585727,-0.26422746450685874,0.8483323807285705,0.8954521483812814
0.3577498270029483,-0.16814053535433102,0.07868357533974675,0.158175504653364,0.5175277186585432,0.8431345931022526,0.8816702932085548
0.3577498270029483,-0.16814053535433102,0.06381358389880958,0.3964925722038334,0.589099290049626,0.8210462701906267,1.1360557630976844
0.3577498270029483,-0.18623752436446617,0.057579704401622786,0.4924470959643491,0.2011535421755543,0.4424439961546028,1.1951699121491806
-1.191573866561969,-0.6408383322578646,-0.7996132780453852,0.5111395356579561,0.589099290049626,-0.7914581866049708,-0.1479181782761755
-1.191573866561969,-0.5272654523795991,-0.794695231808802,0.5111395356579561,0.589099290049626,-0.7967244901835002,-0.135716168107595
-1.191573866561969,-0.5272654523795991,-0.7852474061437881,0.5111395356579561,0.589099290049626,-0.7977184377915493,-0.13663761329194013
-1.191573866561969,-0.5272654523795991,-0.78722342196915,0.5111395356579561,0.589099290049626,-0.8027727071891738,-0.14512803136458718
-1.191573866561969,-0.4937695995012109,-0.7903128066509338,0.5111395356579561,0.589099290049626,-0.8149519868647448,-0.1625881523184664
-1.191573866561969,-0.5225606181373079,-0.7921475035395849,0.5111395356579561,0.589099290049626,-0.8323925971351153,-0.18139530838688467
-1.191573866561969,-0.5225606181373079,-0.8033598180404479,0.5111395356579561,-1.8637688773697476,-0.8484829487287288,-0.19447931390896725
-1.191573866561969,-0.5104906326469332,-0.7895545031381329,-1.9874898737392488,-1.8090813926429243,-0.8598890771377403,-0.19985186851450715
-1.191573866561969,-0.5304239966468226,-0.7883669712218591,-0.3924839244595238,-1.8090813926429243,-0.8769955928815958,-0.2148154145974458
-1.191573866561969,-0.5029200027959682,-0.7872658052631325,-0.8305622467942787,-1.8216870941258554,-0.8951453645836354,-0.2250281575383639
-0.5050064370913521,-0.531820481932105,-0.7872658052631325,-0.8305622467942787,-1.8216870941258554,-0.916403139994759,-0.22219793187979467
-1.191573866561969,-0.5591560942424305,-0.7931274703447393,-0.8305622467942787,-1.8090813926429243,-0.9317492329063902,-0.22645845959647984
-1.191573866561969,-0.5204523581834344,-0.7993572593203598,-1.9874898737392488,-1.0954764090124585,-0.9431993149383419,-0.2193917508255711
-1.191573866561969,-0.47853909689889984,-0.7979640997604103,0.5111395356579561,-1.1222784741253415,-0.9530230949136332,-0.21168714864248875
0.12117566993607691,-0.43569001739453694,-0.7955117105699769,0.5111395356579561,0.589099290049626,-0.9614343968509301,-0.20220614611911594
0.12117566993607691,-0.4238350903058296,-0.7766750546716704,0.5111395356579561,0.589099290049626,-0.9696151740940667,-0.19235692326361079
0.12117566993607691,-0.3997357134227718,-0.7785041107263924,0.5111395356579561,0.589099290049626,-0.9782788512427267,-0.18033655923391756
0.12117566993607691,-0.43927625210299365,-0.7682750621812795,0.5111395356579561,0.589099290049626,-0.9833083585398811,-0.1605505686511171
0.3577498270029483,-0.43927625210299365,-0.7708660742441416,0.5111395356579561,0.589099290049626,-0.9875425094401424,-0.14303810912144255
0.3577498270029483,-0.4049012621236261,-0.7752659823515137,0.5111395356579561,0.589099290049626,-0.9855711718495324,-0.12062896420934643
0.3577498270029483,-0.3911847128474827,-0.7719884236850889,0.5111395356579561,0.589099290049626,-0.9949222598110776,-0.12107071634165896
-0.4454189156370266,-0.3911847128474827,-0.7708660742441416,0.5111395356579561,0.589099290049626,-0.995607742133872,-0.09185437706607516
-0.4454189156370266,-0.3911847128474827,-0.7773793808358735,0.5111395356579561,0.589099290049626,-0.9969100395786633,-0.07163668606585617
-0.4454189156370266,-0.3852774063649388,-0.7843588958931601,0.5111395356579561,0.589099290049626,-0.99853057904908,-0.05390765542599343
-0.4454189156370266,-0.3852774063649388,-0.7916211631595883,0.5111395356579561,0.589099290049626,-0.9978719344280648,-0.031841109104532604
-0.4454189156370266,-0.36557661432707866,-0.7945847309238308,0.5111395356579561,0.589099290049626,-0.9976242465999516,-0.015074135176797288
-0.4454189156370266,-0.3357387338368826,-0.8001622320531646,0.5111395356579561,0.589099290049626,-0.9978486791687389,0.0010203999935556366
-0.4454189156370266,-0.34734066062850516,-0.8007284900459717,0.5111395356579561,0.589099290049626,-0.9965538935573273,0.023778760866846025
-0.4454189156370266,-0.34734066062850516,-0.8037036237219548,0.5111395356579561,0.589099290049626,-0.9958658992079065,0.04713518447282483
-0.4454189156370266,-0.30297693252935237,-0.802987568003995,0.5111395356579561,0.589099290049626,-0.9924898633585453,0.081167049698595
-0.4454189156370266,-0.2695857470367332,-0.8099620591902229,0.5111395356579561,0.589099290049626,-0.9930578293647686,0.10473658609483436
0.3577498270029483,-0.7570432212174102,-0.4565489623255125,-1.97242965665933,0.28482707413737546,0.7699572307364521,2.197606221477133
0.3577498270029483,-0.7612051151254067,-0.45778011709919103,-2.0324751687369114,0.28482707413737546,0.7705889442800997,2.1965643447181415
0.3577498270029483,-0.7612051151254067,-0.46087205831162503,-2.026986255762028,0.28482707413737546,0.7764270009130061,2.171135980066387
0.3577498270029483,-0.7612051151254067,-0.4729030444780371,-2.06826511726739,0.41045187603411426,0.8003581694115912,2.592709120767514
0.3577498270029483,-0.8242875209897776,-0.4794328607284478,-2.0478700540013386,0.07951932943668116,0.8273083640846096,2.5080260629415108
0.3577498270029483,-0.8408973354073116,-0.4941105333328779,-2.2117258463774605,0.07951932943668116,0.8504351427821186,2.4117719709348395
1.9070735205678657,1.905763371123763,1.9168307340503479,-2.2117258463774605,-1.9729555119210187,0.8504353304277626,2.4439931399725685
0.3577498270029483,-1.255311186269506,-0.9364126167840191,-2.2117258463774605,-1.9729555119210187,0.8504353304277626,2.4262655349451143
0.3577498270029483,1.905763371123763,1.9168307340503479,-2.2117258463774605,-1.9729555119210187,0.8504353304277626,2.4561148024723423
0.3577498270029483,1.905763371123763,1.9168307340503479,-2.2117258463774605,-1.9729555119210187,0.8504353304277626,2.4604425816494975
0.3577498270029483,1.905763371123763,1.9168307340503479,-2.2117258463774605,-1.9729555119210187,0.8504353304277626,1.9096851291526977
0.3577498270029483,1.905763371123763,1.9168307340503479,-2.2117258463774605,-1.9729555119210187,0.8504353304277626,1.8928456025656968
0.3577498270029483,-0.13867323136853002,-0.009108527762849794,0.5111395356579561,0.589099290049626,-0.07223087654758302,1.591663318163488
0.3577498270029483,-0.13867323136853002,-0.0065255080162731705,0.5111395356579561,0.589099290049626,-0.06771645169476212,1.5906890498684965
0.3577498270029483,-0.13867323136853002,-0.009108527762849794,0.5111395356579561,0.589099290049626,-0.06228719642086717,1.5896823728263343
0.3577498270029483,-0.13867323136853002,-0.01049938454946829,0.5111395356579561,0.589099290049626,-0.056598581562149974,1.5902995511345028
0.3577498270029483,-0.14979643342176738,-0.007913034738756727,0.5111395356579561,0.589099290049626,-0.05330861060983563,1.5953853600998658
0.3577498270029483,-0.14979643342176738,-0.012122517217956515,0.5111395356579561,0.589099290049626,-0.05072319354455781,1.5959641216966796
0.3577498270029483,-0.14979643342176738,-0.01901000964605671,0.5111395356579561,0.589099290049626,-0.04848643747651296,1.5973743144220023
0.3577498270029483,-0.14979643342176738,-0.03182289522060918,0.5111395356579561,0.589099290049626,0.3466168166628989,3.0522385910115473
0.3577498270029483,-0.14979643342176738,-0.029995530192991563,0.5111395356579561,0.589099290049626,0.34776424133230427,3.0521211497895715
0.3577498270029483,-0.14979643342176738,-0.01640375223941448,0.49909145874629507,0.589099290049626,0.4401849897831803,2.3667440593218627
0.3577498270029483,-0.14979643342176738,-0.019298682587258052,0.49909145874629507,0.589099290049626,0.6185876487909359,3.9342907799298747
0.3577498270029483,-0.16146605399086186,-0.019298682587258052,0.49909145874629507,0.589099290049626,0.6191324283239664,3.9323989969036104
-1.191573866561969,-1.255311186269506,-0.9364126167840191,0.5111395356579561,-1.9097288376234594,0.8503531648032963,-0.038664285113462545
