N_TFlossR_2kiw,N_TFlossR_2ktw,N_TFlossR_2kmw,TFResident_lossR,TFDaynight_lossR,TFAB5k_NOR,TFABC_NOR
,-0.318079934333807,-0.276898734177215,-0.466666666666667,-0.33306342780027,1.0,0.191911273293973
,-0.294367664479346,-0.279527559055118,-0.466666666666667,-0.33306342780027,0.999437335871969,0.191690161737669
,-0.312151212395513,-0.288461538461538,-0.12962962962963,-0.0279352226720648,0.9980466185174,0.190096573441303
,-0.312151212395513,-0.298884758364312,-0.0421052631578947,0.0,0.992136678324579,0.219511024725272
,-0.323601109372988,-0.303254437869822,-0.0068649885583524,-0.151419769622288,0.890838050747868,0.226346361107599
-1.0,-0.611225333123204,-0.904109589041096,0.0,0.0,0.560695824329123,0.0710458275389411
-1.0,-0.539368198584801,-0.900662251655629,0.0,0.0,0.559286774882007,0.0724567392306609
-1.0,-0.539368198584801,-0.894039735099338,0.0,0.0,0.559020834776827,0.0723501930332795
-1.0,-0.539368198584801,-0.895424836601307,,0.0,0.557668517084901,0.0713684506842088
-1.0,-0.518175498273417,-0.897590361445783,,0.0,0.554409835347847,0.0693495465485523
-1.0,-0.536391467630267,-0.898876404494382,0.0,0.0,0.549743434732618,0.0671748854871104
-1.0,-0.536391467630267,-0.906735751295337,0.0,-0.957383177570094,0.545438308626839,0.0656619891601456
-1.0,-0.528754833143336,-0.897058823529412,-0.917647058823529,-0.936038011695906,0.542386490840645,0.0650407636405277
-1.0,-0.541366597679714,-0.89622641509434,-0.331864904552129,-0.936038011695906,0.537809480383209,0.0633105370773366
-1.0,-0.523964924070639,-0.895454545454546,-0.492753623188406,-0.940958164642375,0.53295333690407,0.0621296432556798
-0.556859917445102,-0.542250148674749,-0.895454545454546,-0.492753623188406,-0.940958164642375,0.527265617568618,0.0624569006843093
-1.0,-0.559545287915544,-0.899563318777293,-0.492753623188406,-0.936038011695906,0.523159624928793,0.0619642582192304
-1.0,-0.53505757947572,-0.903930131004367,-0.917647058823529,-0.657509627727856,0.5200960469341,0.0627813778486278
-1.0,-0.508539216480133,-0.90295358649789,0.0,-0.667970787689098,0.517467601472048,0.06367225674071
-0.152695113390105,-0.481428764811636,-0.901234567901235,0.0,0.0,0.515217077899386,0.0647685398223203
-0.152695113390105,-0.473928196967717,-0.888030888030888,,0.0,0.513028233394026,0.065907400017419
