,Tem_extent,TF_Index_population,TF_Index_acc_loss,TF_Index_centrality
Tem_extent,1.0,0.6430500797676837,0.5700200647666939,0.5135706487369478
TF_Index_population,0.6430500797676837,1.0,0.5525295584617591,0.5037488961235739
TF_Index_acc_loss,0.5700200647666939,0.5525295584617591,1.0,0.8005158692320292
TF_Index_centrality,0.5135706487369478,0.5037488961235739,0.8005158692320292,1.0
