cluster_id,N_TFlossR_2kiw,N_TFlossR_2kmw,TFResident_lossR,TFDaynight_lossR,TFAB5k_NOR,TFABC_NOR
1,-0.8822458190715841,-0.5736927111797463,-0.04369705093607129,-0.058476086909816816,0.7008859148593055,0.08529102854505086
2,-0.8681370153406621,-0.8385532958140125,-0.600154801540777,-0.7536230248464411,0.93487779920801,0.1358845331724489
3,-0.04556424075694668,-0.46610968558158905,-0.09668001671271617,-0.09633300425945612,0.7758743945341263,0.15199494679436124
4,0.9999999999999976,1.0,-0.9999999999999982,-1.0000000000000024,1.0,0.1337052204895101
