cluster_id,sample_count,sample_percentage,distance_to_centroid_mean,distance_to_centroid_median,distance_to_centroid_std,distance_to_centroid_max
1,2001,14.730565371024735,1.5171118400292332,1.2366391064114193,0.9412156669413204,6.3432305469372094
2,1857,13.670494699646643,2.1130123330107424,1.9494722101549167,0.683770011740246,5.108327686511298
3,6855,50.46378091872792,1.302359233493692,1.1144587948381097,0.5725525092602365,3.446844438407567
4,2871,21.135159010600706,1.1670596942220686,1.1068973301519893,0.554456242155145,4.1174607012002715
