fid,MS_ID,TF_Index_Risk_equal,source_row_position,structural_null_count,had_structural_null,kmeans_cluster,distance_to_assigned_centroid
24364,24364,0.379226754946849,0,1,True,2,1.2993669715522065
24365,24365,0.375457948071803,1,1,True,2,1.2981104360191125
24366,24366,0.355719907598789,2,1,True,3,1.4011660088134752
24367,24367,0.350387416345715,3,1,True,2,1.5914480670872864
24368,24368,0.322033156939953,4,1,True,2,1.3917338558800318
24398,24398,0.541070611388722,5,0,False,4,0.87540820509145
24399,24399,0.527506334480146,6,0,False,4,0.8732260697589622
24400,24400,0.526295113161306,7,0,False,4,0.8691800385599432
24401,24401,0.526094105430093,8,1,True,4,0.8632706768297952
24402,24402,0.521733371800992,9,1,True,4,0.8496360159327604
24403,24403,0.522948153243719,10,0,False,4,0.8314172727842173
24404,24404,0.598167448800109,11,0,False,4,2.497775698089434
24405,24405,0.62284044972954,12,0,False,2,3.231091105542641
24406,24406,0.595304384223138,13,0,False,4,2.5814016335770074
24407,24407,0.619408874351377,14,0,False,4,2.7637840933871995
24408,24408,0.541991678492843,15,0,False,2,2.750835320546819
24409,24409,0.594705906435689,16,0,False,4,2.746078124225005
24410,24410,0.589339225063267,17,0,False,4,3.0143214720837324
24411,24411,0.555925488262495,18,0,False,4,1.7760963375700476
24412,24412,0.340828555475408,19,0,False,4,1.1463997645217388
24413,24413,0.335334716445688,20,1,True,4,1.1399326638783844
24414,24414,0.331570695539299,21,1,True,4,1.1386889254116215
24415,24415,0.333833486625669,22,0,False,4,1.1380893993084418
24416,24416,0.308504285944028,23,0,False,4,1.3447663022756515
24417,24417,0.306102050092542,24,0,False,4,1.3507690897253812
24418,24418,0.303652183488904,25,0,False,4,1.346606514351041
24419,24419,0.39081704105227,26,0,False,4,0.7492912767807886
24420,24420,0.39239981524135,27,1,True,4,0.7591643075566187
24421,24421,0.39340311237596,28,1,True,4,0.768342061914425
24422,24422,0.395351636130575,29,1,True,4,0.781434070508568
24423,24423,0.394450339092115,30,1,True,4,0.7906300259944765
24424,24424,0.392781656993082,31,1,True,4,0.8003856450500783
24425,24425,0.395119082152465,32,1,True,4,0.8129555004074046
24426,24426,0.396564126675142,33,1,True,4,0.8267631140573728
24427,24427,0.393207175443335,34,2,True,4,0.8473008646305132
24428,24428,0.391513155985508,35,2,True,4,0.8628875840200763
24458,24458,0.577978842015083,36,0,False,2,2.099034799102029
24459,24459,0.580137931801161,37,0,False,2,2.1471373541812993
24460,24460,0.581051689354064,38,0,False,2,2.1355766764590234
24461,24461,0.579096001634968,39,0,False,2,2.371332028448954
24462,24462,0.598683568971187,40,0,False,2,2.235621830089505
24463,24463,0.606674795003622,41,0,False,2,2.3315318394339415
24464,24464,0.94449493642731,42,0,False,1,2.345914186664391
24465,24465,0.775498597149607,43,1,True,2,2.8501237010143985
24466,24466,0.775871183549581,44,1,True,1,2.5731684511729416
24467,24467,0.775871183549581,45,1,True,1,2.576999145816278
24468,24468,0.776301494290029,46,1,True,1,2.1050364587776
24469,24469,0.776301494290029,47,1,True,1,2.091213307797606
24581,24581,0.259049683513414,48,0,False,2,1.6421076646355606
24582,24582,0.25905653933308,49,0,False,2,1.6412351327076218
24583,24583,0.259748734294334,50,0,False,2,1.638647533267746
24584,24584,0.260349334571601,51,0,False,2,1.636386631172117
24585,24585,0.261501713951213,52,0,False,2,1.6362281520638722
24586,24586,0.26219762992524,53,0,False,2,1.634246034792624
24587,24587,0.263187402809097,54,0,False,2,1.6317084929967305
24588,24588,0.290844614530427,55,0,False,2,2.1736307550194858
24589,24589,0.290769778497591,56,0,False,2,2.173831812376751
24590,24590,0.310486615662438,57,0,False,2,1.7520971456274848
24591,24591,0.320844893418609,58,0,False,2,2.862496745556267
24592,24592,0.32217640120361,59,0,False,2,2.860925893051062
24593,24593,0.810929616462967,60,1,True,2,2.5333131015919133
24594,24594,0.810969066501303,61,1,True,2,2.5341881635665198
24595,24595,0.810991557212345,62,1,True,2,2.531723404146328
24596,24596,0.765922830122342,63,1,True,1,2.3609363193722444
24597,24597,0.765922830122342,64,1,True,2,2.570221475268928
24598,24598,0.765920594719049,65,1,True,2,2.5689652612040748
24599,24599,0.76592152752912,66,1,True,2,2.5690282993886657
24600,24600,0.765922830122342,67,1,True,2,2.5674293369131087
24601,24601,0.765880301741759,68,1,True,1,2.3605092083694683
24602,24602,0.803054208235545,69,1,True,1,2.360394305883326
24603,24603,0.750734078801748,70,1,True,3,1.5728195522621866
24604,24604,0.749958719992498,71,1,True,3,1.5775549108504259
24605,24605,0.749915077119387,72,1,True,3,1.5782514043858555
24606,24606,0.749877055184468,73,1,True,3,1.578531793033299
24607,24607,0.74981952044508,74,1,True,3,1.5805254599118737
24608,24608,0.749800358181053,75,1,True,3,1.5811022885075974
24609,24609,0.749786449764521,76,1,True,3,1.5813792970537461
24610,24610,0.749771210034166,77,1,True,3,1.5813545143946355
24611,24611,0.749726738515734,78,1,True,3,1.583734467761141
24612,24612,0.749714506227077,79,1,True,3,1.5844215661873198
24613,24613,0.749703090295029,80,1,True,3,1.585118093799414
24614,24614,0.780070333820029,81,0,False,2,2.780699420032194
24615,24615,0.780081720164718,82,0,False,2,2.7826429358559515
24616,24616,0.942253652785132,83,0,False,1,0.7494920517050875
24617,24617,0.941810391376638,84,0,False,1,0.7469641317931239
24618,24618,0.942726034651937,85,0,False,1,0.7436172370866959
24619,24619,0.941814637027645,86,0,False,1,0.7244696755447698
24620,24620,0.948298093856733,87,0,False,1,0.7345116237656611
24621,24621,0.949422263394726,88,0,False,1,0.7274018579226188
24622,24622,0.948298093856733,89,0,False,1,0.7170180789321331
24623,24623,0.946811176002162,90,0,False,1,0.721613190220493
24624,24624,0.941814637027645,91,0,False,1,0.7151668024682821
24625,24625,0.768684686667053,92,1,True,1,1.2577282536869887
24626,24626,0.768684686667053,93,1,True,1,1.256835080160472
24627,24627,0.764535069799756,94,1,True,1,1.25584893373523
24628,24628,0.617392300690735,95,1,True,1,2.626048925113612
24629,24629,0.606218376280286,96,1,True,1,2.6133557557569946
24630,24630,0.601172497331216,97,1,True,1,2.604273519681304
24631,24631,0.59195880012783,98,1,True,1,2.581578905945265
24632,24632,0.584193629120491,99,1,True,1,2.579116581932319
24633,24633,0.554521759022131,100,1,True,2,2.318057297035354
24634,24634,0.553991716664719,101,1,True,2,2.316123485851266
24635,24635,0.539767429363291,102,1,True,2,1.7505274283149672
24636,24636,0.536667618878552,103,1,True,2,1.7511259613717751
24637,24637,0.514295881188287,104,1,True,2,1.3771997764908355
24638,24638,0.505075771940036,105,1,True,2,1.290434622515346
24639,24639,0.689689594062897,106,1,True,1,3.4311111517219444
24640,24640,0.679112025541895,107,1,True,1,3.4188048110055167
24641,24641,0.679112025541895,108,1,True,1,3.392085971757982
24642,24642,0.674528293618072,109,1,True,1,3.372901130321379
24643,24643,0.676054963948749,110,1,True,1,3.354251107351605
24644,24644,0.676054963948749,111,1,True,1,3.3478231751386414
24645,24645,0.676095460813323,112,1,True,1,3.3393071038619575
24646,24646,0.661648105114822,113,1,True,1,3.3301535103333526
24647,24647,0.658009792403861,114,1,True,1,3.324035420917036
24648,24648,0.658009792403861,115,1,True,1,3.3148515007223676
24649,24649,0.629010776458635,116,1,True,1,3.300867739577853
24650,24650,0.600888441125964,117,2,True,2,3.5576290813237286
24651,24651,0.628005802968478,118,2,True,2,3.5532838447179085
24652,24652,0.497431632703252,119,2,True,2,2.3170101900156403
24653,24653,0.495003683872692,120,2,True,2,2.312432855271167
24777,24777,0.59539061741792,121,2,True,1,2.672946684244993
24778,24778,0.595213037647502,122,2,True,1,2.669298400539575
24779,24779,0.595213037647502,123,2,True,1,2.6663083529565665
24780,24780,0.595213037647502,124,2,True,1,2.6648391630049226
24781,24781,0.616720596158761,125,1,True,1,1.3931531047382437
24782,24782,0.662885829585852,126,1,True,1,1.3863505351748806
24783,24783,0.680845476371424,127,1,True,1,1.3814451385579876
24784,24784,0.683899282188123,128,1,True,1,1.3767953826323434
24785,24785,0.680845476371424,129,1,True,1,1.3680552545168072
24855,24855,0.685340876553566,130,2,True,2,1.541154295658131
