cluster,N_TFlossR_2kiw,N_TFlossR_2kmw,TFResident_lossR,TFDaynight_lossR,TFAB5k_NOR,TFABC_NOR
1,0.7213843663319652,0.9585120302583883,-0.8476784547338939,-0.99310716537632,0.9721957254995307,0.10884332569157473
2,-0.5158874429416631,-0.6645653888496937,-0.29526729215191067,-0.36807077279043643,0.9034112621782606,0.2638874008048451
3,-0.20623522295020688,-0.4853124489864984,-0.03744597071632563,-0.05117013214604865,0.84537229355843,0.053764030247432065
4,-0.7685778443190354,-0.7045962754365578,-0.017195840174265592,-0.035721161452181294,0.37463709020356306,0.04210830036614259
