fid,MS_ID,PF_Index_Risk_equal,PF_Index_population,PF_Index_acc_loss,PF_Index_centrality,Per_extent,cause_label_v2
24341,24341,0.626755736526002,0.335167337870956,0.710927804116527,0.75,0,A_one_and_only
24342,24342,0.813187751701609,0.502751006806434,1.0,0.75,1,B_flood_exposed
24343,24343,0.814555327641091,0.508221310564366,1.0,0.75,1,B_flood_exposed
24344,24344,0.557664373184599,0.0756535187022746,0.702501987018061,0.75,0,A_one_and_only
24345,24345,0.556717087155733,0.0756535187022746,0.701361612434697,0.748491605051263,0,A_one_and_only
24346,24346,0.554806435426359,0.0768915257975175,0.697352749466569,0.74762871697478,0,A_one_and_only
24347,24347,0.541989508014176,0.0376336444012018,0.692437351863973,0.745449683927559,0,A_one_and_only
24348,24348,0.530290206580166,0.0437876987406406,0.668574635513724,0.740223856552576,0,A_one_and_only
24349,24349,0.528592767948357,0.0616432716579475,0.663066037872297,0.726595724390885,0,A_one_and_only
24350,24350,0.52312007614184,0.0616432716579475,0.653867713279529,0.723101606350356,0,A_one_and_only
24351,24351,0.523787536026405,0.154188958219215,0.665484984488933,0.609991216908538,0,A_one_and_only
24352,24352,0.49917864822568,0.102196466376367,0.649617561488393,0.595283003549567,0,A_one_and_only
24353,24353,0.359953997897451,0.0,0.612033749999092,0.21574849159162,0,C_no_service
24354,24354,0.358604681242672,0.0,0.607599581043595,0.219219562883496,0,C_no_service
24355,24355,0.360032599877366,0.0,0.608177988674597,0.22377442216027,0,C_no_service
24356,24356,0.365168541275286,0.0,0.613785560728319,0.233103043644506,0,C_no_service
24357,24357,0.363742613552117,0.0,0.609571901580449,0.235826651047568,0,C_no_service
24358,24358,0.362609332630047,0.0,0.605203622010557,0.240030086499072,0,C_no_service
24359,24359,0.362184218530286,0.0,0.602792358659602,0.243152156801941,0,C_no_service
24360,24360,0.359520198305972,0.0,0.596505530278644,0.2450697326666,0,C_no_service
24361,24361,0.338781027210319,0.0,0.595093736426482,0.164936635988311,0,C_no_service
24362,24362,0.347548348208778,0.0,0.608748556165247,0.172696280504618,0,C_no_service
24363,24363,0.351571640218812,0.0,0.616075270686078,0.174136019503092,0,C_no_service
24387,24387,0.309430828172648,0.0,0.609963508285582,0.0177962961194291,0,C_no_service
24388,24388,0.311345698621321,0.0,0.612796718239813,0.0197893580056577,0,C_no_service
