fid,MS_ID,PF_Index_population,PF_Index_acc_loss,PF_Index_centrality,Per_extent,TF_Index_population,TF_Index_acc_loss,TF_Index_centrality,Tem_extent,PF_Index_Risk_equal,TF_Index_Risk_equal
142,142,0,0,4.21354227929751e-06,0,0,0,1.0493912463878e-07,0,1.05338556982438e-06,2.6234781159695e-08
143,143,0,0,3.04390662476562e-06,0,0,0,7.27927704617212e-08,0,7.60976656191406e-07,1.81981926154303e-08
144,144,0,0,2.02851919478174e-06,0,0,0,6.30273021667526e-08,0,5.07129798695435e-07,1.57568255416881e-08
145,145,0,0,1.08212985027799e-06,0,0,0,6.17381626488191e-08,0,2.70532462569499e-07,1.54345406622048e-08
146,146,0,0,3.02335627375451e-08,0,0,0,0,0,7.55839068438628e-09,0
147,147,0,0,8.03776721758059e-08,0,0,0,9.93268825027535e-08,0,2.00944180439515e-08,2.48317206256884e-08
148,148,0,0,8.01154944968667e-08,0,0,0,0,0,2.00288736242167e-08,0
149,149,0,0,9.6269873407244e-08,0,0,0,3.99241441261603e-08,0,2.4067468351811e-08,9.98103603154007e-09
150,150,0,0,5.49516008280547e-08,0,0,0,5.49516008280547e-08,0,1.37379002070137e-08,1.37379002070137e-08
151,151,0,0,5.35532243003967e-08,0,0,0,0,0,1.33883060750992e-08,0
152,152,0,0,5.21760926430353e-08,0,0,0,9.16685388833505e-08,0,1.30440231607588e-08,2.29171347208376e-08
153,153,0,0,0,0,0,0,3.93412202513495e-08,0,0,9.83530506283737e-09
154,154,0,0,8.86830108719327e-08,0,0,0,3.91857545048531e-08,0,2.21707527179832e-08,9.79643862621328e-09
155,155,0,0,8.72364541455343e-08,0,0,0,4.82032991494817e-08,0,2.18091135363836e-08,1.20508247873704e-08
156,156,0,0,8.58166400758817e-08,0,0,0,4.69373254342195e-08,0,2.14541600189704e-08,1.17343313585549e-08
157,157,0,0,4.56679935045499e-08,0,0,0,1.23107988350144e-07,0,1.14169983761375e-08,3.0776997087536e-08
158,158,0,0,8.88258422799462e-08,0,0,0,4.44129211399731e-08,0,2.22064605699865e-08,1.11032302849933e-08
159,159,0,0,4.3188026067947e-08,0,0,0,3.83950706872449e-08,0,1.07970065169868e-08,9.59876767181122e-09
160,160,0,0,1.98618885701645e-07,0,0,0,4.19727987722453e-08,0,4.96547214254112e-08,1.04931996930613e-08
161,161,0,0,7.88666574792527e-08,0,0,0,7.88666574792527e-08,0,1.97166643698132e-08,1.97166643698132e-08
162,162,0,0,0,0,0,0,7.74824375465908e-08,0,0,1.93706093866477e-08
163,163,0,0,3.85414289142271e-08,0,0,0,3.85414289142271e-08,0,9.63535722855676e-09,9.63535722855676e-09
164,164,0,0,3.74594379840649e-08,0,0,0,7.49273813484209e-08,0,9.36485949601623e-09,1.87318453371052e-08
165,165,0,0,0,0,0,0,1.48181603490369e-07,0,0,3.70454008725924e-08
166,166,0,0,1.80203627491885e-07,0,0,0,1.07783081037338e-07,0,4.50509068729712e-08,2.69457702593345e-08
167,167,0,0,3.43711023169973e-08,0,0,0,3.68467060592345e-08,0,8.59277557924931e-09,9.21167651480862e-09
168,168,0,0,7.00349833205924e-08,0,0,0,0,0,1.75087458301481e-08,0
169,169,0,0,1.00927679185338e-07,0,0,0,6.85905367953279e-08,0,2.52319197963344e-08,1.7147634198832e-08
170,170,0,0,1.22985671309565e-07,0,0,0,1.3710262863517e-07,0,3.07464178273914e-08,3.42756571587924e-08
171,171,0,0,3.64525062483241e-08,0,0,0,5.16720133421272e-08,0,9.11312656208102e-09,1.29180033355318e-08
172,172,0,0,3.65992503595144e-08,0,0,0,5.29579672613846e-08,0,9.14981258987861e-09,1.32394918153462e-08
173,173,0,0,9.09906091533942e-08,0,0,0,0,0,2.27476522883486e-08,0
174,174,0,0,3.68876121512516e-08,0,0,0,3.68876121512516e-08,0,9.2219030378129e-09,9.2219030378129e-09
175,175,0,0,3.70308076322864e-08,0,0,0,3.70308076322864e-08,0,9.25770190807161e-09,9.25770190807161e-09
176,176,0,0,5.83694426161838e-08,0,0,0,5.83694426161838e-08,0,1.45923606540459e-08,1.45923606540459e-08
177,177,0,0,8.96903673263015e-08,0,0,0,5.97935782175343e-08,0,2.24225918315754e-08,1.49483945543836e-08
178,178,0,0,3.74435295409229e-08,0,0,0,3.74435295409229e-08,0,9.36088238523071e-09,9.36088238523071e-09
179,179,0,0,6.89774993219576e-08,0,0,0,7.51619119115922e-08,0,1.72443748304894e-08,1.8790477977898e-08
180,180,0,0,6.43285138839588e-08,0,0,0,3.77120378182349e-08,0,1.60821284709897e-08,9.42800945455873e-09
181,181,0,0,3.78434443952648e-08,0,0,0,1.41597742515363e-07,0,9.4608610988162e-09,3.53994356288407e-08
182,182,0,0,1.43479564011447e-07,0,0,0,7.59462331048111e-08,0,3.58698910028617e-08,1.89865582762028e-08
183,183,0,0,6.91885860143161e-08,0,0,0,1.41882607804745e-07,0,1.7297146503579e-08,3.54706519511862e-08
184,184,0,0,7.36682400504838e-08,0,0,0,3.8224280353385e-08,0,1.84170600126209e-08,9.55607008834625e-09
185,185,0,0,1.11015088354581e-07,0,0,0,7.46825024794263e-08,0,2.77537720886453e-08,1.86706256198566e-08
186,186,0,0,3.84737997655714e-08,0,0,0,1.50241342351986e-07,0,9.61844994139286e-09,3.75603355879964e-08
187,187,0,0,3.82169821134587e-08,0,0,0,7.6814469833861e-08,0,9.55424552836468e-09,1.92036174584652e-08
188,188,0,0,1.56275931355942e-07,0,0,0,0,0,3.90689828389855e-08,0
189,189,0,0,3.88332684299974e-08,0,0,0,7.90505834963045e-08,0,9.70831710749934e-09,1.97626458740761e-08
