fid,MS_ID,TF_Index_Risk_equal
24364,24364,0.316726754946849
24365,24365,0.313021672916541
24366,24366,0.293441745291017
24367,24367,0.288707322607036
24368,24368,0.270118183826144
24398,24398,0.541070611388722
24399,24399,0.527506334480146
24400,24400,0.526295113161306
24401,24401,0.526094105430093
24402,24402,0.521733371800992
24403,24403,0.522948153243719
24404,24404,0.598167448800109
24405,24405,0.62284044972954
24406,24406,0.595304384223138
24407,24407,0.619408874351377
24408,24408,0.541991678492843
24409,24409,0.594705906435689
24410,24410,0.589339225063267
24411,24411,0.555925488262495
24412,24412,0.340828555475408
24413,24413,0.335334716445688
24414,24414,0.331570695539299
24415,24415,0.333833486625669
24416,24416,0.308504285944028
24417,24417,0.306102050092542
24418,24418,0.303652183488904
24419,24419,0.39081704105227
24420,24420,0.39239981524135
24421,24421,0.39340311237596
24422,24422,0.395351636130575
24423,24423,0.394450339092115
24424,24424,0.392781656993082
24425,24425,0.395119082152465
24426,24426,0.396564126675142
24427,24427,0.393207175443335
24428,24428,0.391513155985508
24458,24458,0.517981655856695
24459,24459,0.520117294203983
24460,24460,0.520820742731729
24461,24461,0.518343586489868
24462,24462,0.53701280843403
24463,24463,0.544174829721175
24464,24464,0.88199493642731
24465,24465,0.712998597149607
24466,24466,0.713371183549581
24467,24467,0.713371183549581
24468,24468,0.713801494290029
24469,24469,0.713801494290029
24591,24591,0.268104544342067
24592,24592,0.269410813726856
24593,24593,0.685960586837656
24594,24594,0.685980311856824
24595,24595,0.685991557212345
24596,24596,0.640922830122342
24597,24597,0.640922830122342
24598,24598,0.640921712420696
24599,24599,0.640922178825731
24600,24600,0.640922830122342
24601,24601,0.640880301741759
24602,24602,0.678054208235545
24603,24603,0.625734078801748
24604,24604,0.624979359996249
24605,24605,0.624957538559694
24606,24606,0.624938527592234
24607,24607,0.62490976022254
24608,24608,0.624900179090526
24609,24609,0.624893224882261
24610,24610,0.624885605017083
24611,24611,0.624863369257867
24612,24612,0.624857253113538
24613,24613,0.624851545147514
24614,24614,0.655225091123008
24615,24615,0.655230784295353
24616,24616,0.942253652785132
24617,24617,0.941810391376638
24618,24618,0.942726034651937
24619,24619,0.941814637027645
24620,24620,0.948298093856733
24621,24621,0.949422263394726
24622,24622,0.948298093856733
24623,24623,0.946811176002162
24624,24624,0.941814637027645
24625,24625,0.768684686667053
24626,24626,0.768684686667053
24627,24627,0.764535069799756
24628,24628,0.617392300690735
24629,24629,0.606218376280286
24630,24630,0.601172497331216
24631,24631,0.59195880012783
24632,24632,0.584193629120491
24633,24633,0.554521759022131
24634,24634,0.553991716664719
24635,24635,0.539767429363291
24636,24636,0.536667618878552
24637,24637,0.514295881188287
24638,24638,0.505075771940036
24639,24639,0.689689594062897
24640,24640,0.679112025541895
24641,24641,0.679112025541895
24642,24642,0.674528293618072
24643,24643,0.676054963948749
24644,24644,0.676054963948749
24645,24645,0.676095460813323
24646,24646,0.661648105114822
24647,24647,0.658009792403861
24648,24648,0.658009792403861
24649,24649,0.629010776458635
24650,24650,0.600888441125964
24651,24651,0.628005802968478
24652,24652,0.497431632703252
24653,24653,0.495003683872692
24777,24777,0.40789061741792
24778,24778,0.407713037647501
24779,24779,0.407713037647501
24780,24780,0.407713037647501
24781,24781,0.429220596158761
24782,24782,0.475385829585852
24783,24783,0.493345476371424
24784,24784,0.496399282188123
24785,24785,0.493345476371424
24855,24855,0.561472795828225
24856,24856,0.564191387602617
24857,24857,0.564358450888297
24858,24858,0.564523952638267
24859,24859,0.564661537970796
24860,24860,0.550250927422089
24861,24861,0.553526998058958
24862,24862,0.553853598655746
24863,24863,0.554338612935364
24864,24864,0.555080906293927
24865,24865,0.556092552873394
24866,24866,0.558942967476014
24867,24867,0.560051074653532
24868,24868,0.562488807095376
24869,24869,0.553691276326836
24870,24870,0.556695431908805
24871,24871,0.556760834530252
24872,24872,0.556874879639174
24873,24873,0.557090671708301
24874,24874,0.55731654922592
24875,24875,0.55904173217273
24876,24876,0.561015291791481
24983,24983,0.440740449988327
24984,24984,0.437377198640974
24985,24985,0.435148487297101
24986,24986,0.570228277469311
24987,24987,0.568517444731307
24988,24988,0.548240879017491
24989,24989,0.542131520657534
24990,24990,0.540516524506512
