fid,MS_ID,Per_extent,Tem_extent,Street_type_NOR,Resident_NOR,DayNight_NOR,PRM_NOR,Index_population,N_PFlossR_2kiw,N_PFlossR_2ktw,N_PFlossR_2kmw,PF_Index_acc_loss,PFResident_lossR,PFDaynight_lossR,PFPRM_lossR,PF_Index_population,PFAB2k_lossR,N_PFAB2k_lossR,PFAB2k_NOR,PFAB5k_lossR,N_PFAB5k_lossR,PFAB5k_NOR,PFABC_NOR,PF_Index_centrality,PF_Index_V_equal,N_TFlossR_2kiw,N_TFlossR_2ktw,N_TFlossR_2kmw,TF_Index_acc_loss,TFResident_lossR,TFDaynight_lossR,TFPRM_lossR,TF_Index_population,TFAB2k_lossR,N_TFAB2k_lossR,TFAB2k_NOR,TFAB5k_lossR,N_TFAB5k_lossR,TFAB5k_NOR,TFABC_NOR,TF_Index_centrality,TF_Index_V_equal,PF_Index_Risk_equal,TF_Index_Risk_equal
24341,24341,0,0,0.75,0.549144431247118,0.47339670880346,0.485711880368725,0.502751006806434,-0.833333333333333,-0.716794252457981,-0.582655826558266,0.710927804116527,0,-1,-1,0.335167337870956,-1,1,1,-1,1,1,0,1,0.689255736526002,0,-0.0309908661808193,-0.018970189701897,0.0166536852942388,0,0,0,0,-0.00306332391767503,0.00306332391767503,0.00306332391767503,-0.166727057387682,0.166727057387682,0.166727057387682,0.275679699090176,0.0848951906526784,0.029550640310289,0.689255736526002,0.029550640310289
24342,24342,1,0,0.75,0.549144431247118,0.47339670880346,0.485711880368725,0.502751006806434,1,1,1,1,-1,-1,-1,0.502751006806434,-1,1,1,-1,1,1,,1,0.875687751701609,0,-0.0295509161789478,-0.018716577540107,0.0160891645730182,0,0,0,0,-0.00308311410824902,0.00308311410824902,0.00308311410824902,-0.16712532362157,0.16712532362157,0.16712532362157,0.276029351481699,0.0851042188649094,0.0293206370027365,0.875687751701609,0.0293206370027365
24343,24343,1,0,0.75,0.565555342520913,0.47339670880346,0.485711880368725,0.508221310564366,1,1,1,1,-1,-1,-1,0.508221310564366,-1,1,1,-1,1,1,,1,0.877055327641091,0,-0.02692509843878,-0.0259067357512953,0.0176106113966918,0,0,0,0,-0.00312916737665424,0.00312916737665424,0.00312916737665424,-0.167537613957132,0.167537613957132,0.167537613957132,0.275020022540994,0.0853333906668932,0.0301386533650692,0.877055327641091,0.0301386533650692
24344,24344,0,0,0.75,0.640754471973463,0.47339670880346,0.485711880368725,0.533287687048549,-1,-0.486218832341312,-0.621287128712871,0.702501987018061,-0.425587467362924,0,0,0.0756535187022746,-1,1,1,-1,1,1,0,1,0.620164373184599,0,-0.0260857958634137,-0.0123762376237624,0.0128206778290587,0,0,0,0,-0.00316098034347593,0.00316098034347593,0.00316098034347593,-0.169138343406027,0.169138343406027,0.169138343406027,0.278487335911196,0.0861496618747514,0.0279477543832172,0.620164373184599,0.0279477543832172
24345,24345,0,0,0.75,0.640754471973463,0.47339670880346,0.485711880368725,0.533287687048549,-1,-0.486218832341312,-0.617866004962779,0.701361612434697,-0.425587467362924,0,0,0.0756535187022746,-0.997309579130205,0.997309579130205,0.997309579130205,-0.99866803433983,0.99866803433983,0.99866803433983,0.000522644236673078,0.997988806735018,0.619091387576672,0,-0.0260857958634137,-0.00744416873449132,0.0111766548659683,0,0,0,0,-0.00317432474692269,0.00317432474692269,0.00317432474692269,-0.16946301967708,0.16946301967708,0.16946301967708,0.27898098274868,0.0863186722120015,0.0271679954859846,0.619091387576672,0.0271679954859846
24346,24346,0,0,0.75,0.640754471973463,0.499577141056848,0.485711880368725,0.542014497799679,-1,-0.486218832341312,-0.605839416058394,0.697352749466569,-0.425587467362924,0,0,0.0768915257975175,-0.995769933777303,0.995769933777303,0.995769933777303,-0.997906644822111,0.997906644822111,0.997906644822111,0.000821384915056234,0.996838289299707,0.61710882850759,0,-0.0260857958634137,-0.0121654501216545,0.0127504153283561,0,0,0,0,-0.00318857520626456,0.00318857520626456,0.00318857520626456,-0.169665785073879,0.169665785073879,0.169665785073879,0.278872065308787,0.0864271801400716,0.0279820026991959,0.61710882850759,0.0279820026991959
24347,24347,0,0,0.75,0.639626941264292,0.499577141056848,0.485711880368725,0.541638654229955,-1,-0.476350517130379,-0.600961538461538,0.692437351863973,-0.20844327176781,0,0,0.0376336444012018,-0.99187510138432,0.99187510138432,0.99187510138432,-0.995990722422503,0.995990722422503,0.995990722422503,0.00157566112712872,0.993932911903411,0.604110315008139,0,-0.04585239418406,-0.00480769230769231,0.0168866954972508,0,0,0,0,-0.0032258710727885,0.0032258710727885,0.0032258710727885,-0.170195513010906,0.170195513010906,0.170195513010906,0.278721067147252,0.086710692041847,0.0301210207590871,0.604110315008139,0.0301210207590871
24348,24348,0,0,0.75,0.641313840498067,0.697920329379827,0.58132755336666,0.640187241081518,-1,-0.438156338973604,-0.567567567567568,0.668574635513724,-0.205194805194805,0,0,0.0437876987406406,-0.982501997219081,0.982501997219081,0.982501997219081,-0.991428286921121,0.991428286921121,0.991428286921121,0.00338177295438654,0.986965142070101,0.591975527959547,0,-0.0452683280740919,-0.00675675675675676,0.0173416949436162,0,0,0,0,-0.0033142559720883,0.0033142559720883,0.0033142559720883,-0.171516873453444,0.171516873453444,0.171516873453444,0.278289299432252,0.0874155647127661,0.0305247386499996,0.591975527959547,0.0305247386499996
24349,24349,0,0,0.75,0.662515174478861,0.697920329379827,0.58132755336666,0.647254352408449,-1,-0.442587944125367,-0.546610169491525,0.663066037872297,-0.285714285714286,0,0,0.0616432716579475,-0.958091467669595,0.958091467669595,0.958091467669595,-0.979497130706098,0.979497130706098,0.979497130706098,0.0083160030874688,0.968794299187846,0.589142411647597,0,-0.0395996240518255,-0.0148305084745763,0.0181433775088006,0,0,0,0,-0.00355412017799393,0.00355412017799393,0.00355412017799393,-0.174655984473177,0.174655984473177,0.174655984473177,0.284284158335028,0.0891050523255854,0.0313479518357966,0.589142411647597,0.0313479518357966
24350,24350,0,0,0.75,0.662515174478861,0.697920329379827,0.58132755336666,0.647254352408449,-1,-0.434963795576291,-0.526639344262295,0.653867713279529,-0.285714285714286,0,0,0.0616432716579475,-0.951819099777677,0.951819099777677,0.951819099777677,-0.976451850489939,0.976451850489939,0.976451850489939,0.00962348612128745,0.964135475133808,0.583378543337703,0,-0.0389175555735964,-0.0122950819672131,0.0170708791802698,0,0,0,0,-0.00365416901286265,0.00365416901286265,0.00365416901286265,-0.175493496005338,0.175493496005338,0.175493496005338,0.285839030621006,0.0895738325091004,0.03092889771741,0.583378543337703,0.03092889771741
