PF_Index_population,PF_Index_acc_loss,PF_Index_centrality,Per_extent
0.335167337870956,0.710927804116527,0.75,0
0.502751006806434,1.0,0.75,1
0.508221310564366,1.0,0.75,1
0.0756535187022746,0.702501987018061,0.75,0
0.0756535187022746,0.701361612434697,0.748491605051263,0
0.0768915257975175,0.697352749466569,0.74762871697478,0
0.0376336444012018,0.692437351863973,0.745449683927559,0
0.0437876987406406,0.668574635513724,0.740223856552576,0
0.0616432716579475,0.663066037872297,0.726595724390885,0
0.0616432716579475,0.653867713279529,0.723101606350356,0
0.154188958219215,0.665484984488933,0.609991216908538,0
0.102196466376367,0.649617561488393,0.595283003549567,0
0.0,0.612033749999092,0.21574849159162,0
0.0,0.607599581043595,0.219219562883496,0
0.0,0.608177988674597,0.22377442216027,0
0.0,0.613785560728319,0.233103043644506,0
0.0,0.609571901580449,0.235826651047568,0
0.0,0.605203622010557,0.240030086499072,0
0.0,0.602792358659602,0.243152156801941,0
0.0,0.596505530278644,0.2450697326666,0
0.0,0.595093736426482,0.164936635988311,0
0.0,0.608748556165247,0.172696280504618,0
0.0,0.616075270686078,0.174136019503092,0
0.0,0.609963508285582,0.0177962961194291,0
0.0,0.612796718239813,0.0197893580056577,0
0.0,0.60352309442617,0.0209573508463133,0
0.0745955341654121,0.289822077561249,0.616372141956231,0
0.0745955341654121,0.291104490177897,0.616623305004312,0
0.0938084264985443,0.290405983834517,0.619575441817239,0
0.0936697731992083,0.611598432300075,0.617579250711202,0
0.0936697731992083,0.607872942103996,0.617861812371701,0
0.0,0.378275404256472,0.434926298866778,0
0.0,0.363346848972471,0.432250591003753,0
0.0,0.358092513982445,0.430730808722977,0
0.0,0.355929017908007,0.42932743381072,0
0.0,0.342018168806403,0.427484928374806,0
0.0,0.308695571266107,0.425338735519138,0
0.0,0.30531312292953,0.422804176790172,0
0.0,0.601857982162173,0.202578622637555,0
0.0,0.607627981485478,0.202528969277761,0
0.0,0.607389233310839,0.194531608811096,0
0.0,0.604000763850743,0.195083873752208,0
0.0,0.599476343932432,0.195878414631165,0
0.0,0.666666666666667,0.25,1
0.0,0.550743843026411,0.731288105823807,0
0.0,0.550743843026411,0.741598922951561,0
0.0,0.550743843026411,0.74249133316431,0
0.0,0.550743843026411,0.74424549956969,0
0.0,0.55088389904882,0.74702745100999,0
0.0,0.550950968129973,0.75,0
0.0,0.666666666666667,0.75,1
0.0,0.666666666666667,0.75,1
0.0,0.666666666666667,0.75,1
0.115096908376296,0.311981680108132,0.492307438458298,0
0.0762077190584065,0.304527623194806,0.490582962749349,0
0.076706644931245,0.303226269039807,0.487747339489126,0
0.076706644931245,0.301223634847122,0.486723976674642,0
0.0743331815069929,0.297838732499086,0.485456829258781,0
0.0746305246764428,0.242570292985321,0.444085168430664,0
0.0746305246764428,0.24464496414144,0.445550128349262,0
0.0749094997967111,0.253487252506341,0.446865397078652,0
0.0745265359002304,0.257176173648092,0.453194818085594,0
0.0769116549436083,0.269930102555289,0.452448357674646,0
0.0769116549436083,0.280001872984638,0.452422743237661,0
0.0769116549436083,0.285259665784681,0.453920291680222,0
0.0767974666476428,0.292876747705168,0.482792625723834,0
0.0,0.337528921709155,0.7070632142316,0
0.0,0.326737871673919,0.703539223539823,0
0.0,0.300924331822206,0.699278318638931,0
0.0,0.261484677509427,0.695719819754523,0
0.0,0.22899056201718,0.691869355046069,0
0.0,0.174603555863354,0.68603771931464,0
0.0,0.383907862888658,0.917723642314349,0
