fid,MS_ID,ARw2kho,ARw2kiw,ARw2ktr,ARw2ktw,ARw2klo,ARw2kmw,ARw5kho,ARw5kiw,ARw5ktr,ARw5ktw,ARw5klo,ARw5kmw,K4_Upto30k,Per_extent,Tem_extent,ARw500re,ARw2kre,ARw500dn,ARw500rm,Resident_log,DayNight_log,PRM_log,Resident_NOR,DayNight_NOR,PRM_NOR,Street_type_NOR,PF_Index_acc_loss,TF_Index_acc_loss,Index_population,PF_Index_V_equal,TF_Index_V_equal,TF_Index_V_servicemain,PF_Index_V_servocemain,PF_Index_Risk_equal,TF_Index_Risk_equal,N_PFlossR_2kiw,N_PFlossR_2ktw,N_PFlossR_2kmw,pop_level,street_level,acc_level,exp_level,cause_label,intervention_label,intervention_name,cause_label_v3b
13185,13185,2,60.0,30,61.3240013122559,272,364,11,355.429992675781,200,399.467010498047,2321,2945,4,1,0,163,21453,118,49,5.0998664278242,4.77912349311153,3.91202300542815,0.549144431247118,0.47339670880346,0.485711880368725,0.75,1.0,0.0835701140539761,0.502751006806434,0.750917002268811,0.445440373620137,0.354972808728597,0.813187751701609,0.875458501134406,0.222720186810068,-1.0,-1.0,-1.0,low,medium,high,high,B_flood_exposed,2,elevated_or_protected_street,B_flood_exposed
13186,13186,2,60.0,33,67.0960006713867,276,369,11,355.429992675781,203,407.283020019531,2326,2956,4,1,0,190,21588,118,49,5.25227342804663,4.77912349311153,3.91202300542815,0.565555342520913,0.47339670880346,0.485711880368725,0.75,1.0,0.0819595419117731,0.508221310564366,0.752740436854789,0.44672695082538,0.355535098596978,0.814555327641091,0.876370218427394,0.22336347541269,-1.0,-1.0,-1.0,low,medium,high,high,B_flood_exposed,2,elevated_or_protected_street,B_flood_exposed
13205,13205,2,60.0,35,73.7720031738281,425,544,12,410.920013427734,227,457.814025878906,2400,3073,3,0,0,6,19880,913,49,1.94591014905531,6.81783057145415,3.91202300542815,0.209532099944993,0.675341107706899,0.485711880368725,0.5,0.819536455027108,0.272534534215894,0.456861696006872,0.592132717011327,0.409798743407589,0.375482691109665,0.648983651515272,0.296066358505663,0.204899371703794,-1.0,-0.649785835669559,-0.808823529411765,low,low,high,low,C_no_service,3,add_emergency_service_point,C_no_service
13206,13206,2,60.0,34,71.4179992675781,424,545,12,410.920013427734,226,455.723999023438,2398,3067,3,0,0,6,20796,913,49,1.94591014905531,6.81783057145415,3.91202300542815,0.209532099944993,0.675341107706899,0.485711880368725,0.5,0.815805587301569,0.263009679013914,0.456861696006872,0.590889094436147,0.406623791673595,0.370720263508675,0.647118217652502,0.295444547218074,0.203311895836798,-1.0,-0.6382424499781,-0.809174311926605,low,low,high,low,C_no_service,3,add_emergency_service_point,C_no_service
13207,13207,2,60.0,36,76.8840026855469,417,538,11,355.429992675781,226,456.472015380859,2395,3059,3,0,0,9,21020,1275,49,2.30258509299405,7.15148546390474,3.91202300542815,0.247938215477885,0.708391337145403,0.485711880368725,0.5,0.82355091604431,0.251391688170677,0.480680477664004,0.601410464569438,0.410690721944894,0.370865963501339,0.656945577438156,0.300705232284719,0.205345360972447,-1.0,-0.663961298318802,-0.806691449814126,low,low,high,low,C_no_service,3,add_emergency_service_point,C_no_service
13208,13208,2,60.0,37,78.2730026245117,411,532,11,355.429992675781,225,453.262023925781,2378,3031,3,0,0,36,21793,1275,49,3.61091791264422,7.15148546390474,3.91202300542815,0.388817136974513,0.708391337145403,0.485711880368725,0.5,0.824811926215415,0.245355546826319,0.52764011816288,0.617484014792765,0.424331888329733,0.379587802953879,0.669315992648428,0.308742007396383,0.212165944164866,-1.0,-0.669924500450757,-0.804511278195489,low,low,high,low,C_no_service,3,add_emergency_service_point,C_no_service
13209,13209,2,60.0,37,77.859001159668,386,512,11,355.429992675781,226,451.605010986328,2366,3009,3,0,0,223,22585,822,49,5.41164605185504,6.71295620067707,3.91202300542815,0.582716299596208,0.6649527630585,0.485711880368725,0.5,0.821681460791552,0.21129574942286,0.577793647674477,0.633158369488677,0.429696465699112,0.375096286630049,0.680289142314396,0.316579184744338,0.214848232849556,-1.0,-0.668169382374658,-0.796875,low,low,high,low,C_no_service,3,add_emergency_service_point,C_no_service
13210,13210,2,60.0,36,74.7870025634766,375,496,11,355.429992675781,227,454.475006103516,2366,3009,3,0,0,303,23553,822,49,5.71702770140622,6.71295620067707,3.91202300542815,0.615599245577136,0.6649527630585,0.485711880368725,0.5,0.81495382567285,0.194536929935934,0.58875462966812,0.634569485113657,0.427763853201351,0.369457122384997,0.679665570253455,0.317284742556828,0.213881926600676,-1.0,-0.654538896373388,-0.790322580645161,low,low,high,low,C_no_service,3,add_emergency_service_point,C_no_service
13211,13211,2,60.0,36,74.7870025634766,371,491,11,355.429992675781,227,454.475006103516,2368,3015,3,0,0,303,23950,822,49,5.71702770140622,6.71295620067707,3.91202300542815,0.615599245577136,0.6649527630585,0.485711880368725,0.5,0.813563203068115,0.191538057763716,0.58875462966812,0.634105944245412,0.426764229143945,0.367957686298888,0.678970258951088,0.317052972122706,0.213382114571973,-1.0,-0.654538896373388,-0.786150712830957,low,low,high,low,C_no_service,3,add_emergency_service_point,C_no_service
13220,13220,1,10.0,35,72.4399948120117,147,212,9,353.410003662109,172,361.535003662109,1974,2490,1,0,0,681,29211,2736,165,6.52502965784346,7.91461770904068,5.11198778835654,0.702603440901442,0.783983502476528,0.63469800603406,1.0,0.0,0.808327066202014,0.707094983137343,0.569031661045781,0.838474016446452,0.830937278885343,0.426773745784336,0.284515830522891,0.419237008223226,0.0,0.0,0.0,medium,high,low,low,mixed_review,-1,review,A_one_and_only
