fid,MS_ID,Per_extent,Tem_extent,Street_type_NOR,Resident_NOR,DayNight_NOR,PRM_NOR,Index_population,N_PFlossR_2kiw,N_PFlossR_2ktw,N_PFlossR_2kmw,PF_Index_acc_loss,PFResident_lossR,PFDaynight_lossR,PFPRM_lossR,PF_Index_population,PFAB2k_lossR,N_PFAB2k_lossR,PFAB2k_NOR,PFAB5k_lossR,N_PFAB5k_lossR,PFAB5k_NOR,PF_Index_centrality,PF_Index_V_equal,N_TFlossR_2kiw,N_TFlossR_2ktw,N_TFlossR_2kmw,TF_Index_acc_loss,TFResident_lossR,TFDaynight_lossR,TFPRM_lossR,TF_Index_population,TFAB2k_lossR,N_TFAB2k_lossR,TFAB2k_NOR,TFAB5k_lossR,N_TFAB5k_lossR,TFAB5k_NOR,TF_Index_centrality,TF_Index_V_equal,PF_Index_Risk_equal,TF_Index_Risk_equal
24341,24341,0,0,0.75,0.549144431247118,0.47339670880346,0.485711880368725,0.502751006806434,-0.833333333333333,-0.716794252457981,-0.582655826558266,0.710927804116527,0,-1,-1,0.335167337870956,-1,1,0.75,-1,1,0.75,0.75,0.626755736526002,0,-0.0309908661808193,-0.018970189701897,0.0166536852942388,0,0,0,0,-0.00306332391767503,0.00306332391767503,0.00229749293825627,-0.166727057387682,0.166727057387682,0.125045293040761,0.0636713929895088,0.0242446908944966,0.626755736526002,0.0242446908944966
24342,24342,1,0,0.75,0.549144431247118,0.47339670880346,0.485711880368725,0.502751006806434,1,1,1,1,-1,-1,-1,0.502751006806434,-1,1,0.75,-1,1,0.75,0.75,0.813187751701609,0,-0.0295509161789478,-0.018716577540107,0.0160891645730182,0,0,0,0,-0.00308311410824902,0.00308311410824902,0.00231233558118676,-0.16712532362157,0.16712532362157,0.125343992716177,0.0638281641486821,0.0240016233236796,0.813187751701609,0.0240016233236796
24343,24343,1,0,0.75,0.565555342520913,0.47339670880346,0.485711880368725,0.508221310564366,1,1,1,1,-1,-1,-1,0.508221310564366,-1,1,0.75,-1,1,0.75,0.75,0.814555327641091,0,-0.02692509843878,-0.0259067357512953,0.0176106113966918,0,0,0,0,-0.00312916737665424,0.00312916737665424,0.00234687553249068,-0.167537613957132,0.167537613957132,0.125653210467849,0.0640000430001699,0.0248053164483884,0.814555327641091,0.0248053164483884
24344,24344,0,0,0.75,0.640754471973463,0.47339670880346,0.485711880368725,0.533287687048549,-1,-0.486218832341312,-0.621287128712871,0.702501987018061,-0.425587467362924,0,0,0.0756535187022746,-1,1,0.75,-1,1,0.75,0.75,0.557664373184599,0,-0.0260857958634137,-0.0123762376237624,0.0128206778290587,0,0,0,0,-0.00316098034347593,0.00316098034347593,0.00237073525760695,-0.169138343406027,0.169138343406027,0.12685375755452,0.0646122464060635,0.0225634005160452,0.557664373184599,0.0225634005160452
24345,24345,0,0,0.75,0.640754471973463,0.47339670880346,0.485711880368725,0.533287687048549,-1,-0.486218832341312,-0.617866004962779,0.701361612434697,-0.425587467362924,0,0,0.0756535187022746,-0.997309579130205,0.997309579130205,0.747982184347654,-0.99866803433983,0.99866803433983,0.749001025754873,0.748491605051263,0.556717087155733,0,-0.0260857958634137,-0.00744416873449132,0.0111766548659683,0,0,0,0,-0.00317432474692269,0.00317432474692269,0.00238074356019202,-0.16946301967708,0.16946301967708,0.12709726475781,0.0647390041590011,0.0217730784727345,0.556717087155733,0.0217730784727345
24346,24346,0,0,0.75,0.640754471973463,0.499577141056848,0.485711880368725,0.542014497799679,-1,-0.486218832341312,-0.605839416058394,0.697352749466569,-0.425587467362924,0,0,0.0768915257975175,-0.995769933777303,0.995769933777303,0.746827450332977,-0.997906644822111,0.997906644822111,0.748429983616583,0.74762871697478,0.554806435426359,0,-0.0260857958634137,-0.0121654501216545,0.0127504153283561,0,0,0,0,-0.00318857520626456,0.00318857520626456,0.00239143140469842,-0.169665785073879,0.169665785073879,0.127249338805409,0.0648203851050537,0.0225803039404415,0.554806435426359,0.0225803039404415
24347,24347,0,0,0.75,0.639626941264292,0.499577141056848,0.485711880368725,0.541638654229955,-1,-0.476350517130379,-0.600961538461538,0.692437351863973,-0.20844327176781,0,0,0.0376336444012018,-0.99187510138432,0.99187510138432,0.74390632603824,-0.995990722422503,0.995990722422503,0.746993041816877,0.745449683927559,0.541989508014176,0,-0.04585239418406,-0.00480769230769231,0.0168866954972508,0,0,0,0,-0.0032258710727885,0.0032258710727885,0.00241940330459137,-0.170195513010906,0.170195513010906,0.127646634758179,0.0650330190313853,0.0247016025064717,0.541989508014176,0.0247016025064717
24348,24348,0,0,0.75,0.641313840498067,0.697920329379827,0.58132755336666,0.640187241081518,-1,-0.438156338973604,-0.567567567567568,0.668574635513724,-0.205194805194805,0,0,0.0437876987406406,-0.982501997219081,0.982501997219081,0.73687649791431,-0.991428286921121,0.991428286921121,0.743571215190841,0.740223856552576,0.530290206580166,0,-0.0452683280740919,-0.00675675675675676,0.0173416949436162,0,0,0,0,-0.0033142559720883,0.0033142559720883,0.00248569197906623,-0.171516873453444,0.171516873453444,0.128637655090083,0.0655616735345746,0.0250612658554518,0.530290206580166,0.0250612658554518
24349,24349,0,0,0.75,0.662515174478861,0.697920329379827,0.58132755336666,0.647254352408449,-1,-0.442587944125367,-0.546610169491525,0.663066037872297,-0.285714285714286,0,0,0.0616432716579475,-0.958091467669595,0.958091467669595,0.718568600752196,-0.979497130706098,0.979497130706098,0.734622848029573,0.726595724390885,0.528592767948357,0,-0.0395996240518255,-0.0148305084745763,0.0181433775088006,0,0,0,0,-0.00355412017799393,0.00355412017799393,0.00266559013349545,-0.174655984473177,0.174655984473177,0.130991988354883,0.066828789244189,0.0257788860654476,0.528592767948357,0.0257788860654476
24350,24350,0,0,0.75,0.662515174478861,0.697920329379827,0.58132755336666,0.647254352408449,-1,-0.434963795576291,-0.526639344262295,0.653867713279529,-0.285714285714286,0,0,0.0616432716579475,-0.951819099777677,0.951819099777677,0.713864324833258,-0.976451850489939,0.976451850489939,0.732338887867455,0.723101606350356,0.52312007614184,0,-0.0389175555735964,-0.0122950819672131,0.0170708791802698,0,0,0,0,-0.00365416901286265,0.00365416901286265,0.00274062675964699,-0.175493496005338,0.175493496005338,0.131620122004004,0.0671803743818253,0.0253305331855912,0.52312007614184,0.0253305331855912
