TF_Index_population,TF_Index_acc_loss,TF_Index_centrality,Tem_extent
0.120254574113382,0.198326222837007,0.75,0
0.120254574113382,0.191298407844821,0.74923530186314,0
0.0260205328994341,0.200204250285684,0.747337947693266,0
0.0073108517241109,0.203678656919942,0.740161124864149,0
0.0395893597769924,0.208951849080937,0.622979677365711,0
0.0,0.838444974054767,0.487392497445355,0
0.0,0.813343483413477,0.483338371093631,0
0.0,0.811135977894713,0.4829084968558,0
0.0,0.811597678395369,0.481181064929633,0
0.0,0.805255286573067,0.476422914057834,0
0.0,0.811755957374883,0.468280698225111,0
0.304701683850062,0.814375739641868,0.459216632066636,0
0.423496417964254,0.808604552224249,0.450656276505407,0
0.317412768335712,0.812531004258018,0.438742760040804,0
0.441864592468785,0.806473156508395,0.422824591919935,0
0.441864592468785,0.664854870524799,0.396392380452992,0
0.360296691503604,0.819702868897612,0.379121196443928,0
0.368885091777223,0.812995903493362,0.36248000148912,0
0.266255492443094,0.803830934326008,0.349784591954869,0
0.0,0.511786148700992,0.339741924499647,0
0.0,0.504884732796237,0.33156940019028,0
0.0,0.500229567405447,0.325823647346303,0
0.0,0.506178577525115,0.322976791452447,0
0.0,0.455885602136995,0.32224593950212,0
0.0,0.449664008119291,0.325080184131587,0
0.0,0.446005396163665,0.322597941628285,0
0.0,0.618543014696077,0.326182134816926,0
0.0,0.620064863294521,0.329469534376356,0
0.0,0.620449798998219,0.332712851507403,0
0.0,0.622146643927179,0.337113256667942,0
0.0,0.618684215762368,0.340432924843723,0
0.0,0.613694639689279,0.343737348593769,0
0.0,0.616273778966457,0.347928770676947,0
0.0,0.616968925579198,0.352318655542171,0
0.0,0.607445362849925,0.357937976073489,0
0.0,0.602032809040002,0.36198700586203,0
0.453037660487244,0.449461364519438,0.719966233900659,0
0.458967996069054,0.45062676479037,0.720247651166137,0
0.457813203970338,0.451349203744279,0.72277135946802,0
0.436024823278024,0.454160270470126,0.729028981741198,0
0.470022153273685,0.468989977008279,0.740049126445877,0
0.474854861527423,0.475922436983957,0.749999583389364,0
0.77797974570924,1.0,0.75,1
0.768661055265095,0.666666666666667,0.75,0
0.770151400864992,0.666666666666667,0.75,1
0.770151400864992,0.666666666666667,0.75,1
0.771872643826781,0.666666666666667,0.75,1
0.771872643826781,0.666666666666667,0.75,1
0.0010754383544329,0.219229275047663,0.632884188918509,0
0.0010754383544329,0.221690383415976,0.63318704972104,0
0.243966228849382,1.0,0.499876118501244,1
0.243966228849382,1.0,0.499955018577915,1
0.243966228849382,1.0,0.5,1
0.0636913204893691,1.0,0.5,1
0.0636913204893691,1.0,0.5,1
0.0636913204893691,1.0,0.499995529193414,1
0.0636913204893691,1.0,0.499997394813554,1
0.0636913204893691,1.0,0.5,1
0.0635212069670369,1.0,0.5,1
0.212216832942179,1.0,0.5,1
0.0029363152069921,1.0,0.5,0
0.0,1.0,0.499917439984997,0
0.0,1.0,0.499830154238775,0
0.0,1.0,0.499754110368936,0
0.0,1.0,0.49963904089016,0
0.0,1.0,0.499600716362105,0
0.0,1.0,0.499572899529042,0
0.0,1.0,0.499542420068332,0
0.0,1.0,0.499453477031467,0
0.0,1.0,0.499429012454154,0
0.0,1.0,0.499406180590057,0
0.121519393703952,1.0,0.499380970788082,0
0.121519393703952,1.0,0.49940374347746,0
0.769014611140529,1.0,1.0,1
0.76724156550655,1.0,1.0,1
0.770904138607749,1.0,1.0,1
0.767258548110579,1.0,1.0,1
0.793192375426933,1.0,1.0,1
0.797689053578906,1.0,1.0,1
0.793192375426933,1.0,1.0,1
0.787244704008647,1.0,1.0,1
0.767258548110579,1.0,1.0,1
0.741405413334878,0.666666666666667,1.0,1
0.741405413334878,0.666666666666667,1.0,1
0.724806945865691,0.666666666666667,1.0,1
0.640342441056146,0.414613380853398,1.0,0
0.631649022464402,0.398042419734475,0.997139643187791,0
0.631649022464402,0.389604745897004,0.993831475066453,0
0.627185708913203,0.375720194017411,0.989209103563294,0
0.602257220877596,0.37495335446828,0.984610586667807,0
0.501323772876677,0.367743762692072,0.981275737827701,0
0.501323772876677,0.368757263388515,0.977128567005168,0
0.452163399379081,0.366845424415858,0.973215469242368,0
0.452163399379081,0.361718828056579,0.971069420021971,0
0.38281528264153,0.353648672016634,0.967070898078351,0
0.351111058923884,0.352895250060892,0.963401528714473,0
0.425425042918255,0.666666666666667,1.0,1
0.383114768834247,0.666666666666667,1.0,1
0.383114768834247,0.666666666666667,1.0,1
0.364779841138954,0.666666666666667,1.0,1
0.370886522461662,0.666666666666667,1.0,1
0.370886522461662,0.666666666666667,1.0,1
0.371048509919961,0.666666666666667,1.0,1
0.313259087125953,0.666666666666667,1.0,1
0.298705836282113,0.666666666666667,1.0,1
0.298705836282113,0.666666666666667,1.0,1
0.182709772501205,0.666666666666667,1.0,1
0.0702204311705211,0.666666666666667,1.0,1
0.178689878540578,0.666666666666667,1.0,1
0.0893449392702891,0.450190795771359,1.0,0
0.0893449392702891,0.447683452838484,0.995302890543512,0
0.0482291363383483,0.666666666666667,0.25,1
0.0475188172566728,0.666666666666667,0.25,1
0.0475188172566728,0.666666666666667,0.25,1
0.0475188172566728,0.666666666666667,0.25,1
0.13354905130171,0.666666666666667,0.25,1
0.318209985010074,0.666666666666667,0.25,1
0.390048572152364,0.666666666666667,0.25,1
0.402263795419159,0.666666666666667,0.25,1
0.390048572152364,0.666666666666667,0.25,1
0.0,0.875209430205769,0.495472322901363,1
0.0,0.880309612355131,0.496146325700207,1
0.0,0.880309612355131,0.496814578842925,1
0.0,0.880309612355131,0.497476585842805,1
0.0,0.880309612355131,0.498026927172922,0
0.0,0.862891143489346,0.475221422709663,0
0.0,0.868749545578438,0.476608901078956,0
0.0,0.868749545578438,0.477915303466107,0
0.0,0.868749545578438,0.479855360584579,0
0.0,0.868749545578438,0.482824534018831,0
0.0,0.868749545578438,0.4868711203367,0
0.0,0.871743653782871,0.492284562338316,1
0.0,0.871743653782871,0.496716991048385,1
0.0,0.875209430205769,0.499536367969968,1
0.0,0.862891143489346,0.48898281832865,0
0.0,0.868749545578438,0.489282636478346,0
0.0,0.868749545578438,0.489544246964131,0
0.0,0.868749545578438,0.490000427399821,0
0.0,0.868749545578438,0.490863595676329,0
0.0,0.868749545578438,0.491767105746804,0
0.0,0.871743653782871,0.492679621125179,1
0.0,0.875209430205769,0.493642306754387,1
0.0751520748435747,0.784963830187351,0.117882064735031,0
0.0751520748435747,0.781166739104852,0.112023241510618,0
0.0750542614073172,0.779468661105225,0.106602365570635,0
0.0754173177165583,0.780605592639458,0.644284606881769,0
0.0754173177165583,0.77746736061737,0.643717739973929,0
0.0225478441258394,0.769495232739856,0.631425206464413,0
0.0225145173438257,0.758422197946884,0.629167169392544,0
0.0225145173438257,0.755481021476295,0.628589537729632,0
0.026807465022542,1.0,0.499713926732475,0
0.0394919090561309,1.0,0.499714256058112,0
0.0394919090561309,1.0,0.499739729159479,0
0.0394919090561309,1.0,0.499787215104344,0
0.0394919090561309,1.0,0.499850229988413,0
0.0394919090561309,1.0,0.499930272209554,0
0.0394919090561309,1.0,0.5,0
0.0515321252317805,1.0,0.25,1
0.0515321252317805,1.0,0.25,1
0.0515321252317805,1.0,0.25,1
0.0515321252317805,1.0,0.25,1
0.0515321252317805,1.0,0.25,1
0.0515321252317805,1.0,0.25,1
0.0515321252317805,1.0,0.25,1
0.0515321252317805,1.0,0.25,1
0.0515321252317805,1.0,0.25,1
0.0520302249714401,1.0,0.25,1
0.0520302249714401,1.0,0.25,1
0.0520302249714401,1.0,0.25,1
0.0520302249714401,1.0,0.25,1
0.0520302249714401,1.0,0.25,1
0.0636913204893691,0.321861081802434,0.722443107752082,1
0.0636913204893691,0.301509454704702,0.704155557831534,1
0.0636913204893691,0.289718329204595,0.697053595134349,1
0.0597076822745756,0.271198803778779,0.689379955993263,1
0.0612015614862542,0.285788227474072,0.679824705508575,1
0.146013614014241,0.260195029740822,0.669426785091172,1
0.148439349122442,0.259171180780117,0.655430098165028,1
0.148439349122442,0.247169111856812,0.635995766148526,1
0.052962743783109,0.250347537359041,0.622274374665714,1
0.05424052884162,0.2443340764039,0.608743743935191,0
0.05424052884162,0.234233045334487,0.596472818077289,0
0.0112636388522934,0.230741900013537,0.586835099821754,0
0.0112995599810764,0.228949345323329,0.577517062172588,0
0.0106749959237312,0.226260761854801,0.561461196591446,0
0.289909159582123,0.670522654866159,0.499705735098107,0
0.289909159582123,0.670522654866159,0.5,0
0.289909159582123,1.0,0.5,1
0.289909159582123,0.348382570439328,0.5,0
0.0,0.336526609431516,0.496213905364704,0
0.0,0.313280579612744,0.486171910943658,0
0.0,0.311584226771354,0.49170651282878,0
0.0,0.318448538269075,0.5,0
0.0,1.0,0.5,1
0.0,1.0,0.5,1
0.0,0.314169468501633,0.5,0
0.0,0.320118186450351,0.490289221937268,0
0.0,0.322470220381333,0.482571967716413,0
0.0,0.313280579612744,0.477523160702929,0
0.0,0.328657020662285,0.487292507560667,0
0.289909159582123,0.343793892863034,0.490265226521957,0
0.289909159582123,0.343793892863034,0.493763987818108,0
0.289909159582123,0.36854224878648,0.496291784087449,0
0.289909159582123,0.36854224878648,0.496885874942981,0
0.289909159582123,0.380773698978216,0.497735596106268,0
0.0,0.601964137194955,0.326884334917719,0
0.0,0.609188041867152,0.326460780901174,0
0.0,0.602888963655871,0.326457426943396,0
0.0,0.603826522899619,0.326432250344846,0
0.0,0.605357537196591,0.326449762141068,0
0.0,0.605565681134245,0.326534777586641,0
0.0,0.599390336993214,0.326642926991818,0
0.0,0.60627941830761,0.326792206350919,0
0.0,0.60627941830761,0.327434405390398,0
0.0,0.606759701279036,0.327082005842571,0
0.0,0.607499934016917,0.327213873933065,0
0.0,0.603270617955122,0.327480631401063,0
0.0,0.611311050153167,0.327776227266875,0
0.0,0.610829598452204,0.32812796564867,0
0.0,0.610784312159411,0.328551774386733,0
0.0,0.611277750119867,0.329033239565022,0
0.0,0.606471522632758,0.329522411029363,0
