scenario,version,min_cluster_size,min_samples,n_clusters,noise_count,noise_ratio,largest_cluster_size,runtime_seconds
PF,version_a,800,150,26,30849,0.2637590950675023,25861,294.8128108000383
PF,version_b,800,150,25,35791,0.3060132183072701,24136,398.10621090000495
TF,version_a,800,150,26,43745,0.3740199557109756,23006,255.02730319998227
TF,version_b,800,150,25,44049,0.37661915714053645,22492,320.54227830003947
