scenario,version,min_cluster_size,min_samples,start_time,end_time,duration_seconds,n_clusters,noise_count,noise_ratio,status,error_message
PF,version_a,800,150,2026-06-02T19:30:56.064852+00:00,2026-06-02T19:35:50.877059+00:00,294.8128108000383,26,30849,0.2637590950675023,completed,
PF,version_b,800,150,2026-06-02T19:35:51.219753+00:00,2026-06-02T19:42:29.326037+00:00,398.10621090000495,25,35791,0.3060132183072701,completed,
TF,version_a,800,150,2026-06-02T19:42:29.498155+00:00,2026-06-02T19:46:44.525531+00:00,255.02730319998227,26,43745,0.3740199557109756,completed,
TF,version_b,800,150,2026-06-02T19:46:45.074201+00:00,2026-06-02T19:52:05.616366+00:00,320.54227830003947,25,44049,0.37661915714053645,completed,
