fid,MS_ID,Street_type_NOR,Resident_NOR,DayNight_NOR,PRM_NOR,Index_population,N_PFlossR_2kiw,N_PFlossR_2kmw,PF_Index_acc_loss,PFResident_lossR,PFDaynight_lossR,PFPRM_lossR,PF_Index_population,PFAB2k_lossR,N_PFAB2k_lossR,PFAB5k_lossR,N_PFAB5k_lossR,PFAB5k_NOR,PFABC_NOR,PF_Index_centrality,PF_Index_V_equal,PF_Index_Risk_equal
24341,24341,0.75,0.549144431247118,0.47339670880346,0.485711880368725,0.502751006806434,-0.833333333333333,-0.582655826558266,0.710927804116527,0.0,-1.0,-1.0,0.335167337870956,-1.0,1.0,-1.0,1.0,1.0,0.255599579199857,1.0,0.689255736526002,0.689255736526002
24342,24342,0.75,0.549144431247118,0.47339670880346,0.485711880368725,0.502751006806434,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.502751006806434,-1.0,1.0,-1.0,1.0,1.0,0.255974313968601,1.0,0.875687751701609,0.875687751701609
24343,24343,0.75,0.565555342520913,0.47339670880346,0.485711880368725,0.508221310564366,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.508221310564366,-1.0,1.0,-1.0,1.0,1.0,0.255134391256299,1.0,0.877055327641091,0.877055327641091
24344,24344,0.75,0.640754471973463,0.47339670880346,0.485711880368725,0.533287687048549,-1.0,-0.621287128712871,0.702501987018061,-0.425587467362924,0.0,0.0,0.0756535187022746,-1.0,1.0,-1.0,1.0,1.0,0.258482933978164,1.0,0.620164373184599,0.620164373184599
24345,24345,0.75,0.640754471973463,0.47339670880346,0.485711880368725,0.533287687048549,-1.0,-0.617866004962779,0.701361612434697,-0.425587467362924,0.0,0.0,0.0756535187022746,-0.997309579130205,0.997309579130205,-0.99866803433983,0.99866803433983,0.99866803433983,0.258975749450925,0.997988806735018,0.619091387576672,0.619091387576672
24346,24346,0.75,0.640754471973463,0.499577141056848,0.485711880368725,0.542014497799679,-1.0,-0.605839416058394,0.697352749466569,-0.425587467362924,0.0,0.0,0.0768915257975175,-0.995769933777303,0.995769933777303,-0.997906644822111,0.997906644822111,0.997906644822111,0.258909868217093,0.996838289299707,0.61710882850759,0.61710882850759
24347,24347,0.75,0.639626941264292,0.499577141056848,0.485711880368725,0.541638654229955,-1.0,-0.600961538461538,0.692437351863973,-0.20844327176781,0.0,0.0,0.0376336444012018,-0.99187510138432,0.99187510138432,-0.995990722422503,0.995990722422503,0.995990722422503,0.258857475068589,0.993932911903411,0.604110315008139,0.604110315008139
24348,24348,0.75,0.641313840498067,0.697920329379827,0.58132755336666,0.640187241081518,-1.0,-0.567567567567568,0.668574635513724,-0.205194805194805,0.0,0.0,0.0437876987406406,-0.982501997219081,0.982501997219081,-0.991428286921121,0.991428286921121,0.991428286921121,0.258674765647939,0.986965142070101,0.591975527959547,0.591975527959547
24349,24349,0.75,0.662515174478861,0.697920329379827,0.58132755336666,0.647254352408449,-1.0,-0.546610169491525,0.663066037872297,-0.285714285714286,0.0,0.0,0.0616432716579475,-0.958091467669595,0.958091467669595,-0.979497130706098,0.979497130706098,0.979497130706098,0.26455291676158,0.968794299187846,0.589142411647597,0.589142411647597
24350,24350,0.75,0.662515174478861,0.697920329379827,0.58132755336666,0.647254352408449,-1.0,-0.526639344262295,0.653867713279529,-0.285714285714286,0.0,0.0,0.0616432716579475,-0.951819099777677,0.951819099777677,-0.976451850489939,0.976451850489939,0.976451850489939,0.266086383323182,0.964135475133808,0.583378543337703,0.583378543337703
