,Per_extent,PF_Index_population,PF_Index_acc_loss,PF_Index_centrality
Per_extent,1.0,0.2966330724392505,0.24040494753935931,0.20226000391465498
PF_Index_population,0.2966330724392505,1.0,0.40449031910135036,0.3575095142207335
PF_Index_acc_loss,0.24040494753935931,0.40449031910135036,1.0,0.6948203407938889
PF_Index_centrality,0.20226000391465498,0.3575095142207335,0.6948203407938889,1.0
