feature,min,max,mean,std,missing_value_count
Per_extent,0.0,1.0,0.002257201241460683,0.04745656476927283,0
Tem_extent,0.0,1.0,0.024829213656067512,0.15560504755939406,0
Street_type_NOR,0.0,1.0,0.34203652562008907,0.22983162488247685,0
Resident_NOR,0.0,1.0,0.3303156041228484,0.34581164073481174,0
DayNight_NOR,0.0,1.0,0.2867011154644156,0.30746336643123423,0
PRM_NOR,0.0,1.0,0.2675668089323178,0.31772431248703453,0
N_TFlossR_2kiw,-1.0,1.0,-0.07148654760967507,0.3720760770577898,72098
N_TFlossR_2ktw,-1.0,1.0,-0.04615891330513893,0.23849324804672095,4522
N_TFlossR_2kmw,-1.0,1.0,-0.06934621206667134,0.3007851157738524,22635
TFResident_lossR,-1.0,0.0,-0.04304636227050021,0.19149560935141485,56095
TFDaynight_lossR,-1.0,0.0,-0.05652454934512799,0.2146524032209779,58905
TFPRM_lossR,-1.0,0.0,-0.05101595043446998,0.2094979620879273,64181
TFAB2k_lossR,-1.0,1.0,-0.0989602196851962,0.24765410536530155,9013
N_TFAB2k_lossR,0.0,1.0,0.10060624287030333,0.2469900035159691,9013
TFAB2k_NOR,0.0,1.0,0.04775359826071828,0.14116694659209086,9013
TFAB5k_lossR,-1.0,1.0,-0.1804231062497171,0.3002679370745942,9012
N_TFAB5k_lossR,0.0,1.0,0.18610766570897921,0.29677811369145063,9012
TFAB5k_NOR,0.0,1.0,0.08149242971577035,0.16883565439022263,9012
