hdbscan_cluster,sample_count
-1,35417
0,264
1,207
2,1254
3,107
4,115
5,244
6,308
7,111
8,207
9,134
10,273
11,104
12,105
13,133
14,3271
15,203
16,709
17,3907
18,158
19,429
20,130
21,145
22,836
23,106
24,122
25,160
26,111
27,3038
28,265
29,1703
30,268
31,263
32,229
33,168
34,112
35,231
36,199
37,367
38,279
39,137
40,101
41,102
42,290
43,205
44,273
45,215
46,135
47,209
48,149
49,126
50,201
51,149
52,5276
53,123
54,166
55,120
56,158
57,221
58,575
59,240
60,321
61,119
62,208
63,105
64,425
65,182
66,232
67,301
68,282
69,333
70,243
71,108
72,106
73,864
74,130
75,1210
76,352
77,205
78,496
79,102
80,112
81,567
82,115
83,219
84,113
85,264
86,1544
87,104
88,171
89,441
90,121
91,1075
92,222
93,260
94,145
95,205
96,744
97,173
98,296
99,174
100,133
101,261
102,252
103,135
104,218
105,117
106,250
107,174
108,255
109,159
110,217
111,362
112,285
113,2545
114,178
115,174
116,1561
117,1603
118,1538
119,1634
120,2008
121,1702
122,203
123,1775
124,126
125,1639
126,167
127,150
128,18077
129,109
