hdbscan_cluster,sample_count
-1,28011
0,67
1,77
2,57
3,93
4,98
5,1523
6,52
7,95
8,261
9,327
10,116
11,111
12,265
13,107
14,83
15,50
16,92
17,148
18,94
19,55
20,82
21,80
22,222
23,3434
24,86
25,129
26,65
27,3907
28,158
29,53
30,75
31,187
32,410
33,50
34,133
35,87
36,134
37,112
38,75
39,80
40,174
41,94
42,50
43,60
44,155
45,101
46,144
47,73
48,121
49,222
50,57
51,52
52,84
53,155
54,59
55,78
56,66
57,75
58,60
59,69
60,96
61,65
62,74
63,771
64,53
65,58
66,52
67,142
68,97
69,81
70,57
71,75
72,56
73,204
74,102
75,102
76,65
77,66
78,62
79,67
80,74
81,98
82,98
83,121
84,103
85,85
86,55
87,78
88,293
89,61
90,51
91,85
92,74
93,68
94,73
95,76
96,56
97,59
98,56
99,2858
100,76
101,146
102,143
103,221
104,159
105,211
106,223
107,161
108,282
109,210
110,181
111,109
112,71
113,59
114,27047
115,55
116,50
117,246
118,59
119,50
120,180
121,131
122,201
123,55
124,360
125,80
126,84
127,89
128,61
129,52
130,150
131,56
132,339
133,121
134,63
135,104
136,138
137,60
138,309
139,52
140,182
141,294
142,93
143,59
144,78
145,581
146,89
147,959
148,137
149,111
150,4175
151,59
152,78
153,59
154,56
155,72
156,62
157,110
158,62
159,133
160,355
161,59
162,354
163,208
164,68
165,420
166,102
167,56
168,97
169,116
170,104
171,69
172,50
173,115
174,266
175,58
176,189
177,78
178,61
179,58
180,145
181,72
182,105
183,171
184,121
185,218
186,142
187,122
188,81
189,57
190,131
191,122
192,55
193,192
194,191
195,261
196,106
197,53
198,115
199,103
200,121
201,191
202,166
203,94
204,78
205,133
206,92
207,50
208,205
209,746
210,174
211,94
212,73
213,50
214,263
215,145
216,88
217,82
218,52
219,117
220,132
221,77
222,82
223,57
224,63
225,75
226,174
227,255
228,158
229,217
230,191
231,68
232,1592
233,2545
234,129
235,1699
236,1667
237,92
238,65
239,67
240,80
241,1546
242,50
243,1775
244,126
245,77
246,203
247,53
248,1685
249,77
250,1534
251,56
252,1639
253,65
254,78
