hdbscan_cluster,sample_count
-1,26757
0,2646
1,200
2,1523
3,222
4,3434
5,771
6,4279
7,466
8,2243
9,1489
10,531
11,7295
12,3784
13,294
14,728
15,258
16,1747
17,401
18,204
19,293
20,523
21,211
22,223
23,282
24,210
25,711
26,576
27,201
28,240
29,339
30,538
31,452
32,294
33,581
34,1471
35,959
36,354
37,208
38,420
39,716
40,266
41,216
42,1544
43,443
44,1085
45,223
46,261
47,205
48,746
49,263
50,253
51,218
52,1131
53,246
54,668
55,22678
56,1632
57,2674
58,2095
59,1592
60,2084
61,1699
62,2091
63,1667
64,1702
65,203
