pca_component_1,pca_component_2
-0.7004887400620077,-1.2934342435279496
-0.7005031869658774,-1.2934320984178707
-0.700515710069988,-1.2934302351292357
-0.7005273416480482,-1.2934285868525215
-0.7005407720274853,-1.2934265921405956
-0.7005400117002838,-1.2934266759913748
-0.7005400149707571,-1.2934266755123918
-0.7005400647115596,-1.2934267194867197
-0.7005405739099252,-1.293426643642905
-0.7005405851180537,-1.2934266407292585
-0.7005405961559024,-1.293426637859878
-0.7005410143525299,-1.2934265291461826
-0.7005398727893876,-1.2934267686764183
-0.7005403837241321,-1.2934266491763458
-0.7005403948337899,-1.2934266464613469
-0.7005401873616934,-1.2934267319966477
-0.7005403024044747,-1.2934267142230074
-0.7005402322708341,-1.2934267209809995
-0.7005387765626367,-1.2934269595846342
-0.7005402125009292,-1.2934266837032804
-0.7005410143525299,-1.2934265291461826
-0.7005403164149572,-1.2934267003415032
-0.7005407141113688,-1.2934266071963725
-0.7005410143525299,-1.2934265291461826
-0.700539700222862,-1.2934267873947818
-0.7005407388646896,-1.2934266007615405
-0.700540289669484,-1.2934266656689852
-0.7005402691035978,-1.2934266820997569
-0.7005397049678,-1.2934267667705743
-0.7005407862284262,-1.2934265474448787
-0.7005405578038444,-1.2934265960108207
-0.7005398020384249,-1.2934267885555375
-0.7005407835054819,-1.2934265476632962
-0.7005407826093475,-1.293426547735179
-0.7005399573541714,-1.2934267884146042
-0.7005402954752197,-1.2934267160243247
-0.7005407800264849,-1.29342654794236
-0.7005399770052512,-1.2934267372631345
-0.7005404987530245,-1.293426663180567
-0.7005407775237703,-1.2934265481431122
-0.7005399977855676,-1.293426707982145
-0.7005397614328759,-1.2934268364716373
-0.7005404910535539,-1.293426622185042
-0.7005392200892542,-1.2934269219771164
-0.7005407735789317,-1.2934265484595424
-0.7005407080395765,-1.2934266087747854
-0.7005398298042819,-1.2934267935319088
-0.7005405299361147,-1.2934266000922376
-0.7005410143525299,-1.2934265291461826
-0.7005404302912486,-1.2934266370375387
-0.7005398263298814,-1.29342674984087
-0.700539395409744,-1.293426926252514
-0.7005382735569278,-1.293427160729828
-0.7005406360636276,-1.2934266274855324
-0.7005391478843067,-1.2934268893010201
-0.7005387134287813,-1.2934270445715725
-0.7005396102838741,-1.2934267813962137
-0.7005398112147986,-1.293426783026926
-0.7005400799732474,-1.293426682032661
-0.700540568834726,-1.2934266449622451
-0.7005405567050582,-1.2934266481154533
-0.7005391958868006,-1.2934268503348247
-0.7005407729270038,-1.2934265919067582
-0.7005397638423089,-1.2934267631962504
-0.7005402536039088,-1.2934266694980179
-0.7005399153830626,-1.2934267486178563
-0.7005407595683741,-1.2934265495833825
-0.7005401327695752,-1.2934267032468834
-0.7005404734848001,-1.2934266237754666
-0.700540427682893,-1.2934266816558393
-0.7005396895684263,-1.2934267573945883
-0.7005403138372139,-1.293426700973791
-0.7005401188749822,-1.293426715645197
-0.7005401722977348,-1.2934266896926108
-0.7005404189871068,-1.2934266374853653
-0.7005404093935897,-1.2934266399148642
-0.7005396947045727,-1.2934268018100916
-0.700540754983423,-1.2934265499511586
-0.7005410143525299,-1.2934265291461826
-0.7005396292772387,-1.2934268176664305
-0.7005404954932067,-1.2934266051366343
-0.7005386763882154,-1.2934270165861774
-0.7005407535011643,-1.293426550070056
-0.7005391215489528,-1.2934269934271263
-0.700539788583722,-1.2934267866681572
-0.7005410143525299,-1.2934265291461826
-0.7005395294418051,-1.2934267966970734
-0.7005394774527466,-1.293426819622429
-0.7005398426261309,-1.2934267866170672
-0.700540031292514,-1.2934267253449714
-0.7005410143525299,-1.2934265291461826
-0.7005404908528112,-1.2934266058162516
-0.9592534323415001,-1.3956000121694752
-0.9592533517109806,-1.3956000753954556
-1.0886103088242534,-1.4466866199601287
-1.0886100693562928,-1.4466867142349675
-1.0886099774403426,-1.4466867037840054
-1.0886107336299078,-1.446686559177234
-1.0886107336299078,-1.446686559177234
-1.0886107336299078,-1.446686559177234
-1.0886101188128603,-1.4466867026905934
-1.0886105263287662,-1.4466866073504483
-1.0886095174151456,-1.446686843071552
-1.088610033012548,-1.4466866908507008
-1.088610207522479,-1.446686643432394
-1.0886100501429874,-1.4466866869111603
-1.0886107336299078,-1.446686559177234
-1.0886103081495224,-1.4466866200566721
-1.0886106342775277,-1.4466865506006972
-1.0886106394589081,-1.4466865810609522
-1.0886103099927096,-1.4466866197929413
-1.0886097712542098,-1.4466867457197654
-1.088610642925674,-1.4466865802553355
-1.0886107336299078,-1.446686559177234
-1.0886100182778966,-1.4466866636772129
-1.0886104621245127,-1.4466865912149784
-1.0886093984677148,-1.4466867956553988
-1.0886106523698564,-1.4466865780606701
-1.0886105589245192,-1.4466865695494429
-1.0886106444265544,-1.446686551476806
-1.0886107336299078,-1.446686559177234
-0.9592540297937029,-1.3955999152618461
-0.9592537274422276,-1.3955999451040317
-0.9592532466822423,-1.3956001004435277
-0.9592536186432513,-1.395599973831359
-0.9592540157413598,-1.395599885009063
-0.9592539256563021,-1.3955999413564855
-0.9592537593171837,-1.395599940496514
-0.9592541605374484,-1.395599882500217
-0.9592533858852568,-1.395600067245308
-0.9592463413301695,-1.3956010838175956
-0.9592390395182171,-1.395602068240081
-0.959232663482221,-1.3956029898946227
-0.9592275347742576,-1.3956037984878114
-0.8298971591688739,-1.3445132681926169
-0.8298970788356351,-1.344513299528437
-0.82989630739273,-1.344513474890108
-0.8298969518457087,-1.3445133690517406
-0.8298974031654337,-1.344513216563053
-0.8298974038750873,-1.3445132165216942
-0.8298971676790943,-1.344513266953282
-0.8298967475798152,-1.3445133281319148
-0.8298970966299712,-1.3445132956074426
-0.8298968756739272,-1.3445133425391402
-0.8298971754390241,-1.3445132658232115
-1.0886105934948616,-1.4466865470801569
-1.0886105315589119,-1.4466866061350525
-1.0886106329983516,-1.4466865825622741
-1.0886104350265542,-1.4466866019025981
-1.0886100778384922,-1.4466866899429438
-1.0886107336299078,-1.446686559177234
-1.0886104678081943,-1.4466865987708373
-1.0886098426179345,-1.4466866866667962
-1.0886104984947504,-1.4466865695975835
-1.0886107336299078,-1.446686559177234
-1.088610570149325,-1.4466865751312261
-1.088610438622569,-1.4466866013880657
-1.0886104391975944,-1.4466866013057889
-1.0886099044168667,-1.4466867261853837
-1.0886104854718055,-1.4466865949758734
-1.08861055647332,-1.4466866003453733
-1.0886104415811482,-1.4466866009647406
-1.0886100904197102,-1.4466866657213773
-1.088610648761361,-1.4466865788992225
-1.0886105821498029,-1.4466865727541016
-1.088610651277361,-1.4466865783145473
-1.088610075448931,-1.4466866605902062
-1.088610653892892,-1.446686577706743
-1.0886105767430438,-1.4466865956350385
-1.0886105895009128,-1.4466865713273782
-1.0886106000807612,-1.446686547648681
-1.0886106004672167,-1.4466865476820416
-1.0886103031326981,-1.4466866338795201
-1.088610661498813,-1.446686575939258
-1.0886106627661603,-1.446686575644748
-1.0886100427230891,-1.446686695057289
-1.0886106652247287,-1.4466865750734195
-1.088610387238092,-1.446686614735964
-1.0886104552922844,-1.4466865990028963
-1.0886106689323511,-1.4466865742118318
-1.088610457272414,-1.4466865987195712
-1.0886107336299078,-1.446686559177234
-1.0886107336299078,-1.446686559177234
-1.0886106140156855,-1.4466865869735186
-1.08861007194089,-1.4466866643204905
-1.0886104284453775,-1.446686569439821
-1.0886104635875868,-1.4466865978159709
-1.0886107336299078,-1.446686559177234
-1.0886104657796198,-1.4466865975023262
-1.0886095790319978,-1.4466867805058077
-1.088610125647556,-1.446686701095208
-1.0886107336299078,-1.446686559177234
-1.0886106104821995,-1.4466865485465792
-1.0886106372969804,-1.446686581563347
-1.0886104515379647,-1.4466866247305423
-1.0886099342375102,-1.4466867223265985
-1.0886102070115848,-1.4466866821028506
-1.0886106463373229,-1.446686579462527
-1.0886107336299078,-1.446686559177234
-1.0886107336299078,-1.446686559177234
-1.0886102271820965,-1.4466866316418157
-1.0886104817033566,-1.4466865952238939
-1.0886106749941025,-1.446686554115532
-1.0886102349957607,-1.4466866305238053
-1.0886104122457307,-1.4466866117145583
-1.0886106182055038,-1.446686549213289
-1.088610676226674,-1.4466865542219332
-1.088609844083789,-1.4466867227269555
-1.0886100990141094,-1.4466866853865348
-1.0886103509844376,-1.44668664849606
-1.0886105578285816,-1.4466865642352529
-1.088610132207827,-1.4466866563063625
-1.0886106225779004,-1.4466865495907337
-1.0886105049253116,-1.4466865771335817
-1.0886106181368824,-1.4466865860158236
-1.0886100694492538,-1.4466867142132687
-1.088610516689063,-1.4466865404499407
-1.0886107336299078,-1.446686559177234
-1.0886102758318743,-1.4466866246808106
-1.0886102784415954,-1.446686624307401
-1.0886101805164978,-1.4466866472958757
-1.0886102837850535,-1.4466866235428377
-1.0886100942435888,-1.446686667825959
-1.0886107336299078,-1.446686559177234
-1.0886106302467995,-1.4466865502527468
-1.0886102044848416,-1.4466866826926543
-1.0886107336299078,-1.446686559177234
-1.088610647675855,-1.4466865791514754
-1.088610302262159,-1.4466866208990596
-1.0886097659160272,-1.4466867850653589
-1.0886106526636206,-1.4466865779924045
-0.9592532526664131,-1.3956000689591888
-0.9592532572675831,-1.395600067919853
-0.9592533381947596,-1.3956000475986914
-0.9592539497858065,-1.39559993531014
-0.959253782432346,-1.395599937155223
-0.9592541605374484,-1.395599882500217
-0.959253773771033,-1.3955998892016233
