street_id,fid,MS_ID,scenario,version,cluster_id,cause_label,cluster_majority_rule_type
96842,96842,96842,TF,version_b,1,C_no_service,mixed_review
98413,98413,98413,TF,version_b,1,C_no_service,mixed_review
98414,98414,98414,TF,version_b,1,C_no_service,mixed_review
98415,98415,98415,TF,version_b,1,C_no_service,mixed_review
99018,99018,99018,TF,version_b,1,C_no_service,mixed_review
99019,99019,99019,TF,version_b,1,C_no_service,mixed_review
100252,100252,100252,TF,version_b,1,C_no_service,mixed_review
100253,100253,100253,TF,version_b,1,C_no_service,mixed_review
100254,100254,100254,TF,version_b,1,C_no_service,mixed_review
100526,100526,100526,TF,version_b,1,C_no_service,mixed_review
100531,100531,100531,TF,version_b,1,C_no_service,mixed_review
100532,100532,100532,TF,version_b,1,C_no_service,mixed_review
100744,100744,100744,TF,version_b,1,C_no_service,mixed_review
100747,100747,100747,TF,version_b,1,C_no_service,mixed_review
100748,100748,100748,TF,version_b,1,C_no_service,mixed_review
103061,103061,103061,TF,version_b,1,C_no_service,mixed_review
105222,105222,105222,TF,version_b,1,C_no_service,mixed_review
107854,107854,107854,TF,version_b,1,C_no_service,mixed_review
107855,107855,107855,TF,version_b,1,C_no_service,mixed_review
107888,107888,107888,TF,version_b,1,C_no_service,mixed_review
107889,107889,107889,TF,version_b,1,C_no_service,mixed_review
107890,107890,107890,TF,version_b,1,C_no_service,mixed_review
107891,107891,107891,TF,version_b,1,C_no_service,mixed_review
107892,107892,107892,TF,version_b,1,C_no_service,mixed_review
107893,107893,107893,TF,version_b,1,C_no_service,mixed_review
107894,107894,107894,TF,version_b,1,C_no_service,mixed_review
109322,109322,109322,TF,version_b,1,C_no_service,mixed_review
118144,118144,118144,TF,version_b,1,C_no_service,mixed_review
118145,118145,118145,TF,version_b,1,C_no_service,mixed_review
118146,118146,118146,TF,version_b,1,C_no_service,mixed_review
118147,118147,118147,TF,version_b,1,C_no_service,mixed_review
118148,118148,118148,TF,version_b,1,C_no_service,mixed_review
118149,118149,118149,TF,version_b,1,C_no_service,mixed_review
118164,118164,118164,TF,version_b,1,C_no_service,mixed_review
118227,118227,118227,TF,version_b,1,C_no_service,mixed_review
118228,118228,118228,TF,version_b,1,C_no_service,mixed_review
118229,118229,118229,TF,version_b,1,C_no_service,mixed_review
120234,120234,120234,TF,version_b,1,C_no_service,mixed_review
121168,121168,121168,TF,version_b,1,C_no_service,mixed_review
121169,121169,121169,TF,version_b,1,C_no_service,mixed_review
121174,121174,121174,TF,version_b,1,C_no_service,mixed_review
121175,121175,121175,TF,version_b,1,C_no_service,mixed_review
121176,121176,121176,TF,version_b,1,C_no_service,mixed_review
121177,121177,121177,TF,version_b,1,C_no_service,mixed_review
121178,121178,121178,TF,version_b,1,C_no_service,mixed_review
121179,121179,121179,TF,version_b,1,C_no_service,mixed_review
122188,122188,122188,TF,version_b,1,C_no_service,mixed_review
122189,122189,122189,TF,version_b,1,C_no_service,mixed_review
122190,122190,122190,TF,version_b,1,C_no_service,mixed_review
