fid,MS_ID,TF_Index_Risk_equal,source_row_position,structural_null_count,had_structural_null,kmeans_cluster,distance_to_assigned_centroid
24364,24364,0.379226754946849,0,1,True,2,1.4440483234341277
24365,24365,0.375457948071803,1,1,True,2,1.4515143244684872
24366,24366,0.355719907598789,2,1,True,2,1.1154377963682407
24367,24367,0.350387416345715,3,1,True,2,1.2982736626048075
24368,24368,0.322033156939953,4,1,True,2,1.2489447600205297
24398,24398,0.541070611388722,5,0,False,1,0.9594190543675752
24399,24399,0.527506334480146,6,0,False,1,0.9298335682125665
24400,24400,0.526295113161306,7,0,False,1,0.9266516335969808
24401,24401,0.526094105430093,8,1,True,1,0.9234831061027138
24402,24402,0.521733371800992,9,1,True,1,0.9099621762262425
24403,24403,0.522948153243719,10,0,False,1,0.9075229866922341
24404,24404,0.598167448800109,11,0,False,1,2.5575718793230386
24405,24405,0.62284044972954,12,0,False,2,3.4049184531826815
24406,24406,0.595304384223138,13,0,False,1,2.6465847153426205
24407,24407,0.619408874351377,14,0,False,1,2.8271185282110913
24408,24408,0.541991678492843,15,0,False,1,2.7183268616042153
24409,24409,0.594705906435689,16,0,False,1,2.8200185945540306
24410,24410,0.589339225063267,17,0,False,1,3.0761652636995516
24411,24411,0.555925488262495,18,0,False,1,1.8696987847203612
24412,24412,0.340828555475408,19,0,False,1,0.644960164559131
24413,24413,0.335334716445688,20,1,True,1,0.6385974148833677
24414,24414,0.331570695539299,21,1,True,1,0.6403735201133152
24415,24415,0.333833486625669,22,0,False,1,0.6498059267803459
24416,24416,0.308504285944028,23,0,False,1,0.8585195163498518
24417,24417,0.306102050092542,24,0,False,1,0.8637740817275967
24418,24418,0.303652183488904,25,0,False,1,0.8614763064550829
24419,24419,0.39081704105227,26,0,False,1,0.4282400111408539
24420,24420,0.39239981524135,27,1,True,1,0.447885469879112
24421,24421,0.39340311237596,28,1,True,1,0.46517048984441445
24422,24422,0.395351636130575,29,1,True,1,0.4870028091943123
