hdbscan_cluster,sample_count
-1,24083
0,200
1,1523
2,261
3,327
4,116
5,111
6,265
7,107
8,148
9,222
10,3434
11,771
12,129
13,3907
14,158
15,187
16,531
17,133
18,134
19,112
20,174
21,1087
22,7295
23,3784
24,294
25,258
26,1747
27,401
28,121
29,369
30,279
31,204
32,102
33,102
34,209
35,121
36,188
37,293
38,146
39,143
40,221
41,159
42,211
43,223
44,161
45,282
46,210
47,181
48,109
49,27047
50,576
51,246
52,319
53,131
54,201
55,240
56,150
57,339
58,121
59,204
60,104
61,452
62,182
63,294
64,581
65,959
66,137
67,1330
68,111
69,110
70,354
71,208
72,420
73,102
74,572
75,116
76,104
77,115
78,266
79,216
80,1544
81,105
82,171
83,443
84,122
85,1085
86,223
87,261
88,146
89,205
90,746
91,174
92,135
93,263
94,253
95,136
96,218
97,117
98,246
99,174
100,255
101,158
102,217
103,362
104,1632
105,1592
106,2084
107,2545
108,129
109,1699
110,1667
111,1775
112,126
113,1702
114,203
115,1639
116,167
