cluster_id,count
-1,44049
0,1470
1,1329
2,3739
3,4505
4,2828
5,1767
6,2710
7,3918
8,854
9,5192
10,22492
11,1259
12,2354
13,1226
14,1747
15,964
16,1856
17,2244
18,1738
19,1294
20,1232
21,1293
22,1782
23,1362
24,1755
