fid,MS_ID,TF_Index_Risk_equal,source_row_position,structural_null_count,had_structural_null,N_TFlossR_2kiw,N_TFlossR_2ktw,N_TFlossR_2kmw,TFResident_lossR,TFDaynight_lossR,TFAB5k_NOR,TFABC_NOR,kmeans_cluster,distance_to_assigned_centroid
24364,24364,0.379226754946849,0,1,True,,-0.318079934333807,-0.276898734177215,-0.466666666666667,-0.33306342780027,1.0,0.191911273293973,3,1.2597314407341753
24365,24365,0.375457948071803,1,1,True,,-0.294367664479346,-0.279527559055118,-0.466666666666667,-0.33306342780027,0.999437335871969,0.191690161737669,3,1.2712020603817578
24366,24366,0.355719907598789,2,1,True,,-0.312151212395513,-0.288461538461538,-0.12962962962963,-0.0279352226720648,0.9980466185174,0.190096573441303,2,1.5669539654824962
24367,24367,0.350387416345715,3,1,True,,-0.312151212395513,-0.298884758364312,-0.0421052631578947,0.0,0.992136678324579,0.219511024725272,3,1.679984550084422
24368,24368,0.322033156939953,4,1,True,,-0.323601109372988,-0.303254437869822,-0.0068649885583524,-0.151419769622288,0.890838050747868,0.226346361107599,3,1.4808780167577855
24398,24398,0.541070611388722,5,0,False,-1.0,-0.611225333123204,-0.904109589041096,0.0,0.0,0.560695824329123,0.0710458275389411,1,0.9776373317422391
24399,24399,0.527506334480146,6,0,False,-1.0,-0.539368198584801,-0.900662251655629,0.0,0.0,0.559286774882007,0.0724567392306609,1,0.9392425727804223
24400,24400,0.526295113161306,7,0,False,-1.0,-0.539368198584801,-0.894039735099338,0.0,0.0,0.559020834776827,0.0723501930332795,1,0.9355130826958782
24401,24401,0.526094105430093,8,1,True,-1.0,-0.539368198584801,-0.895424836601307,,0.0,0.557668517084901,0.0713684506842088,1,0.9298728712654607
24402,24402,0.521733371800992,9,1,True,-1.0,-0.518175498273417,-0.897590361445783,,0.0,0.554409835347847,0.0693495465485523,1,0.9084256907223258
