fid,MS_ID,TF_Index_Risk_equal,source_row_position,structural_null_count,had_structural_null,kmeans_cluster,distance_to_assigned_centroid
24364,24364,0.379226754946849,0,1,True,3,1.2597314407341753
24365,24365,0.375457948071803,1,1,True,3,1.2712020603817578
24366,24366,0.355719907598789,2,1,True,2,1.5669539654824962
24367,24367,0.350387416345715,3,1,True,3,1.679984550084422
24368,24368,0.322033156939953,4,1,True,3,1.4808780167577855
24398,24398,0.541070611388722,5,0,False,1,0.9776373317422391
24399,24399,0.527506334480146,6,0,False,1,0.9392425727804223
24400,24400,0.526295113161306,7,0,False,1,0.9355130826958782
24401,24401,0.526094105430093,8,1,True,1,0.9298728712654607
24402,24402,0.521733371800992,9,1,True,1,0.9084256907223258
24403,24403,0.522948153243719,10,0,False,1,0.897814684906605
24404,24404,0.598167448800109,11,0,False,1,2.5361178624753453
24405,24405,0.62284044972954,12,0,False,3,3.124644813218715
24406,24406,0.595304384223138,13,0,False,1,2.618169483399708
24407,24407,0.619408874351377,14,0,False,3,2.749519120865105
24408,24408,0.541991678492843,15,0,False,3,2.6418054507491453
24409,24409,0.594705906435689,16,0,False,3,2.762739149654301
24410,24410,0.589339225063267,17,0,False,3,2.9392883440006163
24411,24411,0.555925488262495,18,0,False,1,1.8138139524760173
24412,24412,0.340828555475408,19,0,False,1,1.2146009754079792
24413,24413,0.335334716445688,20,1,True,1,1.2064492238029918
24414,24414,0.331570695539299,21,1,True,1,1.2018661646304925
24415,24415,0.333833486625669,22,0,False,1,1.2050699656210686
24416,24416,0.308504285944028,23,0,False,2,1.313465752657867
24417,24417,0.306102050092542,24,0,False,2,1.317626880297903
24418,24418,0.303652183488904,25,0,False,2,1.3260010140771963
24419,24419,0.39081704105227,26,0,False,1,0.810871802415104
24420,24420,0.39239981524135,27,1,True,1,0.8191110875833543
24421,24421,0.39340311237596,28,1,True,1,0.8260419159171062
24422,24422,0.395351636130575,29,1,True,1,0.8374610992763936
24423,24423,0.394450339092115,30,1,True,1,0.843312825056402
24424,24424,0.392781656993082,31,1,True,1,0.8494755597716093
24425,24425,0.395119082152465,32,1,True,1,0.8614597930265959
24426,24426,0.396564126675142,33,1,True,1,0.8737607972247982
24427,24427,0.393207175443335,34,2,True,1,0.8903034934669884
24428,24428,0.391513155985508,35,2,True,1,0.904168808977592
24458,24458,0.577978842015083,36,0,False,3,2.0963351689714975
24459,24459,0.580137931801161,37,0,False,3,2.142773999794889
24460,24460,0.581051689354064,38,0,False,3,2.129962890473814
24461,24461,0.579096001634968,39,0,False,3,2.3893148201030745
24462,24462,0.598683568971187,40,0,False,3,2.2422450410018318
24463,24463,0.606674795003622,41,0,False,3,2.329733176850017
24464,24464,0.94449493642731,42,0,False,5,2.223880986406676
