cluster,feature,original_non_null_count,original_structural_null_count,original_structural_null_percent,original_non_null_mean,original_non_null_median,filled_mean,standardized_centroid,inverse_transformed_centroid
1,N_TFlossR_2kiw,2325,315,11.931818181818182,-0.8984887087392096,-1.0,-0.7912826696282812,-0.870385917792595,-0.7926915143017425
1,N_TFlossR_2ktw,2640,0,0.0,-0.38510788374567967,-0.377875556137501,-0.38510788374567967,-0.28300125923139885,-0.38482316099503344
1,N_TFlossR_2kmw,2639,1,0.03787878787878788,-0.7106565811291937,-0.782608695652174,-0.7103873930302812,-0.5229597998302498,-0.7101874841254852
1,TFResident_lossR,1179,1461,55.34090909090909,-0.03891887790587994,0.0,-0.017380817064785017,0.4637061073145307,-0.017420408903200124
1,TFDaynight_lossR,1172,1468,55.6060606060606,-0.06597974776139376,0.0,-0.029291009233467235,0.5138831734689504,-0.029357731350173305
1,TFAB5k_NOR,2274,366,13.863636363636363,0.4125549204963305,0.43183024128578,0.35535980651843013,-1.5602971386795692,0.354985674090398
1,TFABC_NOR,2640,0,0.0,0.04543948062971516,0.014517788994905901,0.04543948062971516,-0.36929524934648916,0.045448119166589855
2,N_TFlossR_2kiw,3630,2721,42.843646669815776,-0.5172301072542606,-0.5183995739405,-0.295629867632336,-0.10024100541090487,-0.29560693760516804
2,N_TFlossR_2ktw,6351,0,0.0,-0.5230257286641322,-0.502876777286006,-0.5230257286641322,-0.5014563273827617,-0.5230388621340211
2,N_TFlossR_2kmw,6122,229,3.6057313808849,-0.6638658451616899,-0.7472391746585295,-0.639928626055718,-0.4230795220773548,-0.640175735759411
2,TFResident_lossR,3542,2809,44.229255235396,-0.06657460997244845,0.0,-0.03712915580576483,0.41048821144370823,-0.03696522232729996
2,TFDaynight_lossR,3728,2623,41.30058258541962,-0.0784746233239922,0.0,-0.04606414670946983,0.4715210140596971,-0.0458921783794366
2,TFAB5k_NOR,6351,0,0.0,0.8189447761391789,0.828739423585543,0.8189447761391789,0.17252516346484606,0.8186187082249052
2,TFABC_NOR,6351,0,0.0,0.05491418830085542,0.0352221983246213,0.05491418830085542,-0.2876150347702577,0.05489275723323661
3,N_TFlossR_2kiw,1612,313,16.25974025974026,-0.5776119020812885,-0.599899050388219,-0.4836937070935258,-0.39087050646585125,-0.4831916897535214
3,N_TFlossR_2ktw,1925,0,0.0,-0.5806489998115233,-0.523964924070639,-0.5806489998115233,-0.5922847098465862,-0.5805056385828022
3,N_TFlossR_2kmw,1925,0,0.0,-0.6592524876329289,-0.668627450980392,-0.6592524876329289,-0.44980641936371807,-0.6589101330750466
3,TFResident_lossR,1618,307,15.948051948051948,-0.38214588935895877,-0.203603603603604,-0.321201064406647,-0.3638022164858288,-0.3213312556384046
3,TFDaynight_lossR,1792,133,6.909090909090909,-0.4355577164557684,-0.362754607177498,-0.405464637864279,-0.4498531939963453,-0.4055153243587314
3,TFAB5k_NOR,1925,0,0.0,0.9136627723489883,0.975993982349795,0.9136627723489883,0.5279192099194346,0.9137077544976654
3,TFABC_NOR,1925,0,0.0,0.25131347763768047,0.236050420879268,0.25131347763768047,1.4095845423058717,0.25113900628526176
4,N_TFlossR_2kiw,527,492,48.282630029440625,1.0,1.0,0.5171736997055937,1.1590192936454513,0.5171736997055932
4,N_TFlossR_2ktw,1012,7,0.6869479882237487,1.0,1.0,0.9931305201177625,1.89490590208463,0.9931305201177627
4,N_TFlossR_2kmw,892,127,12.463199214916584,1.0,1.0,0.8753680078508341,1.7390280325999201,0.8753680078508317
4,TFResident_lossR,1,1018,99.90186457311088,-1.0,-1.0,-0.0009813542688910696,0.5084674400916807,-0.0009813542688907329
4,TFDaynight_lossR,334,685,67.22276741903828,-1.0,-1.0,-0.3277723258096173,-0.25067137124399064,-0.32777232580961724
4,TFAB5k_NOR,999,20,1.9627085377821394,1.0,1.0,0.9803729146221786,0.7770793597250476,0.9803729146221783
4,TFABC_NOR,1019,0,0.0,0.04944912068696232,0.0311161495518441,0.04944912068696232,-0.33469332385207146,0.04944912068696233
5,N_TFlossR_2kiw,1234,415,25.166767738023044,1.0,1.0,0.7483323226197696,1.517158825098223,0.7483323226197697
5,N_TFlossR_2ktw,1649,0,0.0,1.0,1.0,1.0,1.9057633711237607,0.9999999999999989
5,N_TFlossR_2kmw,1649,0,0.0,1.0,1.0,1.0,1.9168307340503405,0.9999999999999949
5,TFResident_lossR,1649,0,0.0,-1.0,-1.0,-1.0,-2.2117258463774605,-0.9999999999999998
5,TFDaynight_lossR,1639,10,0.6064281382656156,-1.0,-1.0,-0.9939357186173439,-1.9574184906840866,-0.993935718617345
5,TFAB5k_NOR,1596,53,3.214069132807762,1.0,1.0,0.9678593086719224,0.7303099238255333,0.967859308671922
5,TFABC_NOR,1649,0,0.0,0.11797198717542878,0.0724290486601828,0.11797198717542878,0.25791407927561266,0.11797198717542881
