cluster_id,feature,mean,median,std,min,max,q25,q75
1,Tem_extent,0.011278195488721804,0.0,0.10559828500140907,0.0,1.0,0.0,0.0
1,N_TFlossR_2kiw,-0.8842751305115288,-1.0,0.1986882063437579,-1.0,-0.400100977116988,-1.0,-0.664071711379595
1,N_TFlossR_2kmw,-0.6330400162954489,-0.735133239831697,0.2831744459302901,-1.0,0.0,-0.8825874114223515,-0.3452844886933205
1,TFResident_lossR,-0.1625087650089291,0.0,0.3072353473105524,-1.0,0.0,-0.1514035672879995,0.0
1,TFDaynight_lossR,-0.20756734289294834,0.0,0.3336987421797207,-1.0,0.0,-0.31072511717673,0.0
1,TFAB5k_NOR,0.7515150354875151,0.7863688756424475,0.24290179060179878,0.0,1.0,0.6161151787391339,0.9767161528391345
1,TFABC_NOR,0.03218992410289788,0.008393296230793101,0.05300952047319582,0.0,0.485681954895809,0.00162508390625865,0.041231309628277826
2,Tem_extent,0.013569937369519834,0.0,0.11569699291384537,0.0,1.0,0.0,0.0
2,N_TFlossR_2kiw,-0.046449255311522226,0.0,0.11721854492959084,-0.481600426059501,0.0,0.0,0.0
2,N_TFlossR_2kmw,-0.46576340313509584,-0.433060776211736,0.22910239574434027,-0.901234567901235,0.0,-0.6038641621681172,-0.327377146510778
2,TFResident_lossR,-0.10201013907561995,0.0,0.23905698859833346,-1.0,0.0,-0.03741566809219345,0.0
2,TFDaynight_lossR,-0.10226808860991632,0.0,0.2080804199788392,-1.0,0.0,-0.0736234086869808,0.0
2,TFAB5k_NOR,0.7765446392383416,0.79501340132838,0.18409086579319212,0.0082706311511969,1.0,0.6528546057186483,0.9420459109284527
2,TFABC_NOR,0.04868717059814541,0.0240088267566761,0.06460524056239732,0.0,0.412900339911531,0.0055014208318032,0.06364246615866145
