hdbscan_cluster,sample_count
-1,32189
0,196
1,68
2,50
3,61
4,1254
5,101
6,98
7,107
8,50
9,52
10,81
11,115
12,81
13,244
14,111
15,207
16,146
17,51
18,134
19,59
20,82
21,273
22,104
23,105
24,73
25,95
26,133
27,70
28,55
29,78
30,3271
31,126
32,71
33,3907
34,158
35,55
36,74
37,408
38,51
39,80
40,130
41,74
42,134
43,112
44,145
45,106
46,122
47,84
48,67
49,610
50,74
51,83
52,96
53,160
54,111
55,53
56,97
57,87
58,50
59,265
60,81
61,57
62,268
63,56
64,112
65,92
66,72
67,95
68,115
69,100
70,64
71,55
72,67
73,231
74,199
75,216
76,57
77,137
78,94
79,78
80,130
81,101
82,102
83,57
84,51
85,56
86,55
87,72
88,75
89,290
90,2365
91,63
92,53
93,181
94,76
95,67
96,72
97,57
98,50
99,75
100,52
101,205
102,273
103,215
104,135
105,209
106,149
107,126
108,201
109,149
110,123
111,71
112,58
113,4228
114,87
115,55
116,70
117,166
118,120
119,158
120,221
121,59
122,52
123,97
124,88
125,77
126,52
127,240
128,55
129,335
130,56
131,321
132,119
133,208
134,105
135,182
136,310
137,54
138,50
139,51
140,177
141,229
142,65
143,282
144,212
145,71
146,54
147,116
148,74
149,88
150,108
151,76
152,74
153,106
154,864
155,130
156,52
157,62
158,52
159,72
160,140
161,63
162,205
163,59
164,59
165,367
166,168
167,23363
168,66
169,424
170,68
171,61
172,102
173,112
174,98
175,69
176,567
177,115
178,81
179,60
180,113
181,264
182,59
183,104
184,144
185,73
186,171
187,121
188,218
189,142
190,121
191,81
192,57
193,131
194,122
195,55
196,192
197,192
198,107
199,52
200,115
201,260
202,104
203,121
204,191
205,165
206,95
207,78
208,133
209,92
210,50
211,205
212,744
213,173
214,95
215,133
216,261
217,145
218,89
219,81
220,53
221,117
222,131
223,79
224,81
225,53
226,64
227,75
228,174
229,255
230,159
231,217
232,362
233,2545
234,69
235,129
236,81
237,174
238,66
239,51
240,1561
241,1603
242,1538
243,1634
244,203
245,1775
246,126
247,77
248,53
249,1534
250,56
251,1639
252,1684
253,78
254,64
255,79
