feature,mean,variance,scale,original_null_count,original_min,original_max,filled_min,filled_max
N_PFlossR_2kiw,-0.501806169210125,0.2871859235079065,0.5358973068675625,1342,-1.0,1.0,-1.0,1.0
N_PFlossR_2ktw,-0.3624701987734199,0.14733778645477535,0.38384604525092525,18,-1.0,1.0,-1.0,1.0
N_PFlossR_2kmw,-0.3684710070579859,0.1804193921975271,0.42475803959139735,391,-1.0,1.0,-1.0,1.0
PFResident_lossR,-0.11157374348333395,0.06886056978414551,0.2624129756398214,1633,-1.0,0.0,-1.0,0.0
PFDaynight_lossR,-0.09372127499794923,0.0536588686615481,0.23164384011138328,1369,-1.0,0.0,-1.0,0.0
PFAB5k_NOR,0.74533444528708,0.08643042951505314,0.2939905262335049,63,0.0,1.0,0.0,1.0
PFABC_NOR,0.0813788104715932,0.011492912945934465,0.10720500429520287,0,0.0,0.630473198717947,0.0,0.630473198717947
