N_PFlossR_2kiw,N_PFlossR_2ktw,N_PFlossR_2kmw,PFResident_lossR,PFDaynight_lossR,PFAB5k_NOR,PFABC_NOR
-0.833333333333333,-0.716794252457981,-0.582655826558266,0.0,-1.0,1.0,0.255599579199857
1.0,1.0,1.0,-1.0,-1.0,1.0,0.255974313968601
1.0,1.0,1.0,-1.0,-1.0,1.0,0.255134391256299
-1.0,-0.486218832341312,-0.621287128712871,-0.425587467362924,0.0,1.0,0.258482933978164
-1.0,-0.486218832341312,-0.617866004962779,-0.425587467362924,0.0,0.99866803433983,0.258975749450925
-1.0,-0.486218832341312,-0.605839416058394,-0.425587467362924,0.0,0.997906644822111,0.258909868217093
-1.0,-0.476350517130379,-0.600961538461538,-0.20844327176781,0.0,0.995990722422503,0.258857475068589
-1.0,-0.438156338973604,-0.567567567567568,-0.205194805194805,0.0,0.991428286921121,0.258674765647939
-1.0,-0.442587944125367,-0.546610169491525,-0.285714285714286,0.0,0.979497130706098,0.26455291676158
-1.0,-0.434963795576291,-0.526639344262295,-0.285714285714286,0.0,0.976451850489939,0.266086383323182
-1.0,-0.445917319058196,-0.550537634408602,-0.642795513373598,0.0,0.854459632931461,0.527521112263055
-1.0,-0.434963795576291,-0.513888888888889,-0.435967302452316,0.0,0.845484746768973,0.477870875636562
-1.0,-0.282405294627679,-0.553695955369595,0.0,0.0,0.290047142697472,0.108605871682548
-1.0,-0.269637823590557,-0.55316091954023,0.0,0.0,0.291565418559392,0.108551703442003
-1.0,-0.269637823590557,-0.554896142433234,0.0,0.0,0.292866619702278,0.110314268686323
-1.0,-0.284965704741348,-0.556390977443609,0.0,0.0,0.298443929534926,0.107750339213415
-1.0,-0.284965704741348,-0.54375,0.0,0.0,0.299843288245226,0.107472980230761
-1.0,-0.284965704741348,-0.530645161290323,0.0,0.0,0.30138913934374,0.109091668722047
-1.0,-0.284965704741348,-0.523411371237458,0.0,0.0,0.30243527918714,0.110637112456567
-1.0,-0.276696078015419,-0.512820512820513,0.0,0.0,0.303168360948663,0.111641450258033
-1.0,-0.285281209279445,-0.5,0.0,0.0,0.30461239134473,0.112114531762654
-1.0,-0.333312806304928,-0.492932862190813,0.0,0.0,0.307801697738952,0.125098041830205
-1.0,-0.361690803081575,-0.486535008976661,0.0,0.0,0.308797115803791,0.127638744572863
-1.0,-0.348272877797924,-0.481617647058824,0.0,0.0,0.0515766941180712,0.158247888666398
-1.0,-0.358089967102177,-0.480300187617261,0.0,0.0,0.0553419254912078,0.1580259498787
-1.0,-0.33056928327851,-0.48,0.0,0.0,0.0577074013918304,0.157886350925415
0.0,-0.399638646476849,-0.469827586206897,0.0,-0.272926062593959,0.888366293778307,0.428096681726643
0.0,-0.406064562236747,-0.467248908296943,0.0,-0.272926062593959,0.888723664556648,0.426678506904946
0.0,-0.422143877429478,-0.449074074074074,0.0,-0.345621322256836,0.893510254364567,0.397634664915736
-1.0,-0.393618826311989,-0.441176470588235,0.0,-0.345621322256836,0.892562901311227,0.398585286147823
-1.0,-0.393618826311989,-0.43,0.0,-0.345621322256836,0.892919438179061,0.39734987092186
0.0,-0.481820748288542,-0.653005464480874,,0.0,0.902008512017423,0.0884459290834247
0.0,-0.452897689774557,-0.637142857142857,,0.0,0.894000371478285,0.0861963762774596
0.0,-0.443153622638976,-0.631123919308357,,0.0,0.889069974847468,0.0840105042443519
0.0,-0.443153622638976,-0.624633431085044,,0.0,0.884314504097985,0.0815194008875436
