cluster_id,Tem_extent,N_TFlossR_2kiw,N_TFlossR_2kmw,TFResident_lossR,TFDaynight_lossR,TFAB5k_NOR,TFABC_NOR
1,0.0531914893617021,-0.9032383597622023,-0.8667212234982853,-0.641722798823161,-0.7696740506599324,0.9505042641041188,0.01346273184557674
2,0.002525252525252552,-0.9983287629303368,-0.33170388739544,-0.07392449350501705,-0.09145454659054521,0.7771605249977646,0.023153532213872355
3,2.949029909160572e-17,-0.7586077109155551,-0.8243386957174159,-0.01986607124911817,-0.05303718192031333,0.6280411875391934,0.05016984834677704
4,0.06476683937823827,-0.018475465051665974,-0.29673729269116667,-0.4567396533043129,-0.39759044285114375,0.8635904265729677,0.04641520893929324
5,0.0006553079947575705,-0.052538261348638704,-0.5086311934958094,-0.014085437718128951,-0.029224001256177468,0.7563977656531647,0.04938178752101548
