cluster_id,count
-1,35791
0,2244
1,1129
2,3874
3,4845
4,2988
5,2222
6,2815
7,4301
8,947
9,5371
10,24136
11,4479
12,1387
13,1514
14,1213
15,1569
16,1981
17,2545
18,1992
19,1443
20,1960
21,1382
22,1397
23,1463
24,1971
