cluster_id,count
-1,30849
0,2311
1,948
2,2373
3,3500
4,4887
5,3139
6,2789
7,812
8,4516
9,980
10,6423
11,25861
12,5003
13,1445
14,1517
15,1219
16,1570
17,1488
18,2626
19,2043
20,2042
21,1460
22,2045
23,1555
24,2038
25,1520
