cluster,N_PFlossR_2kiw,N_PFlossR_2kmw,PFResident_lossR,PFDaynight_lossR,PFAB5k_NOR,PFABC_NOR
1,0.6949152542372881,0.8813559322033895,-0.7881355932203389,-0.9152542372881355,0.9914734837503145,0.11815730021066403
2,-0.8016967697536749,-0.4394819159369395,-0.40035306676088434,-0.2750287189129805,0.8746814054524229,0.18413680373324615
3,-0.22011453668964154,-0.4365132580105928,-0.011734020773961934,-0.02041478988903872,0.893780263377748,0.0559155110251499
4,-0.9638766519823779,-0.3258506164534052,-0.04514526698468202,-0.030673384828422967,0.35950319159848154,0.06008790385043413
